model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.2003,1,1,4,1,1
gemini-2.5-pro,0.8672,2,1,6,1,1
gemini-2.5-pro-preview-05-06,0.7361,3,1,14,1,1
grok-4-0709,0.6299,4,1,21,1,1
chatgpt-4o-latest-20250326,0.5977,5,2,16,2,1
grok-3-preview-02-24,0.5224,6,3,21,3,1
gemini-2.5-flash,0.4988,7,3,21,3,3
o3-2025-04-16,0.4437,8,3,23,3,3
llama-4-maverick-03-26-experimental,0.4199,9,3,26,3,3
gemini-2.5-flash-preview-04-17,0.41,10,3,28,3,3
claude-sonnet-4-20250514-thinking-32k,0.3882,11,3,28,3,3
claude-opus-4-20250514-thinking-16k,0.3644,12,3,29,3,3
deepseek-r1-0528,0.3274,13,3,30,4,3
claude-opus-4-20250514,0.2993,14,5,30,5,3
qwen3-235b-a22b-no-thinking,0.2784,15,5,32,5,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.2308,16,5,34,5,3
gpt-4.1-2025-04-14,0.2165,17,5,34,6,4
kimi-k2-0711-preview,0.1886,18,5,38,5,3
gemini-2.0-flash-thinking-exp-01-21,0.157,19,2,46,3,1
mistral-medium-2505,0.127,20,8,37,9,7
qwen3-235b-a22b,0.1062,21,8,39,9,5
grok-3-mini-beta,0.1049,22,8,38,9,6
o4-mini-2025-04-16,0.0739,23,10,39,12,7
claude-sonnet-4-20250514,0.0612,24,12,40,13,8
qwen3-235b-a22b-instruct-2507,0.0426,25,4,46,4,2
qwen-max-2025-01-25,0.0386,26,10,41,12,7
grok-3-mini-high,0.014,27,10,43,11,5
deepseek-v3-0324,0.0116,28,13,43,15,8
gemma-3-27b-it,-0.0248,29,16,44,16,11
gpt-4.1-mini-2025-04-14,-0.0254,30,15,44,16,9
minimax-m1,-0.0437,31,15,44,16,9
hunyuan-turbos-20250416,-0.0494,32,9,45,12,5
claude-3-7-sonnet-20250219,-0.0793,33,16,44,16,15
claude-3-7-sonnet-20250219-thinking-32k,-0.1398,34,18,45,18,16
qwq-32b,-0.1673,35,18,46,18,16
gpt-4o-2024-11-20,-0.1771,36,8,52,9,3
gemini-2.0-flash-001,-0.1816,37,18,45,19,16
o3-mini,-0.1873,38,19,45,20,16
command-a-03-2025,-0.2444,39,21,47,24,18
claude-3-5-sonnet-20241022,-0.2718,40,24,47,24,19
qwen3-30b-a3b,-0.2737,41,24,47,24,18
amazon-nova-experimental-chat-05-14,-0.3938,42,26,50,28,20
mistral-small-2506,-0.4674,43,29,52,31,20
llama-4-maverick-17b-128e-instruct,-0.5412,44,33,52,36,31
llama-4-scout-17b-16e-instruct,-0.5537,45,31,52,32,27
magistral-medium-2506,-0.6614,46,36,52,38,31
amazon.nova-pro-v1:0,-0.7676,47,41,52,41,39
mistral-small-3.1-24b-instruct-2503,-0.7701,48,40,52,41,35
llama-3.3-70b-instruct,-0.8125,49,41,52,42,39
gpt-4o-mini-2024-07-18,-0.8225,50,31,52,35,17
claude-3-5-haiku-20241022,-0.8267,51,42,52,42,39
gemma-3n-e4b-it,-0.874,52,41,52,42,37
