"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",16.7880451667851,1,1,52,1,1
"gemini-2.5-pro-preview-03",16.2970390245851,2,1,52,1,1
"grok-4-0709",14.9799676106272,3,1,52,1,1
"o3-2025-04-16",10.7149090547274,7,4,52,4,1
"chatgpt-4o-latest-2025032",11.4642027069335,5,4,52,4,1
"gemini-2.5-pro-preview-05",12.6644160595422,4,1,52,2,1
"deepseek-r1-0528",9.94349624016094,10,4,52,4,1
"grok-3-preview-02-24",10.8552893887708,6,4,52,4,1
"llama-4-maverick-03-26-ex",10.060122878638,9,4,52,4,1
"gemini-2.5-flash",10.2960928264866,8,4,52,4,1
"qwen3-235b-a22b-no-thinki",5.01380564119563,14,11,52,11,1
"gemini-2.5-flash-preview-",7.36172057054775,11,5,52,6,1
"gemini-2.0-flash-thinking",1.96160844185022,26,14,52,14,1
"kimi-k2-0711-preview",4.59911060490359,16,11,52,11,1
"gpt-4.1-2025-04-14",4.22710378683549,19,11,52,11,1
"deepseek-v3-0324",1.09773073129087,28,16,52,18,1
"o4-mini-2025-04-16",3.65550265370182,22,11,52,11,1
"mistral-medium-2505",3.96407370838416,20,11,52,11,1
"gemini-2.5-flash-lite-pre",2.52315999122549,24,14,52,14,1
"qwen-max-2025-01-25",1.43736152487664,27,15,52,16,1
"hunyuan-turbos-20250416",3.54543547632623,23,11,52,11,1
"qwen3-235b-a22b",4.49141369627365,17,11,52,11,1
"minimax-m1",0.320132188276062,33,18,52,20,1
"claude-opus-4-20250514-th",7.08297112766324,12,6,52,8,1
"qwen3-235b-a22b-instruct-",3.86588641177523,21,11,52,11,1
"gemma-3-27b-it",0.530277436650085,32,17,52,20,1
"claude-opus-4-20250514",4.95803750162373,15,11,52,11,1
"grok-3-mini-beta",1.9975140607244,25,14,52,14,1
"grok-3-mini-high",0.961227912859872,29,16,52,18,1
"gpt-4o-2024-11-20",4.24706219076273,18,11,52,11,1
"claude-sonnet-4-20250514-",6.85691959985304,13,6,52,8,1
"gemini-2.0-flash-001",-3.7013317449099,39,34,52,35,1
"mistral-small-2506",-0.771200865277123,35,24,52,24,1
"gpt-4.1-mini-2025-04-14",0.961227912491509,30,16,52,18,1
"qwq-32b",-3.02338351561376,37,32,52,33,1
"claude-sonnet-4-20250514",0.824287417080107,31,16,52,18,1
"qwen3-30b-a3b",-1.91668768349025,36,25,52,27,1
"command-a-03-2025",-3.8234969595946,41,34,52,35,1
"o3-mini",-3.70133172296559,38,34,52,35,1
"amazon-nova-experimental-",-4.00434841670113,43,35,52,35,1
"gemma-3n-e4b-it",-19.0867491271186,48,44,52,44,1
"claude-3-7-sonnet-2025021",-3.77449931203786,40,34,52,35,1
"claude-3-5-sonnet-2024102",-4.00434838368867,42,34,52,35,1
"llama-4-maverick-17b-128e",-19.0867491271186,48,44,52,44,1
"claude-3-7-sonnet-2025021.1",-0.0457807960819139,34,17,52,20,1
"llama-4-scout-17b-16e-ins",-19.0867491271186,48,44,52,44,1
"llama-3.3-70b-instruct",-19.0867491271186,48,44,52,44,1
"amazon.nova-pro-v1:0",-19.0867491271186,48,44,52,44,1
"mistral-small-3.1-24b-ins",-19.0867491271186,48,44,52,44,1
"magistral-medium-2506",-19.0867491271186,48,44,52,44,1
"claude-3-5-haiku-20241022",-19.0867491271186,48,44,52,44,1
"gpt-4o-mini-2024-07-18",-19.0867491271186,48,44,52,44,1
