"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",17.7325784331844,1,1,52,1,1
"gemini-2.5-pro-preview-03",16.788947989613,2,1,52,1,1
"grok-4-0709",14.81267190903,3,1,52,1,1
"o3-2025-04-16",12.3848487788578,5,3,52,3,1
"chatgpt-4o-latest-2025032",13.0420013703433,4,3,52,3,1
"gemini-2.5-pro-preview-05",12.0836809012419,6,3,52,3,1
"deepseek-r1-0528",9.66812138072242,10,4,52,5,1
"grok-3-preview-02-24",10.8881037021431,7,4,52,4,1
"llama-4-maverick-03-26-ex",9.82422142628803,9,4,52,5,1
"gemini-2.5-flash",10.41703176214,8,4,52,4,1
"qwen3-235b-a22b-no-thinki",4.73841549815876,14,11,52,11,1
"gemini-2.5-flash-preview-",6.75457058746738,11,8,52,9,1
"gemini-2.0-flash-thinking",1.0109717070004,27,18,52,19,1
"kimi-k2-0711-preview",4.50739425613274,15,11,52,11,1
"gpt-4.1-2025-04-14",4.28897308199425,17,11,52,11,1
"deepseek-v3-0324",1.93576229266405,26,14,52,14,1
"o4-mini-2025-04-16",3.05612540151922,21,12,52,12,1
"mistral-medium-2505",3.30571186095029,19,12,52,12,1
"gemini-2.5-flash-lite-pre",2.64814019373668,24,13,52,14,1
"qwen-max-2025-01-25",0.63325072492967,28,19,52,19,1
"hunyuan-turbos-20250416",3.03809966998404,22,12,52,12,1
"qwen3-235b-a22b",4.01123526924602,18,11,52,11,1
"minimax-m1",-0.572398929887367,33,24,52,25,1
"claude-opus-4-20250514-th",6.22305471531185,12,9,52,11,1
"qwen3-235b-a22b-instruct-",3.14750485508464,20,11,52,12,1
"gemma-3-27b-it",-0.253454671354397,32,20,52,24,1
"claude-opus-4-20250514",4.31631461315096,16,11,52,11,1
"grok-3-mini-beta",2.12407427646061,25,14,52,14,1
"grok-3-mini-high",0.221328046957272,29,19,52,20,1
"gpt-4o-2024-11-20",2.99904436460738,23,12,52,12,1
"claude-sonnet-4-20250514-",5.88417669736904,13,9,52,11,1
"gemini-2.0-flash-001",-1.58796971090444,37,25,52,26,1
"mistral-small-2506",-0.811702163598316,34,24,52,25,1
"gpt-4.1-mini-2025-04-14",0.120134702037642,30,19,52,21,1
"qwq-32b",-1.43113317864404,36,25,52,27,1
"claude-sonnet-4-20250514",-0.122911764935481,31,20,52,24,1
"qwen3-30b-a3b",-1.41354702402326,35,25,52,26,1
"command-a-03-2025",-4.61569800007889,41,35,52,37,1
"o3-mini",-1.6063188532671,38,25,52,26,1
"amazon-nova-experimental-",-4.93250040652433,42,35,52,40,1
"gemma-3n-e4b-it",-18.2392340386401,48,44,52,44,1
"claude-3-7-sonnet-2025021",-4.19561567529914,40,35,52,35,1
"claude-3-5-sonnet-2024102",-5.23048801793093,43,37,52,40,1
"llama-4-maverick-17b-128e",-18.2392340386401,48,44,52,44,1
"claude-3-7-sonnet-2025021.1",-1.67964572411823,39,25,52,26,1
"llama-4-scout-17b-16e-ins",-18.2392340386401,48,44,52,44,1
"llama-3.3-70b-instruct",-18.2392340386401,48,44,52,44,1
"amazon.nova-pro-v1:0",-18.2392340386401,48,44,52,44,1
"mistral-small-3.1-24b-ins",-18.2392340386401,48,44,52,44,1
"magistral-medium-2506",-18.2392340386401,48,44,52,44,1
"claude-3-5-haiku-20241022",-18.2392340386401,48,44,52,44,1
"gpt-4o-mini-2024-07-18",-18.2392340386401,48,44,52,44,1
