"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.88853060484858,1,1,29,1,1
"gemini-2.5-pro-preview-03",8.63897551043547,2,1,35,1,1
"grok-4-0709",7.2559709849968,3,1,52,1,1
"o3-2025-04-16",5.75141320236965,7,2,52,3,1
"chatgpt-4o-latest-2025032",6.54343536415388,5,1,52,2,1
"gemini-2.5-pro-preview-05",5.47755108377713,10,2,52,3,1
"deepseek-r1-0528",5.02752076127492,12,3,52,3,2
"grok-3-preview-02-24",6.90340975172798,4,1,52,1,1
"llama-4-maverick-03-26-ex",5.51336286503263,9,2,52,3,1
"gemini-2.5-flash",5.57737340152046,8,2,52,3,1
"qwen3-235b-a22b-no-thinki",4.14028082709238,17,4,52,5,2
"gemini-2.5-flash-preview-",4.18413763932683,16,4,52,5,2
"gemini-2.0-flash-thinking",2.81034594483695,22,7,52,10,3
"kimi-k2-0711-preview",4.25092856432734,15,3,52,5,2
"gpt-4.1-2025-04-14",4.01942678694758,18,4,52,5,2
"deepseek-v3-0324",2.07684823676281,28,12,52,14,2
"o4-mini-2025-04-16",2.32239784869525,26,8,52,12,2
"mistral-medium-2505",3.07057680002234,21,7,52,8,3
"gemini-2.5-flash-lite-pre",3.08100145362291,20,7,52,7,3
"qwen-max-2025-01-25",0.969525691394695,29,18,52,19,1
"hunyuan-turbos-20250416",2.26075197788238,27,9,52,12,2
"qwen3-235b-a22b",3.59588264716476,19,5,52,6,3
"minimax-m1",-0.301114624496355,33,22,52,23,1
"claude-opus-4-20250514-th",4.7881938677985,14,3,52,3,2
"qwen3-235b-a22b-instruct-",6.21861761209508,6,1,52,1,1
"gemma-3-27b-it",-0.184564187162326,32,22,52,23,1
"claude-opus-4-20250514",4.99406514948817,13,3,52,3,2
"grok-3-mini-beta",2.42744135478555,25,8,52,12,2
"grok-3-mini-high",0.764184447199444,30,19,52,20,1
"gpt-4o-2024-11-20",2.43624602263526,24,8,52,12,2
"claude-sonnet-4-20250514-",5.4010964489896,11,2,52,3,1
"gemini-2.0-flash-001",-1.75049358334048,41,29,52,29,1
"mistral-small-2506",-0.508250107272568,35,23,52,27,1
"gpt-4.1-mini-2025-04-14",0.614094672229886,31,19,52,20,1
"qwq-32b",-1.55014019868982,40,29,52,29,1
"claude-sonnet-4-20250514",2.47680025619021,23,8,52,12,2
"qwen3-30b-a3b",-0.725309264950209,36,23,52,29,1
"command-a-03-2025",-1.87221669517565,42,29,52,29,1
"o3-mini",-1.09127971070924,37,28,52,29,1
"amazon-nova-experimental-",-4.04733321506432,43,37,52,39,1
"gemma-3n-e4b-it",-13.0450516500535,48,46,52,46,1
"claude-3-7-sonnet-2025021",-0.494849234469102,34,23,52,27,1
"claude-3-5-sonnet-2024102",-1.53768935085776,39,29,52,29,1
"llama-4-maverick-17b-128e",-12.5913880768482,46,46,52,46,1
"claude-3-7-sonnet-2025021.1",-1.21035955226369,38,29,52,29,1
"llama-4-scout-17b-16e-ins",-12.6109742864483,47,46,52,46,1
"llama-3.3-70b-instruct",-14.4893464374555,51,46,52,46,1
"amazon.nova-pro-v1:0",-14.4532601702141,50,46,52,46,1
"mistral-small-3.1-24b-ins",-9.24479866509623,45,44,52,44,1
"magistral-medium-2506",-9.23946816255975,44,44,52,44,1
"claude-3-5-haiku-20241022",-14.390990610273,49,46,52,46,1
"gpt-4o-mini-2024-07-18",-18.1415099962253,52,51,52,52,1
