"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",16.5700091423385,1,1,49,1,1
"gemini-2.5-pro-preview-03",15.3977807624735,2,1,52,1,1
"grok-4-0709",14.3300003532718,4,1,52,1,1
"o3-2025-04-16",11.8552048956694,6,4,52,5,2
"chatgpt-4o-latest-2025032",14.8535812808094,3,1,52,1,1
"gemini-2.5-pro-preview-05",12.0825669874059,5,3,52,4,2
"deepseek-r1-0528",9.41844043218513,10,5,52,6,1
"grok-3-preview-02-24",10.7020353626642,7,5,52,5,1
"llama-4-maverick-03-26-ex",9.95672825432207,8,5,52,5,1
"gemini-2.5-flash",9.88103610927853,9,5,52,5,1
"qwen3-235b-a22b-no-thinki",4.41241759545335,14,11,52,11,1
"gemini-2.5-flash-preview-",6.3847992674205,11,10,52,11,1
"gemini-2.0-flash-thinking",0.536268659174556,27,19,52,20,1
"kimi-k2-0711-preview",4.19798527854446,15,11,52,11,1
"gpt-4.1-2025-04-14",4.12980874440834,17,11,52,11,1
"deepseek-v3-0324",2.7784061669929,21,12,52,13,1
"o4-mini-2025-04-16",2.6040702964317,23,12,52,13,1
"mistral-medium-2505",2.83375814200905,20,12,52,12,1
"gemini-2.5-flash-lite-pre",2.64010848081075,22,13,52,14,1
"qwen-max-2025-01-25",0.284569473463574,28,20,52,20,1
"hunyuan-turbos-20250416",3.42334548592018,19,12,52,12,1
"qwen3-235b-a22b",3.81264989194046,18,11,52,12,1
"minimax-m1",-1.14965720156946,34,26,52,26,1
"claude-opus-4-20250514-th",5.56097098322695,12,11,52,11,1
"qwen3-235b-a22b-instruct-",2.44395269985985,24,12,52,13,1
"gemma-3-27b-it",-0.539574807390974,32,24,52,26,1
"claude-opus-4-20250514",4.18806921585329,16,11,52,11,1
"grok-3-mini-beta",1.44573408775444,26,14,52,15,1
"grok-3-mini-high",-0.114848838438771,31,20,52,23,1
"gpt-4o-2024-11-20",2.25222628857,25,12,52,13,1
"claude-sonnet-4-20250514-",5.25867483874485,13,11,52,11,1
"gemini-2.0-flash-001",-1.8704640752126,36,27,52,27,1
"mistral-small-2506",-1.11073078798724,33,26,52,26,1
"gpt-4.1-mini-2025-04-14",-0.112597493570469,30,20,52,24,1
"qwq-32b",-2.38346874878509,39,27,52,27,1
"claude-sonnet-4-20250514",-0.059769487542912,29,20,52,24,1
"qwen3-30b-a3b",-1.72955565517073,35,27,52,27,1
"command-a-03-2025",-2.52635044131039,40,27,52,27,1
"o3-mini",-1.9598713497223,37,27,52,27,1
"amazon-nova-experimental-",-5.56785838705837,42,39,52,41,1
"gemma-3n-e4b-it",-14.8359497533663,46,46,52,46,1
"claude-3-7-sonnet-2025021",-4.73478496041331,41,36,52,39,1
"claude-3-5-sonnet-2024102",-5.64564450898869,43,40,52,41,1
"llama-4-maverick-17b-128e",-10.7208883660483,45,44,52,44,1
"claude-3-7-sonnet-2025021.1",-2.00859955447074,38,27,52,27,1
"llama-4-scout-17b-16e-ins",-10.7151353342829,44,44,52,44,1
"llama-3.3-70b-instruct",-19.4082415709447,49,47,52,47,1
"amazon.nova-pro-v1:0",-19.4082415709447,49,47,52,47,1
"mistral-small-3.1-24b-ins",-19.4082415709447,49,47,52,47,1
"magistral-medium-2506",-19.4082415709447,49,47,52,47,1
"claude-3-5-haiku-20241022",-19.4082415709447,49,47,52,47,1
"gpt-4o-mini-2024-07-18",-19.4082415709447,49,47,52,47,1
