"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.3605419322458,1,1,26,1,1
"gemini-2.5-pro-preview-03",8.15252013671785,2,1,32,1,1
"grok-4-0709",7.53172608947006,3,1,35,1,1
"o3-2025-04-16",5.42927038231161,9,3,52,4,2
"chatgpt-4o-latest-2025032",7.37224658479495,4,1,38,1,1
"gemini-2.5-pro-preview-05",5.59067126298869,7,3,52,3,2
"deepseek-r1-0528",4.85483942753729,13,5,52,5,2
"grok-3-preview-02-24",6.77626556508855,5,1,38,2,1
"llama-4-maverick-03-26-ex",5.55858338654203,8,3,52,3,2
"gemini-2.5-flash",5.37430952085821,10,3,52,4,2
"qwen3-235b-a22b-no-thinki",3.80897120512329,17,6,52,6,3
"gemini-2.5-flash-preview-",3.88699523115669,15,6,52,6,3
"gemini-2.0-flash-thinking",2.58341718463776,24,13,52,14,5
"kimi-k2-0711-preview",3.86064893961092,16,6,52,6,3
"gpt-4.1-2025-04-14",3.74762798007418,18,6,52,6,3
"deepseek-v3-0324",2.12964421559845,27,13,52,15,4
"o4-mini-2025-04-16",2.07557797366217,28,14,52,15,4
"mistral-medium-2505",2.77500480251097,21,12,52,13,5
"gemini-2.5-flash-lite-pre",2.85031198223668,20,11,52,13,5
"qwen-max-2025-01-25",0.813448292562839,29,19,52,20,2
"hunyuan-turbos-20250416",2.59343803749037,23,13,52,14,5
"qwen3-235b-a22b",3.27511447260885,19,7,52,9,4
"minimax-m1",-0.479162324496064,32,27,52,29,1
"claude-opus-4-20250514-th",4.7135185843966,14,5,52,5,3
"qwen3-235b-a22b-instruct-",5.80644502555267,6,1,52,2,1
"gemma-3-27b-it",-0.494240141510945,33,29,52,29,1
"claude-opus-4-20250514",5.17140784822983,12,3,52,5,2
"grok-3-mini-beta",2.30806716890882,25,13,52,15,4
"grok-3-mini-high",0.419407944972244,31,20,52,23,1
"gpt-4o-2024-11-20",2.2271250079424,26,14,52,15,4
"claude-sonnet-4-20250514-",5.33697094991512,11,3,52,3,2
"gemini-2.0-flash-001",-1.77427021150057,41,29,52,30,1
"mistral-small-2506",-0.732387962991911,35,29,52,29,1
"gpt-4.1-mini-2025-04-14",0.475743645064686,30,20,52,22,1
"qwq-32b",-3.64897826413806,42,38,52,40,1
"claude-sonnet-4-20250514",2.72179565718825,22,12,52,13,5
"qwen3-30b-a3b",-0.754422494391875,36,29,52,29,1
"command-a-03-2025",-1.33536395004311,39,29,52,29,1
"o3-mini",-1.12547373068025,38,29,52,29,1
"amazon-nova-experimental-",-4.6450056762953,43,42,52,42,1
"gemma-3n-e4b-it",-13.4378043345465,48,48,52,48,1
"claude-3-7-sonnet-2025021",-0.631560458911359,34,29,52,29,1
"claude-3-5-sonnet-2024102",-1.48232317375539,40,29,52,29,1
"llama-4-maverick-17b-128e",-9.76997613020189,45,44,52,44,1
"claude-3-7-sonnet-2025021.1",-0.983275128023894,37,29,52,29,1
"llama-4-scout-17b-16e-ins",-9.76989216342446,44,44,52,44,1
"llama-3.3-70b-instruct",-14.3631268280205,50,48,52,48,1
"amazon.nova-pro-v1:0",-15.0666419412751,51,48,52,48,1
"mistral-small-3.1-24b-ins",-9.86345289912266,47,44,52,44,1
"magistral-medium-2506",-9.8040189060015,46,44,52,44,1
"claude-3-5-haiku-20241022",-14.3182643849194,49,48,52,48,1
"gpt-4o-mini-2024-07-18",-15.1020153337481,52,48,52,48,1
