"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",15.7640043281109,1,1,52,1,1
"gemini-2.5-pro-preview-03",14.7586785741915,2,1,52,1,1
"grok-4-0709",14.2465120867672,4,1,52,1,1
"o3-2025-04-16",10.5206084602884,6,5,52,5,1
"chatgpt-4o-latest-2025032",14.3410007761582,3,1,52,1,1
"gemini-2.5-pro-preview-05",12.1390582029849,5,2,52,2,1
"deepseek-r1-0528",9.09646364910343,10,5,52,6,1
"grok-3-preview-02-24",10.4786327576828,7,5,52,5,1
"llama-4-maverick-03-26-ex",9.8530939914526,8,5,52,5,1
"gemini-2.5-flash",9.32056904730126,9,5,52,6,1
"qwen3-235b-a22b-no-thinki",4.32689714305399,15,11,52,11,1
"gemini-2.5-flash-preview-",6.44305772121483,11,8,52,9,1
"gemini-2.0-flash-thinking",0.955525786588463,27,19,52,19,1
"kimi-k2-0711-preview",3.99620605546039,16,11,52,11,1
"gpt-4.1-2025-04-14",3.98225102425492,17,11,52,11,1
"deepseek-v3-0324",2.96396072616628,21,12,52,12,1
"o4-mini-2025-04-16",2.7345788650996,22,12,52,12,1
"mistral-medium-2505",3.0022598792001,20,12,52,12,1
"gemini-2.5-flash-lite-pre",2.64183328445243,24,13,52,14,1
"qwen-max-2025-01-25",0.673239103590856,28,20,52,20,1
"hunyuan-turbos-20250416",3.62669306853939,19,11,52,12,1
"qwen3-235b-a22b",3.88492319283766,18,11,52,11,1
"minimax-m1",-0.856589605208951,33,26,52,26,1
"claude-opus-4-20250514-th",5.61614694781962,12,11,52,11,1
"qwen3-235b-a22b-instruct-",2.59390604092266,25,12,52,12,1
"gemma-3-27b-it",-0.216364195241047,32,21,52,24,1
"claude-opus-4-20250514",4.39096428386787,14,11,52,11,1
"grok-3-mini-beta",1.15629882457753,26,16,52,19,1
"grok-3-mini-high",0.223627659919275,31,20,52,21,1
"gpt-4o-2024-11-20",2.68823536122464,23,12,52,12,1
"claude-sonnet-4-20250514-",5.38982424478594,13,11,52,11,1
"gemini-2.0-flash-001",-1.78094880781034,37,26,52,26,1
"mistral-small-2506",-0.885040908305138,34,26,52,26,1
"gpt-4.1-mini-2025-04-14",0.315674487042918,30,20,52,20,1
"qwq-32b",-3.84859087651322,40,34,52,35,1
"claude-sonnet-4-20250514",0.43836175757982,29,20,52,20,1
"qwen3-30b-a3b",-1.57164542225842,36,26,52,26,1
"command-a-03-2025",-1.82712129649533,38,26,52,26,1
"o3-mini",-1.90635075252405,39,26,52,26,1
"amazon-nova-experimental-",-5.16101633714545,43,38,52,40,1
"gemma-3n-e4b-it",-14.9757259515301,46,46,52,46,1
"claude-3-7-sonnet-2025021",-4.36837626867447,41,36,52,37,1
"claude-3-5-sonnet-2024102",-5.09134579305216,42,37,52,40,1
"llama-4-maverick-17b-128e",-10.0282643730071,45,44,52,44,1
"claude-3-7-sonnet-2025021.1",-1.27457714253693,35,26,52,26,1
"llama-4-scout-17b-16e-ins",-10.0053893488845,44,44,52,44,1
"llama-3.3-70b-instruct",-19.3179262843134,47,47,52,47,1
"amazon.nova-pro-v1:0",-19.8170397521509,48,47,52,47,1
"mistral-small-3.1-24b-ins",-19.85900395125,49,47,52,47,1
"magistral-medium-2506",-19.8821263686708,50,47,52,47,1
"claude-3-5-haiku-20241022",-19.9868373227598,52,47,52,47,1
"gpt-4o-mini-2024-07-18",-19.9028065739083,51,47,52,47,1
