"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",34.3191427547899,1,1,52,1,1
"gemini-2.5-pro-preview-03",34.3191427547899,1,1,52,1,1
"grok-4-0709",-1.34815432142275,4,3,52,3,1
"o3-2025-04-16",-1.37793704404726,28,3,52,3,1
"chatgpt-4o-latest-2025032",-1.1491530738883,3,3,52,3,1
"gemini-2.5-pro-preview-05",-1.37793704404726,28,3,52,3,1
"deepseek-r1-0528",-1.37793704404726,28,3,52,3,1
"grok-3-preview-02-24",-1.37793704404726,28,3,52,3,1
"llama-4-maverick-03-26-ex",-1.37793704404726,28,3,52,3,1
"gemini-2.5-flash",-1.37793704404726,28,3,52,3,1
"qwen3-235b-a22b-no-thinki",-1.37793704404726,28,3,52,3,1
"gemini-2.5-flash-preview-",-1.37793704404726,28,3,52,3,1
"gemini-2.0-flash-thinking",-1.37793704404726,28,3,52,3,1
"kimi-k2-0711-preview",-1.37793704404726,28,3,52,3,1
"gpt-4.1-2025-04-14",-1.37793704404726,28,3,52,3,1
"deepseek-v3-0324",-1.37793704404726,28,3,52,3,1
"o4-mini-2025-04-16",-1.37793704404726,28,3,52,3,1
"mistral-medium-2505",-1.37793704404726,28,3,52,3,1
"gemini-2.5-flash-lite-pre",-1.37793704404726,28,3,52,3,1
"qwen-max-2025-01-25",-1.37793704404726,28,3,52,3,1
"hunyuan-turbos-20250416",-1.37793704404726,28,3,52,3,1
"qwen3-235b-a22b",-1.37793704404726,28,3,52,3,1
"minimax-m1",-1.37793704404726,28,3,52,3,1
"claude-opus-4-20250514-th",-1.37793704404726,28,3,52,3,1
"qwen3-235b-a22b-instruct-",-1.37793704404726,28,3,52,3,1
"gemma-3-27b-it",-1.37793704404726,28,3,52,3,1
"claude-opus-4-20250514",-1.37793704404726,28,3,52,3,1
"grok-3-mini-beta",-1.37793704404726,28,3,52,3,1
"grok-3-mini-high",-1.37793704404726,28,3,52,3,1
"gpt-4o-2024-11-20",-1.37793704404726,28,3,52,3,1
"claude-sonnet-4-20250514-",-1.37793704404726,28,3,52,3,1
"gemini-2.0-flash-001",-1.37793704404726,28,3,52,3,1
"mistral-small-2506",-1.37793704404726,28,3,52,3,1
"gpt-4.1-mini-2025-04-14",-1.37793704404726,28,3,52,3,1
"qwq-32b",-1.37793704404726,28,3,52,3,1
"claude-sonnet-4-20250514",-1.37793704404726,28,3,52,3,1
"qwen3-30b-a3b",-1.37793704404726,28,3,52,3,1
"command-a-03-2025",-1.37793704404726,28,3,52,3,1
"o3-mini",-1.37793704404726,28,3,52,3,1
"amazon-nova-experimental-",-1.37793704404726,28,3,52,3,1
"gemma-3n-e4b-it",-1.37793704404726,28,3,52,3,1
"claude-3-7-sonnet-2025021",-1.37793704404726,28,3,52,3,1
"claude-3-5-sonnet-2024102",-1.37793704404726,28,3,52,3,1
"llama-4-maverick-17b-128e",-1.37793704404726,28,3,52,3,1
"claude-3-7-sonnet-2025021.1",-1.37793704404726,28,3,52,3,1
"llama-4-scout-17b-16e-ins",-1.37793704404726,28,3,52,3,1
"llama-3.3-70b-instruct",-1.37793704404726,28,3,52,3,1
"amazon.nova-pro-v1:0",-1.37793704404726,28,3,52,3,1
"mistral-small-3.1-24b-ins",-1.37793704404726,28,3,52,3,1
"magistral-medium-2506",-1.37793704404726,28,3,52,3,1
"claude-3-5-haiku-20241022",-1.37793704404726,28,3,52,3,1
"gpt-4o-mini-2024-07-18",-1.37793704404726,28,3,52,3,1
