"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.53580056140986,1,1,30,1,1
"gemini-2.5-pro-preview-03",8.65111948865117,2,1,36,1,1
"grok-4-0709",6.73209239960843,4,1,52,2,1
"o3-2025-04-16",5.5264267040823,11,3,52,3,1
"chatgpt-4o-latest-2025032",6.44195148267283,5,1,52,2,1
"gemini-2.5-pro-preview-05",5.591093622044,9,3,52,3,1
"deepseek-r1-0528",4.86512396131324,13,3,52,3,2
"grok-3-preview-02-24",7.11879796147748,3,1,44,1,1
"llama-4-maverick-03-26-ex",5.5700627239921,10,3,52,3,1
"gemini-2.5-flash",5.73371290478226,7,2,52,3,1
"qwen3-235b-a22b-no-thinki",4.09405161048062,18,4,52,6,3
"gemini-2.5-flash-preview-",4.7445871749049,15,3,52,4,2
"gemini-2.0-flash-thinking",3.32163949624224,22,7,52,8,3
"kimi-k2-0711-preview",4.4127741457709,16,3,52,4,3
"gpt-4.1-2025-04-14",4.23592269376401,17,4,52,5,3
"deepseek-v3-0324",2.3780030840263,27,8,52,12,3
"o4-mini-2025-04-16",2.56594238369543,25,7,52,12,3
"mistral-medium-2505",3.38052926445773,21,7,52,7,3
"gemini-2.5-flash-lite-pre",3.65616097651156,19,5,52,7,3
"qwen-max-2025-01-25",0.933712674608822,28,19,52,21,1
"hunyuan-turbos-20250416",2.46519856048813,26,9,52,12,3
"qwen3-235b-a22b",3.47486516849706,20,6,52,7,3
"minimax-m1",-0.668972936550546,33,27,52,28,1
"claude-opus-4-20250514-th",4.84373101526734,14,3,52,3,2
"qwen3-235b-a22b-instruct-",6.34368502058238,6,1,52,1,1
"gemma-3-27b-it",0.165241259893707,31,23,52,25,1
"claude-opus-4-20250514",5.11632311560646,12,3,52,3,2
"grok-3-mini-beta",2.82024712192695,24,7,52,12,3
"grok-3-mini-high",0.747985987699026,29,20,52,23,1
"gpt-4o-2024-11-20",-0.798921791446988,34,28,52,28,1
"claude-sonnet-4-20250514-",5.66734977701066,8,2,52,3,1
"gemini-2.0-flash-001",-1.96975843967582,42,28,52,29,1
"mistral-small-2506",-1.70039954364975,41,28,52,28,1
"gpt-4.1-mini-2025-04-14",0.429444336969818,30,23,52,23,1
"qwq-32b",-1.600552689538,40,28,52,28,1
"claude-sonnet-4-20250514",2.85767998775692,23,9,52,12,3
"qwen3-30b-a3b",-0.875975407598483,35,28,52,28,1
"command-a-03-2025",-1.44809021247615,39,28,52,28,1
"o3-mini",-0.88357786941924,36,28,52,28,1
"amazon-nova-experimental-",-4.29216762694517,43,39,52,40,1
"gemma-3n-e4b-it",-13.4074466157616,48,46,52,46,1
"claude-3-7-sonnet-2025021",-0.244151385764804,32,25,52,27,1
"claude-3-5-sonnet-2024102",-1.05448236557975,38,28,52,28,1
"llama-4-maverick-17b-128e",-12.6438092738094,46,46,52,46,1
"claude-3-7-sonnet-2025021.1",-0.965109377260971,37,28,52,28,1
"llama-4-scout-17b-16e-ins",-12.6972831576408,47,46,52,46,1
"llama-3.3-70b-instruct",-14.1504349363839,51,46,52,46,1
"amazon.nova-pro-v1:0",-14.1227378782717,50,46,52,46,1
"mistral-small-3.1-24b-ins",-9.18889497683426,44,44,52,44,1
"magistral-medium-2506",-9.19632620656118,45,44,52,44,1
"claude-3-5-haiku-20241022",-14.0808399897688,49,46,52,46,1
"gpt-4o-mini-2024-07-18",-18.4313239852574,52,52,52,52,1
