"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.35909702548021,1,1,27,1,1
"gemini-2.5-pro-preview-03",8.29689553483997,2,1,34,1,1
"grok-4-0709",7.10942827187188,4,1,40,1,1
"o3-2025-04-16",5.61905324779347,7,3,52,3,2
"chatgpt-4o-latest-2025032",7.48509107328272,3,1,39,1,1
"gemini-2.5-pro-preview-05",5.56023914746572,9,3,52,3,2
"deepseek-r1-0528",4.73556412332449,13,4,52,6,3
"grok-3-preview-02-24",6.79415241079106,5,1,43,2,1
"llama-4-maverick-03-26-ex",5.58041738312628,8,3,52,3,2
"gemini-2.5-flash",5.5336982976818,10,3,52,3,2
"qwen3-235b-a22b-no-thinki",3.84433657008986,18,6,52,6,3
"gemini-2.5-flash-preview-",4.28726327915024,15,6,52,6,3
"gemini-2.0-flash-thinking",2.72175142936682,24,11,52,13,4
"kimi-k2-0711-preview",4.09206336418046,16,6,52,6,3
"gpt-4.1-2025-04-14",4.03037903397592,17,6,52,6,3
"deepseek-v3-0324",2.55443901190999,25,11,52,13,4
"o4-mini-2025-04-16",2.48121443904836,26,11,52,13,4
"mistral-medium-2505",3.03061406078296,21,8,52,11,4
"gemini-2.5-flash-lite-pre",3.33491871320184,19,6,52,11,4
"qwen-max-2025-01-25",0.695185658349683,28,21,52,22,1
"hunyuan-turbos-20250416",2.90781373761511,22,11,52,12,4
"qwen3-235b-a22b",3.30942454508598,20,6,52,11,4
"minimax-m1",-0.768707464504475,33,28,52,28,1
"claude-opus-4-20250514-th",4.57194831790687,14,5,52,6,3
"qwen3-235b-a22b-instruct-",5.7571908604793,6,1,52,2,1
"gemma-3-27b-it",-0.069418075373509,31,26,52,28,1
"claude-opus-4-20250514",5.0741175012812,12,3,52,4,2
"grok-3-mini-beta",2.46417331887812,27,12,52,13,4
"grok-3-mini-high",0.334443666320155,29,22,52,25,1
"gpt-4o-2024-11-20",-0.971082890158428,35,28,52,28,1
"claude-sonnet-4-20250514-",5.16000404271977,11,3,52,3,2
"gemini-2.0-flash-001",-1.95884642943929,41,28,52,29,1
"mistral-small-2506",-1.82293426693596,40,28,52,28,1
"gpt-4.1-mini-2025-04-14",0.213583423498148,30,23,52,26,1
"qwq-32b",-2.03152204066273,42,28,52,28,1
"claude-sonnet-4-20250514",2.74643758561163,23,11,52,13,4
"qwen3-30b-a3b",-0.927440490222674,34,28,52,28,1
"command-a-03-2025",-1.33667010947176,39,28,52,28,1
"o3-mini",-1.01727480337488,36,28,52,28,1
"amazon-nova-experimental-",-4.79721048420273,43,42,52,43,1
"gemma-3n-e4b-it",-13.3964442346822,48,48,52,48,1
"claude-3-7-sonnet-2025021",-0.55454967939184,32,28,52,28,1
"claude-3-5-sonnet-2024102",-1.18971046119638,38,28,52,28,1
"llama-4-maverick-17b-128e",-9.91092397430401,44,44,52,44,1
"claude-3-7-sonnet-2025021.1",-1.06222557972325,37,28,52,28,1
"llama-4-scout-17b-16e-ins",-9.93902400219396,45,44,52,44,1
"llama-3.3-70b-instruct",-14.0975838506891,50,48,52,48,1
"amazon.nova-pro-v1:0",-14.5124152111924,51,48,52,48,1
"mistral-small-3.1-24b-ins",-10.0044862174798,47,44,52,44,1
"magistral-medium-2506",-9.98315524744846,46,44,52,44,1
"claude-3-5-haiku-20241022",-14.0901697626678,49,48,52,48,1
"gpt-4o-mini-2024-07-18",-15.2431437997942,52,48,52,48,1
