"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",12.9573798041195,1,1,36,1,1
"gemini-2.5-pro-preview-03",12.3455762895827,2,1,39,1,1
"grok-4-0709",10.6557365427177,5,1,49,1,1
"o3-2025-04-16",8.70078837538375,14,4,52,4,2
"chatgpt-4o-latest-2025032",9.9776516773194,7,2,52,3,1
"gemini-2.5-pro-preview-05",9.75096775734446,8,2,52,3,1
"deepseek-r1-0528",8.49666459347131,15,4,52,4,2
"grok-3-preview-02-24",11.3527068857893,3,1,43,1,1
"llama-4-maverick-03-26-ex",9.5266644910773,10,3,52,3,1
"gemini-2.5-flash",9.60701407519076,9,3,52,3,1
"qwen3-235b-a22b-no-thinki",7.55311756264298,19,7,52,7,3
"gemini-2.5-flash-preview-",8.90009994376966,13,3,52,4,2
"gemini-2.0-flash-thinking",7.91691373379471,17,6,52,7,3
"kimi-k2-0711-preview",8.04207687674868,16,4,52,7,3
"gpt-4.1-2025-04-14",7.86913495912099,18,6,52,7,3
"deepseek-v3-0324",-1.14626677997806,36,30,52,30,1
"o4-mini-2025-04-16",3.23942391792327,26,22,52,25,1
"mistral-medium-2505",7.10292264114296,22,7,52,7,3
"gemini-2.5-flash-lite-pre",7.43870721146522,20,7,52,7,3
"qwen-max-2025-01-25",3.91637794101974,25,22,52,24,1
"hunyuan-turbos-20250416",-1.18234565553688,38,30,52,30,1
"qwen3-235b-a22b",6.83088725074785,24,7,52,7,3
"minimax-m1",-1.18234565520543,37,30,52,30,1
"claude-opus-4-20250514-th",9.07036258905484,12,3,52,4,1
"qwen3-235b-a22b-instruct-",10.6657801149969,4,1,52,1,1
"gemma-3-27b-it",-0.245825322242952,30,27,52,29,1
"claude-opus-4-20250514",9.38000846188968,11,3,52,3,1
"grok-3-mini-beta",7.00761246133864,23,7,52,7,3
"grok-3-mini-high",3.09837088453246,27,25,52,25,1
"gpt-4o-2024-11-20",-0.246701758087362,31,27,52,29,1
"claude-sonnet-4-20250514-",10.5176645299781,6,1,52,1,1
"gemini-2.0-flash-001",-4.12111011881458,40,33,52,36,1
"mistral-small-2506",-8.91324702161498,42,42,52,42,1
"gpt-4.1-mini-2025-04-14",3.01989926909059,28,25,52,25,1
"qwq-32b",-4.50667792115295,41,36,52,39,1
"claude-sonnet-4-20250514",7.25479175325006,21,8,52,9,3
"qwen3-30b-a3b",-0.844085359438516,34,29,52,30,1
"command-a-03-2025",-3.70574004030483,39,33,52,33,1
"o3-mini",-0.826683388711837,33,29,52,30,1
"amazon-nova-experimental-",-13.355618708107,43,43,52,43,1
"gemma-3n-e4b-it",-22.9285297351116,50,46,52,46,1
"claude-3-7-sonnet-2025021",2.83778663902575,29,25,52,25,1
"claude-3-5-sonnet-2024102",-0.901243773314869,35,29,52,30,1
"llama-4-maverick-17b-128e",-21.5841158712368,46,46,52,46,1
"claude-3-7-sonnet-2025021.1",-0.352579493562519,32,27,52,30,1
"llama-4-scout-17b-16e-ins",-21.6320917031136,47,46,52,46,1
"llama-3.3-70b-instruct",-22.9285297351116,50,46,52,46,1
"amazon.nova-pro-v1:0",-22.9285297351116,50,46,52,46,1
"mistral-small-3.1-24b-ins",-17.8433959201358,45,44,52,44,1
"magistral-medium-2506",-17.8003660674123,44,44,52,44,1
"claude-3-5-haiku-20241022",-22.9285297351116,50,46,52,46,1
"gpt-4o-mini-2024-07-18",-22.9285297351116,50,46,52,46,1
