"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",16.7377069947551,1,1,52,1,1
"gemini-2.5-pro-preview-03",16.3547938666716,2,1,52,1,1
"grok-4-0709",15.4376324243726,4,1,52,1,1
"o3-2025-04-16",12.2107400303328,7,5,52,5,1
"chatgpt-4o-latest-2025032",16.0971783838784,3,1,52,1,1
"gemini-2.5-pro-preview-05",14.3562919082491,5,1,52,1,1
"deepseek-r1-0528",7.32120533319314,11,9,52,9,1
"grok-3-preview-02-24",12.3068964313161,6,5,52,5,1
"llama-4-maverick-03-26-ex",11.6675450942361,8,5,52,5,1
"gemini-2.5-flash",10.0056773033512,9,6,52,6,1
"qwen3-235b-a22b-no-thinki",5.498338999236,13,10,52,10,1
"gemini-2.5-flash-preview-",8.47892394906319,10,6,52,7,1
"gemini-2.0-flash-thinking",2.45247124686224,24,12,52,13,1
"kimi-k2-0711-preview",5.25552895605388,15,10,52,10,1
"gpt-4.1-2025-04-14",5.45773560752344,14,10,52,10,1
"deepseek-v3-0324",4.7925157897153,18,10,52,10,1
"o4-mini-2025-04-16",2.3235068104597,25,12,52,15,1
"mistral-medium-2505",2.8306669280918,22,12,52,12,1
"gemini-2.5-flash-lite-pre",3.62697403809223,21,12,52,12,1
"qwen-max-2025-01-25",1.92543687154576,28,13,52,16,1
"hunyuan-turbos-20250416",5.07439509895055,16,10,52,10,1
"qwen3-235b-a22b",5.04510748203749,17,10,52,10,1
"minimax-m1",-2.46432356088749,32,31,52,32,1
"claude-opus-4-20250514-th",4.67962663676194,19,11,52,11,1
"qwen3-235b-a22b-instruct-",2.00711490276201,26,13,52,16,1
"gemma-3-27b-it",1.09597957922336,31,16,52,19,1
"claude-opus-4-20250514",5.72015533292393,12,10,52,10,1
"grok-3-mini-beta",2.46946602654076,23,12,52,13,1
"grok-3-mini-high",1.55569838845002,30,15,52,17,1
"gpt-4o-2024-11-20",-5.45796530566663,38,32,52,32,1
"claude-sonnet-4-20250514-",4.60893790845828,20,11,52,11,1
"gemini-2.0-flash-001",-2.64410858070729,33,31,52,31,1
"mistral-small-2506",-2.65604541222472,34,31,52,31,1
"gpt-4.1-mini-2025-04-14",1.64102808099474,29,15,52,18,1
"qwq-32b",-5.90346460955359,41,32,52,33,1
"claude-sonnet-4-20250514",1.97167944146548,27,13,52,16,1
"qwen3-30b-a3b",-2.65863595737821,35,31,52,32,1
"command-a-03-2025",-2.65863597945366,36,31,52,31,1
"o3-mini",-5.48499368932007,39,32,52,32,1
"amazon-nova-experimental-",-7.09842056187987,43,37,52,37,1
"gemma-3n-e4b-it",-19.004938195358,49,46,52,46,1
"claude-3-7-sonnet-2025021",-5.51277363255067,40,32,52,32,1
"claude-3-5-sonnet-2024102",-6.97701008472442,42,37,52,37,1
"llama-4-maverick-17b-128e",-11.5411449497884,45,44,52,44,1
"claude-3-7-sonnet-2025021.1",-5.37376824604322,37,32,52,32,1
"llama-4-scout-17b-16e-ins",-11.5410979078841,44,44,52,44,1
"llama-3.3-70b-instruct",-19.004938195358,49,46,52,46,1
"amazon.nova-pro-v1:0",-19.004938195358,49,46,52,46,1
"mistral-small-3.1-24b-ins",-19.004938195358,49,46,52,46,1
"magistral-medium-2506",-19.004938195358,49,46,52,46,1
"claude-3-5-haiku-20241022",-19.004938195358,49,46,52,46,1
"gpt-4o-mini-2024-07-18",-19.004938195358,49,46,52,46,1
