model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0818,1,1,4,1,1
gemini-2.5-pro,0.8103,2,1,7,1,1
grok-4-0709,0.6044,3,1,20,1,1
gemini-2.5-pro-preview-05-06,0.6024,4,1,16,2,1
grok-3-preview-02-24,0.5619,5,2,16,2,1
chatgpt-4o-latest-20250326,0.5435,6,3,16,3,1
gemini-2.5-flash,0.4664,7,3,21,3,3
claude-sonnet-4-20250514-thinking-32k,0.4447,8,3,21,3,3
llama-4-maverick-03-26-experimental,0.4247,9,3,21,3,3
o3-2025-04-16,0.3762,10,3,24,3,3
claude-opus-4-20250514-thinking-16k,0.3755,11,3,24,3,3
gemini-2.5-flash-preview-04-17,0.3691,12,3,26,3,3
claude-opus-4-20250514,0.3505,13,3,24,3,3
qwen3-235b-a22b-instruct-2507,0.3257,14,2,41,2,1
deepseek-r1-0528,0.3227,15,3,28,3,3
qwen3-235b-a22b-no-thinking,0.2485,16,6,30,6,3
gpt-4.1-2025-04-14,0.2183,17,6,33,7,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.2139,18,6,33,7,3
gemini-2.0-flash-thinking-exp-01-21,0.2133,19,2,43,3,1
kimi-k2-0711-preview,0.1957,20,6,35,6,3
mistral-medium-2505,0.1338,21,10,35,11,7
claude-sonnet-4-20250514,0.1005,22,13,36,14,7
grok-3-mini-beta,0.0996,23,11,37,13,7
qwen3-235b-a22b,0.0846,24,10,40,12,7
qwen-max-2025-01-25,0.0323,25,14,41,15,8
o4-mini-2025-04-16,0.0278,26,15,41,15,11
gpt-4.1-mini-2025-04-14,-0.0014,27,15,41,16,13
grok-3-mini-high,-0.0044,28,14,42,15,7
gemma-3-27b-it,-0.0326,29,16,42,16,15
minimax-m1,-0.0691,30,16,42,17,15
deepseek-v3-0324,-0.0707,31,16,42,18,15
claude-3-7-sonnet-20250219,-0.0828,32,17,42,18,16
claude-3-7-sonnet-20250219-thinking-32k,-0.1007,33,18,43,18,16
hunyuan-turbos-20250416,-0.1022,34,15,45,15,7
o3-mini,-0.1771,35,21,43,22,18
gpt-4o-2024-11-20,-0.1931,36,10,52,14,3
qwq-32b,-0.1964,37,20,47,21,17
command-a-03-2025,-0.2141,38,22,46,23,19
gemini-2.0-flash-001,-0.2218,39,22,47,23,19
claude-3-5-sonnet-20241022,-0.2289,40,23,46,24,21
qwen3-30b-a3b,-0.2322,41,22,47,23,19
mistral-small-2506,-0.423,42,28,52,29,22
amazon-nova-experimental-chat-05-14,-0.4463,43,32,52,33,26
llama-4-maverick-17b-128e-instruct,-0.528,44,35,52,40,33
llama-4-scout-17b-16e-instruct,-0.5735,45,34,52,40,33
magistral-medium-2506,-0.5781,46,38,52,41,33
mistral-small-3.1-24b-instruct-2503,-0.6798,47,41,52,41,35
amazon.nova-pro-v1:0,-0.7778,48,41,52,41,40
llama-3.3-70b-instruct,-0.7852,49,41,52,41,40
claude-3-5-haiku-20241022,-0.79,50,41,52,42,41
gemma-3n-e4b-it,-0.8094,51,41,52,41,40
gpt-4o-mini-2024-07-18,-0.9092,52,41,52,41,27
