model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9903,1,1,4,1,1
gemini-2.5-pro,0.8412,2,1,5,1,1
chatgpt-4o-latest-20250326,0.6736,3,1,8,1,1
grok-4-0709,0.6676,4,1,14,1,1
gemini-2.5-pro-preview-05-06,0.5568,5,3,16,3,1
grok-3-preview-02-24,0.5369,6,3,16,3,2
o3-2025-04-16,0.4502,7,4,20,4,3
llama-4-maverick-03-26-experimental,0.4443,8,4,20,4,3
gemini-2.5-flash,0.4351,9,4,20,4,3
deepseek-r1-0528,0.3692,10,4,22,4,4
claude-opus-4-20250514,0.3577,11,4,22,4,4
gemini-2.5-flash-preview-04-17,0.3308,12,4,23,4,4
claude-opus-4-20250514-thinking-16k,0.3049,13,4,25,6,4
claude-sonnet-4-20250514-thinking-32k,0.3035,14,4,26,6,4
qwen3-235b-a22b-no-thinking,0.2804,15,7,26,7,4
gpt-4.1-2025-04-14,0.2785,16,6,28,7,4
kimi-k2-0711-preview,0.2296,17,7,31,7,4
gemini-2.5-flash-lite-preview-06-17-thinking,0.2254,18,8,29,9,5
qwen3-235b-a22b-instruct-2507,0.1932,19,4,41,4,3
gemini-2.0-flash-thinking-exp-01-21,0.1734,20,3,42,3,1
mistral-medium-2505,0.1416,21,12,33,12,10
qwen3-235b-a22b,0.1362,22,10,33,12,9
claude-sonnet-4-20250514,0.0932,23,13,33,15,12
grok-3-mini-beta,0.0853,24,12,34,14,11
o4-mini-2025-04-16,0.0693,25,16,34,17,12
hunyuan-turbos-20250416,0.0542,26,10,42,12,7
deepseek-v3-0324,0.0506,27,16,34,17,12
qwen-max-2025-01-25,0.0193,28,17,41,17,12
gpt-4.1-mini-2025-04-14,-0.0294,29,18,41,19,17
gemma-3-27b-it,-0.0491,30,19,41,20,17
grok-3-mini-high,-0.0784,31,18,42,19,17
minimax-m1,-0.0794,32,19,42,20,17
claude-3-7-sonnet-20250219,-0.1347,33,22,42,23,20
claude-3-7-sonnet-20250219-thinking-32k,-0.1798,34,25,42,25,22
command-a-03-2025,-0.202,35,25,43,25,22
o3-mini,-0.2092,36,25,43,25,24
gemini-2.0-flash-001,-0.214,37,25,43,25,24
qwen3-30b-a3b,-0.2218,38,25,43,25,22
qwq-32b,-0.2563,39,26,45,26,24
gpt-4o-2024-11-20,-0.2674,40,18,50,19,7
claude-3-5-sonnet-20241022,-0.2686,41,28,45,28,25
mistral-small-2506,-0.2963,42,26,47,27,22
amazon-nova-experimental-chat-05-14,-0.4818,43,36,50,38,31
llama-4-maverick-17b-128e-instruct,-0.5307,44,41,51,41,37
llama-4-scout-17b-16e-instruct,-0.5449,45,39,52,41,34
magistral-medium-2506,-0.5936,46,41,52,41,36
llama-3.3-70b-instruct,-0.7084,47,42,52,42,42
mistral-small-3.1-24b-instruct-2503,-0.7278,48,42,52,42,41
claude-3-5-haiku-20241022,-0.7669,49,43,52,44,42
gemma-3n-e4b-it,-0.7867,50,42,52,42,41
amazon.nova-pro-v1:0,-0.8211,51,44,52,45,42
gpt-4o-mini-2024-07-18,-0.8438,52,41,52,42,31
