model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.1382,1,1,3,1,1
gemini-2.5-pro,0.9582,2,1,4,1,1
grok-4-0709,0.7166,3,1,17,1,1
gemini-2.5-pro-preview-05-06,0.6472,4,1,15,3,1
chatgpt-4o-latest-20250326,0.5689,5,3,16,3,2
gemini-2.5-flash,0.5683,6,3,16,3,2
llama-4-maverick-03-26-experimental,0.4749,7,3,22,3,3
o3-2025-04-16,0.4612,8,3,21,3,3
grok-3-preview-02-24,0.4229,9,3,24,3,3
gemini-2.5-flash-preview-04-17,0.4005,10,3,26,3,3
claude-opus-4-20250514-thinking-16k,0.3703,11,3,26,3,3
claude-sonnet-4-20250514-thinking-32k,0.3676,12,3,27,3,3
qwen3-235b-a22b-no-thinking,0.3173,13,5,29,6,3
deepseek-r1-0528,0.2987,14,5,30,6,3
qwen3-235b-a22b,0.2973,15,3,31,5,3
claude-opus-4-20250514,0.2716,16,6,30,7,5
gemini-2.5-flash-lite-preview-06-17-thinking,0.2379,17,7,31,7,3
kimi-k2-0711-preview,0.2175,18,7,34,7,3
minimax-m1,0.1782,19,8,34,9,6
gpt-4.1-2025-04-14,0.1567,20,9,34,10,6
o4-mini-2025-04-16,0.1318,21,10,35,10,8
qwen-max-2025-01-25,0.1317,22,9,38,10,6
gemini-2.0-flash-thinking-exp-01-21,0.0899,23,3,45,4,2
claude-sonnet-4-20250514,0.0757,24,13,38,14,10
grok-3-mini-beta,0.0685,25,13,39,14,9
mistral-medium-2505,0.0558,26,14,38,14,11
grok-3-mini-high,0.0505,27,10,39,11,7
qwen3-235b-a22b-instruct-2507,0.0478,28,3,45,7,3
hunyuan-turbos-20250416,0.0393,29,9,43,10,4
deepseek-v3-0324,0.0013,30,16,39,17,12
gpt-4.1-mini-2025-04-14,-0.0752,31,18,43,18,16
gemma-3-27b-it,-0.0846,32,18,43,18,17
qwq-32b,-0.0922,33,18,43,18,15
o3-mini,-0.1195,34,20,43,21,17
claude-3-7-sonnet-20250219,-0.1582,35,22,43,23,18
gemini-2.0-flash-001,-0.1607,36,22,44,23,18
qwen3-30b-a3b,-0.1656,37,22,44,22,18
claude-3-7-sonnet-20250219-thinking-32k,-0.2111,38,25,44,26,22
gpt-4o-2024-11-20,-0.2948,39,17,51,19,7
claude-3-5-sonnet-20241022,-0.3029,40,27,46,28,26
command-a-03-2025,-0.3267,41,28,46,28,26
amazon-nova-experimental-chat-05-14,-0.4102,42,28,48,31,26
mistral-small-2506,-0.4329,43,28,50,31,26
llama-4-maverick-17b-128e-instruct,-0.517,44,37,51,37,32
llama-4-scout-17b-16e-instruct,-0.5407,45,36,52,37,29
magistral-medium-2506,-0.7472,46,41,52,41,37
amazon.nova-pro-v1:0,-0.7837,47,42,52,42,39
gemma-3n-e4b-it,-0.8192,48,41,52,42,38
llama-3.3-70b-instruct,-0.835,49,42,52,44,40
mistral-small-3.1-24b-instruct-2503,-0.8603,50,42,52,44,39
claude-3-5-haiku-20241022,-0.8978,51,44,52,46,42
gpt-4o-mini-2024-07-18,-0.9269,52,40,52,41,28
