model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0376,1,1,4,1,1
gemini-2.5-pro,0.9372,2,1,3,1,1
grok-4-0709,0.7402,3,1,10,1,1
chatgpt-4o-latest-20250326,0.6821,4,2,9,2,2
gemini-2.5-pro-preview-05-06,0.5913,5,3,12,3,2
gemini-2.5-flash,0.5017,6,3,16,3,3
o3-2025-04-16,0.5016,7,3,17,3,3
llama-4-maverick-03-26-experimental,0.476,8,3,21,4,3
grok-3-preview-02-24,0.4459,9,4,22,4,3
gemini-2.5-flash-preview-04-17,0.3552,10,5,23,5,4
deepseek-r1-0528,0.3536,11,5,23,5,4
qwen3-235b-a22b-no-thinking,0.3208,12,6,24,7,4
claude-opus-4-20250514,0.3054,13,8,25,8,4
claude-opus-4-20250514-thinking-16k,0.3044,14,6,26,7,4
qwen3-235b-a22b,0.2682,15,8,29,8,4
claude-sonnet-4-20250514-thinking-32k,0.2546,16,8,29,8,5
kimi-k2-0711-preview,0.2447,17,6,30,8,4
gemini-2.5-flash-lite-preview-06-17-thinking,0.2401,18,8,30,9,5
gpt-4.1-2025-04-14,0.2356,19,9,30,9,8
hunyuan-turbos-20250416,0.1429,20,9,38,10,5
o4-mini-2025-04-16,0.1331,21,10,32,13,10
mistral-medium-2505,0.0927,22,14,33,15,10
qwen-max-2025-01-25,0.0909,23,13,33,14,10
gemini-2.0-flash-thinking-exp-01-21,0.0907,24,5,43,6,3
deepseek-v3-0324,0.0887,25,14,33,15,10
minimax-m1,0.0866,26,14,33,14,10
claude-sonnet-4-20250514,0.075,27,15,33,15,14
grok-3-mini-beta,0.0635,28,15,35,15,11
qwen3-235b-a22b-instruct-2507,0.0068,29,9,43,10,4
grok-3-mini-high,-0.0443,30,18,42,19,14
gpt-4.1-mini-2025-04-14,-0.0733,31,20,41,21,19
gemma-3-27b-it,-0.0849,32,21,41,21,19
o3-mini,-0.1703,33,27,42,27,22
gemini-2.0-flash-001,-0.1756,34,27,42,27,22
qwen3-30b-a3b,-0.1763,35,26,43,27,21
claude-3-7-sonnet-20250219,-0.1787,36,27,42,27,23
qwq-32b,-0.1825,37,25,43,27,21
claude-3-7-sonnet-20250219-thinking-32k,-0.2473,38,28,44,28,27
command-a-03-2025,-0.2772,39,28,44,28,27
mistral-small-2506,-0.3015,40,28,46,28,24
claude-3-5-sonnet-20241022,-0.3152,41,30,46,31,28
gpt-4o-2024-11-20,-0.3209,42,20,49,22,10
amazon-nova-experimental-chat-05-14,-0.4592,43,34,49,36,31
llama-4-maverick-17b-128e-instruct,-0.5243,44,38,49,40,36
llama-4-scout-17b-16e-instruct,-0.5249,45,36,50,39,31
magistral-medium-2506,-0.7049,46,42,52,42,38
llama-3.3-70b-instruct,-0.7479,47,43,52,43,42
gemma-3n-e4b-it,-0.8006,48,43,52,43,42
amazon.nova-pro-v1:0,-0.8251,49,44,52,46,43
claude-3-5-haiku-20241022,-0.8351,50,45,52,45,44
mistral-small-3.1-24b-instruct-2503,-0.8367,51,44,52,46,42
gpt-4o-mini-2024-07-18,-0.8604,52,42,52,42,31
