model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0447,1,1,5,1,1
gemini-2.5-pro,0.8802,2,1,6,1,1
chatgpt-4o-latest-20250326,0.7303,3,1,8,1,1
grok-4-0709,0.696,4,1,12,1,1
gemini-2.5-pro-preview-05-06,0.6269,5,1,12,1,1
grok-3-preview-02-24,0.5096,6,3,18,3,2
o3-2025-04-16,0.5003,7,4,18,4,3
gemini-2.5-flash,0.4473,8,4,21,4,4
llama-4-maverick-03-26-experimental,0.4457,9,4,21,4,3
deepseek-r1-0528,0.3806,10,4,22,4,4
gemini-2.5-flash-preview-04-17,0.3484,11,4,27,4,4
claude-opus-4-20250514,0.3305,12,5,25,5,4
qwen3-235b-a22b-no-thinking,0.3019,13,5,27,6,4
gpt-4.1-2025-04-14,0.2885,14,5,29,6,4
claude-opus-4-20250514-thinking-16k,0.2873,15,5,29,6,4
claude-sonnet-4-20250514-thinking-32k,0.2441,16,8,29,8,4
gemini-2.5-flash-lite-preview-06-17-thinking,0.2372,17,8,30,8,4
kimi-k2-0711-preview,0.2332,18,6,33,8,4
qwen3-235b-a22b,0.1591,19,10,33,10,8
mistral-medium-2505,0.1384,20,11,33,12,10
gemini-2.0-flash-thinking-exp-01-21,0.1206,21,4,43,4,1
deepseek-v3-0324,0.1166,22,11,33,12,10
hunyuan-turbos-20250416,0.1144,23,8,41,9,4
o4-mini-2025-04-16,0.1011,24,12,33,13,10
grok-3-mini-beta,0.0845,25,12,34,14,10
claude-sonnet-4-20250514,0.0705,26,14,34,14,12
qwen-max-2025-01-25,0.0215,27,14,41,16,11
qwen3-235b-a22b-instruct-2507,-0.0017,28,8,43,9,3
gpt-4.1-mini-2025-04-14,-0.0461,29,18,41,18,16
gemma-3-27b-it,-0.0484,30,18,41,19,16
minimax-m1,-0.0644,31,18,42,19,16
grok-3-mini-high,-0.0819,32,18,42,19,14
claude-3-7-sonnet-20250219,-0.1412,33,23,43,23,20
gemini-2.0-flash-001,-0.1901,34,25,44,25,21
claude-3-7-sonnet-20250219-thinking-32k,-0.2153,35,25,45,25,23
command-a-03-2025,-0.2177,36,25,45,25,24
o3-mini,-0.2207,37,25,45,25,24
qwen3-30b-a3b,-0.2401,38,25,45,25,23
qwq-32b,-0.251,39,25,46,25,23
gpt-4o-2024-11-20,-0.2681,40,16,51,19,6
mistral-small-2506,-0.2966,41,25,47,27,21
claude-3-5-sonnet-20241022,-0.3019,42,29,46,29,25
amazon-nova-experimental-chat-05-14,-0.4557,43,32,50,32,29
llama-4-scout-17b-16e-instruct,-0.5282,44,36,52,36,30
llama-4-maverick-17b-128e-instruct,-0.539,45,37,51,38,33
magistral-medium-2506,-0.6448,46,41,52,41,36
llama-3.3-70b-instruct,-0.7094,47,42,52,42,39
gpt-4o-mini-2024-07-18,-0.7842,48,37,52,40,25
claude-3-5-haiku-20241022,-0.7843,49,43,52,43,41
mistral-small-3.1-24b-instruct-2503,-0.7849,50,42,52,42,39
gemma-3n-e4b-it,-0.82,51,42,52,43,40
amazon.nova-pro-v1:0,-0.8235,52,44,52,44,41
