"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",11.977415169548,1,1,23,1,1
"gemini-2.5-pro-preview-03",10.2661099306064,4,1,33,1,1
"grok-4-0709",10.1122346103195,5,1,33,1,1
"o3-2025-04-16",8.3940657571184,11,2,52,2,1
"chatgpt-4o-latest-2025032",10.4054200263138,2,1,41,1,1
"gemini-2.5-pro-preview-05",7.84365038870648,14,6,52,6,2
"deepseek-r1-0528",8.09232903670276,12,3,52,6,1
"grok-3-preview-02-24",10.2728844615869,3,1,31,1,1
"llama-4-maverick-03-26-ex",9.10528704134748,7,2,52,2,1
"gemini-2.5-flash",8.5954791962549,10,2,52,2,1
"qwen3-235b-a22b-no-thinki",7.00474093598799,18,7,52,8,2
"gemini-2.5-flash-preview-",7.14973045021495,17,7,52,7,2
"gemini-2.0-flash-thinking",5.97477791276944,26,12,52,14,2
"kimi-k2-0711-preview",7.41683269975407,15,6,52,7,2
"gpt-4.1-2025-04-14",7.36953241337046,16,6,52,7,2
"deepseek-v3-0324",6.21830688405957,24,8,52,10,2
"o4-mini-2025-04-16",6.03140620577026,25,9,52,11,2
"mistral-medium-2505",6.42265701208001,23,9,52,9,2
"gemini-2.5-flash-lite-pre",6.65612919034377,21,8,52,9,2
"qwen-max-2025-01-25",4.23646666184411,28,22,52,23,2
"hunyuan-turbos-20250416",6.79139601406825,20,7,52,9,2
"qwen3-235b-a22b",6.57680208509018,22,8,52,9,2
"minimax-m1",3.23138786780008,38,26,52,28,1
"claude-opus-4-20250514-th",8.03072442349802,13,2,52,5,1
"qwen3-235b-a22b-instruct-",9.4851163947676,6,1,52,1,1
"gemma-3-27b-it",3.63835568871315,32,25,52,26,1
"claude-opus-4-20250514",9.00588344796003,8,2,52,2,1
"grok-3-mini-beta",5.91566235324067,27,9,52,11,2
"grok-3-mini-high",3.98649659911272,30,23,52,24,1
"gpt-4o-2024-11-20",3.46384275911837,34,25,52,27,1
"claude-sonnet-4-20250514-",8.69680178091292,9,2,52,2,1
"gemini-2.0-flash-001",2.30881743373699,40,28,52,28,1
"mistral-small-2506",1.50355581688887,41,31,52,32,1
"gpt-4.1-mini-2025-04-14",4.10639128007162,29,22,52,24,1
"qwq-32b",-23.9962103664372,47,42,52,42,1
"claude-sonnet-4-20250514",6.94953891011366,19,7,52,8,2
"qwen3-30b-a3b",3.60806115838411,33,25,52,27,1
"command-a-03-2025",3.19512328534391,39,26,52,28,1
"o3-mini",3.40356682321614,35,25,52,28,1
"amazon-nova-experimental-",-23.9962103664372,47,42,52,42,1
"gemma-3n-e4b-it",-23.9962103664372,47,42,52,42,1
"claude-3-7-sonnet-2025021",3.80746448226216,31,24,52,25,1
"claude-3-5-sonnet-2024102",3.33718953835129,37,25,52,28,1
"llama-4-maverick-17b-128e",-23.9962103664372,47,42,52,42,1
"claude-3-7-sonnet-2025021.1",3.37067990345976,36,25,52,28,1
"llama-4-scout-17b-16e-ins",-23.9962103664372,47,42,52,42,1
"llama-3.3-70b-instruct",-23.9962103664372,47,42,52,42,1
"amazon.nova-pro-v1:0",-23.9962103664372,47,42,52,42,1
"mistral-small-3.1-24b-ins",-23.9962103664372,47,42,52,42,1
"magistral-medium-2506",-23.9962103664372,47,42,52,42,1
"claude-3-5-haiku-20241022",-23.9962103664372,47,42,52,42,1
"gpt-4o-mini-2024-07-18",-23.9962103664372,47,42,52,42,1
