model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.8199,1,1,7,1,1
gemini-2.5-pro-preview-03-25,0.7442,2,1,21,1,1
chatgpt-4o-latest-20250326,0.7421,3,1,10,1,1
grok-4-0709,0.7062,4,1,21,1,1
grok-3-preview-02-24,0.556,5,1,21,1,1
llama-4-maverick-03-26-experimental,0.4677,6,2,23,2,1
o3-2025-04-16,0.4602,7,2,23,3,2
claude-opus-4-20250514,0.4113,8,3,23,3,2
deepseek-r1-0528,0.4096,9,3,26,3,2
gemini-2.5-pro-preview-05-06,0.3851,10,2,29,3,1
gemini-2.5-flash,0.3779,11,3,26,3,3
gpt-4.1-2025-04-14,0.3317,12,3,29,3,3
qwen3-235b-a22b-instruct-2507,0.3122,13,1,41,1,1
qwen3-235b-a22b-no-thinking,0.2787,14,3,29,3,3
kimi-k2-0711-preview,0.262,15,3,34,3,3
gemini-2.5-flash-preview-04-17,0.2609,16,3,32,3,3
claude-opus-4-20250514-thinking-16k,0.2597,17,3,31,3,3
claude-sonnet-4-20250514-thinking-32k,0.2358,18,3,34,4,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.2196,19,3,34,4,3
hunyuan-turbos-20250416,0.1739,20,3,41,3,2
gemini-2.0-flash-thinking-exp-01-21,0.1657,21,1,49,1,1
qwen3-235b-a22b,0.1603,22,5,36,7,3
mistral-medium-2505,0.1528,23,9,34,9,4
claude-sonnet-4-20250514,0.1262,24,9,36,11,4
deepseek-v3-0324,0.0926,25,9,38,11,4
grok-3-mini-beta,0.0702,26,11,40,11,5
o4-mini-2025-04-16,0.0686,27,11,39,11,6
qwen-max-2025-01-25,-0.0025,28,11,43,13,8
gpt-4.1-mini-2025-04-14,-0.0342,29,14,43,15,11
gemma-3-27b-it,-0.0651,30,16,43,17,12
minimax-m1,-0.1068,31,17,44,18,12
mistral-small-2506,-0.1368,32,14,47,16,11
grok-3-mini-high,-0.1573,33,17,47,19,11
command-a-03-2025,-0.1592,34,20,45,22,16
qwen3-30b-a3b,-0.1747,35,20,46,22,15
claude-3-7-sonnet-20250219,-0.1836,36,22,46,22,17
claude-3-7-sonnet-20250219-thinking-32k,-0.2139,37,22,47,24,19
o3-mini,-0.2253,38,23,47,25,20
gemini-2.0-flash-001,-0.2475,39,24,48,25,20
claude-3-5-sonnet-20241022,-0.2622,40,25,48,25,22
qwq-32b,-0.3468,41,26,50,27,22
gpt-4o-2024-11-20,-0.3748,42,13,52,16,3
magistral-medium-2506,-0.5188,43,30,52,31,25
llama-4-maverick-17b-128e-instruct,-0.5224,44,33,52,35,29
llama-4-scout-17b-16e-instruct,-0.5299,45,31,52,32,26
amazon-nova-experimental-chat-05-14,-0.5623,46,33,52,38,29
llama-3.3-70b-instruct,-0.6202,47,40,52,40,33
mistral-small-3.1-24b-instruct-2503,-0.6951,48,40,52,40,33
gemma-3n-e4b-it,-0.704,49,40,52,40,30
claude-3-5-haiku-20241022,-0.7128,50,41,52,41,40
gpt-4o-mini-2024-07-18,-0.8272,51,30,52,37,16
amazon.nova-pro-v1:0,-0.8675,52,43,52,43,41
