model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,1.2038,1,1,6,1,1
grok-4-0709,1.0191,2,1,25,1,1
gemini-2.5-pro-preview-03-25,1.0063,3,1,23,1,1
qwen3-235b-a22b,0.782,4,1,24,1,1
gemini-2.5-flash,0.7182,5,2,22,2,1
minimax-m1,0.6739,6,1,27,2,1
llama-4-maverick-03-26-experimental,0.6006,7,2,28,2,1
chatgpt-4o-latest-20250326,0.5171,8,2,30,2,2
o3-2025-04-16,0.4947,9,2,31,2,2
gemini-2.5-pro-preview-05-06,0.4532,10,2,35,2,1
qwen3-235b-a22b-no-thinking,0.4292,11,2,34,2,2
claude-opus-4-20250514-thinking-16k,0.3799,12,2,35,2,2
gemini-2.5-flash-preview-04-17,0.3498,13,2,37,2,2
kimi-k2-0711-preview,0.3209,14,2,39,2,2
qwen-max-2025-01-25,0.3126,15,2,37,2,2
hunyuan-turbos-20250416,0.3124,16,2,44,2,1
claude-sonnet-4-20250514-thinking-32k,0.294,17,2,38,2,2
o4-mini-2025-04-16,0.2712,18,2,37,3,2
gemini-2.5-flash-lite-preview-06-17-thinking,0.2515,19,2,39,2,2
grok-3-preview-02-24,0.2389,20,3,38,4,2
claude-opus-4-20250514,0.2063,21,3,39,5,2
deepseek-r1-0528,0.1742,22,3,43,6,2
grok-3-mini-high,0.1284,23,2,47,6,2
claude-sonnet-4-20250514,0.0991,24,7,44,8,3
qwen3-30b-a3b,0.0866,25,5,46,7,2
qwq-32b,0.0753,26,7,46,7,2
qwen3-235b-a22b-instruct-2507,0.0712,27,1,52,2,1
o3-mini,0.046,28,9,45,10,3
gpt-4.1-2025-04-14,0.0162,29,9,46,10,4
deepseek-v3-0324,-0.016,30,10,47,11,4
grok-3-mini-beta,-0.024,31,10,47,11,5
gemini-2.0-flash-thinking-exp-01-21,-0.0536,32,2,52,2,1
gemini-2.0-flash-001,-0.1181,33,11,47,13,8
mistral-medium-2505,-0.1342,34,11,47,14,10
gpt-4.1-mini-2025-04-14,-0.1912,35,13,47,14,10
gemma-3-27b-it,-0.2482,36,16,47,19,11
mistral-small-2506,-0.3337,37,11,52,13,6
claude-3-7-sonnet-20250219,-0.3378,38,20,50,21,14
claude-3-7-sonnet-20250219-thinking-32k,-0.3482,39,20,50,21,14
claude-3-5-sonnet-20241022,-0.3513,40,20,50,23,14
amazon-nova-experimental-chat-05-14,-0.4415,41,20,52,21,11
llama-4-maverick-17b-128e-instruct,-0.4898,42,24,52,27,20
llama-4-scout-17b-16e-instruct,-0.5096,43,21,52,22,11
gpt-4o-2024-11-20,-0.5188,44,11,52,14,2
command-a-03-2025,-0.5196,45,27,52,31,21
gemma-3n-e4b-it,-0.6681,46,27,52,31,16
amazon.nova-pro-v1:0,-0.7973,47,35,52,35,30
llama-3.3-70b-instruct,-0.8909,48,35,52,38,33
claude-3-5-haiku-20241022,-1.0378,49,38,52,40,35
mistral-small-3.1-24b-instruct-2503,-1.1407,50,38,52,38,33
gpt-4o-mini-2024-07-18,-1.1633,51,31,52,34,11
magistral-medium-2506,-1.1989,52,38,52,41,31
