"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",11.6189423110275,1,1,30,1,1
"gemini-2.5-pro-preview-03",8.90593787652432,4,1,41,1,1
"grok-4-0709",8.93046718752283,3,1,41,1,1
"o3-2025-04-16",6.79012762213667,5,2,52,2,1
"chatgpt-4o-latest-2025032",9.41032526850201,2,1,52,1,1
"gemini-2.5-pro-preview-05",4.85679035353005,11,5,52,5,2
"deepseek-r1-0528",4.79953599972833,12,5,52,5,2
"grok-3-preview-02-24",5.4589548626533,9,5,52,5,2
"llama-4-maverick-03-26-ex",6.58230488634376,6,2,52,2,1
"gemini-2.5-flash",6.50086872970172,7,2,52,2,1
"qwen3-235b-a22b-no-thinki",4.24049458298911,13,5,52,5,2
"gemini-2.5-flash-preview-",3.39516636307683,18,5,52,8,2
"gemini-2.0-flash-thinking",1.24755695382649,30,10,52,13,1
"kimi-k2-0711-preview",3.82324143161972,14,5,52,5,2
"gpt-4.1-2025-04-14",3.35578504784465,19,5,52,8,2
"deepseek-v3-0324",2.30682886756611,24,8,52,9,1
"o4-mini-2025-04-16",2.84363856728965,20,8,52,8,2
"mistral-medium-2505",2.24385275737584,25,9,52,10,1
"gemini-2.5-flash-lite-pre",2.77255643489809,22,8,52,9,2
"qwen-max-2025-01-25",2.70007178877121,23,8,52,9,2
"hunyuan-turbos-20250416",3.49813290631356,17,5,52,7,2
"qwen3-235b-a22b",5.89677993718045,8,2,52,3,2
"minimax-m1",5.1009570607391,10,2,52,3,2
"claude-opus-4-20250514-th",3.62600290307364,16,5,52,7,2
"qwen3-235b-a22b-instruct-",2.10791186222409,26,9,52,10,1
"gemma-3-27b-it",1.13609013499936,33,11,52,13,1
"claude-opus-4-20250514",3.63463121093536,15,5,52,6,2
"grok-3-mini-beta",1.98397361834081,27,9,52,10,1
"grok-3-mini-high",1.45406670266884,29,10,52,12,1
"gpt-4o-2024-11-20",1.86601931816143,28,9,52,10,1
"claude-sonnet-4-20250514-",2.77558247846479,21,8,52,9,2
"gemini-2.0-flash-001",-1.07093052252998,38,24,52,26,1
"mistral-small-2506",1.16430965645993,32,11,52,13,1
"gpt-4.1-mini-2025-04-14",1.20640075524934,31,11,52,13,1
"qwq-32b",-0.24334024199057,36,18,52,20,1
"claude-sonnet-4-20250514",1.07663356320166,34,13,52,13,1
"qwen3-30b-a3b",0.01830526133209,35,15,52,20,1
"command-a-03-2025",-2.42861691569638,40,30,52,35,1
"o3-mini",-0.308239762303396,37,18,52,20,1
"amazon-nova-experimental-",-5.8718810246779,44,39,52,41,1
"gemma-3n-e4b-it",-7.74929581578188,46,44,52,44,1
"claude-3-7-sonnet-2025021",-3.00459640887853,41,35,52,35,1
"claude-3-5-sonnet-2024102",-3.04778282757931,42,34,52,35,1
"llama-4-maverick-17b-128e",-3.26679216282087,43,33,52,35,1
"claude-3-7-sonnet-2025021.1",-2.34613632865966,39,29,52,34,1
"llama-4-scout-17b-16e-ins",-7.68007991877649,45,44,52,44,1
"llama-3.3-70b-instruct",-13.0011168271598,47,47,52,47,1
"amazon.nova-pro-v1:0",-17.1403899711334,48,48,52,48,1
"mistral-small-3.1-24b-ins",-17.5440377122444,49,48,52,48,1
"magistral-medium-2506",-18.1918056472018,50,48,52,48,1
"claude-3-5-haiku-20241022",-18.1918628193787,51,48,52,48,1
"gpt-4o-mini-2024-07-18",-18.2423403554595,52,48,52,48,1
