"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.28880579875169,1,1,34,1,1
"gemini-2.5-pro-preview-03",5.67856538852077,3,1,52,1,1
"grok-4-0709",5.77247990764485,2,1,52,1,1
"o3-2025-04-16",3.69790532667048,10,1,52,2,1
"chatgpt-4o-latest-2025032",4.26976249307085,7,1,52,1,1
"gemini-2.5-pro-preview-05",3.31436958858623,13,1,52,2,1
"deepseek-r1-0528",3.14502281718927,14,1,52,2,1
"grok-3-preview-02-24",4.31675636838418,5,1,52,1,1
"llama-4-maverick-03-26-ex",4.29070310180258,6,1,52,1,1
"gemini-2.5-flash",4.13312921524519,8,1,52,1,1
"qwen3-235b-a22b-no-thinki",3.025389928453,16,2,52,2,1
"gemini-2.5-flash-preview-",2.48255691907525,18,2,52,3,1
"gemini-2.0-flash-thinking",1.41955019040595,27,4,52,5,2
"kimi-k2-0711-preview",2.86415526573055,17,2,52,2,1
"gpt-4.1-2025-04-14",2.05990801234621,21,2,52,4,1
"deepseek-v3-0324",0.718695652055428,32,5,52,9,2
"o4-mini-2025-04-16",1.8317737203537,23,2,52,4,1
"mistral-medium-2505",0.803699263555087,31,5,52,9,2
"gemini-2.5-flash-lite-pre",1.88272108419029,22,2,52,4,1
"qwen-max-2025-01-25",2.13176646213839,20,2,52,4,1
"hunyuan-turbos-20250416",1.80745280381174,24,3,52,4,1
"qwen3-235b-a22b",3.14349787941052,15,1,52,2,1
"minimax-m1",2.361855410621,19,2,52,4,1
"claude-opus-4-20250514-th",3.59529594377848,11,1,52,2,1
"qwen3-235b-a22b-instruct-",4.68811087320011,4,1,52,1,1
"gemma-3-27b-it",-0.95925436750359,38,18,52,20,1
"claude-opus-4-20250514",3.50531768419645,12,1,52,2,1
"grok-3-mini-beta",1.20404949686013,29,4,52,5,2
"grok-3-mini-high",1.21967868241686,28,4,52,7,2
"gpt-4o-2024-11-20",1.45488301254033,26,4,52,5,2
"claude-sonnet-4-20250514-",3.77604428041425,9,1,52,2,1
"gemini-2.0-flash-001",-1.79838079092143,42,22,52,26,1
"mistral-small-2506",-0.779327636663572,37,17,52,19,1
"gpt-4.1-mini-2025-04-14",0.276765145209493,35,9,52,13,2
"qwq-32b",0.329215631951035,34,5,52,9,2
"claude-sonnet-4-20250514",1.7771701369544,25,3,52,4,1
"qwen3-30b-a3b",0.819723875105278,30,5,52,9,2
"command-a-03-2025",-1.6448297729005,41,20,52,26,1
"o3-mini",0.58722291132846,33,5,52,9,2
"amazon-nova-experimental-",-4.50345553025315,44,37,52,41,1
"gemma-3n-e4b-it",-8.24584441172672,48,44,52,45,1
"claude-3-7-sonnet-2025021",-0.34845929988583,36,13,52,18,1
"claude-3-5-sonnet-2024102",-1.12773734861175,39,18,52,21,1
"llama-4-maverick-17b-128e",-3.36555291038583,43,30,52,34,1
"claude-3-7-sonnet-2025021.1",-1.22668535709372,40,18,52,22,1
"llama-4-scout-17b-16e-ins",-8.20204178812748,47,44,52,45,1
"llama-3.3-70b-instruct",-12.266288759042,51,49,52,49,1
"amazon.nova-pro-v1:0",-12.2395618741904,50,49,52,49,1
"mistral-small-3.1-24b-ins",-8.00924303688559,46,44,52,45,1
"magistral-medium-2506",-7.99505840163346,45,44,52,44,1
"claude-3-5-haiku-20241022",-11.6496725104743,49,45,52,49,1
"gpt-4o-mini-2024-07-18",-12.3126064756691,52,47,52,49,1
