"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.31372726150988,1,1,18,1,1
"gemini-2.5-pro-preview-03",6.05449281444287,3,1,32,1,1
"grok-4-0709",6.28806886619862,2,1,29,1,1
"o3-2025-04-16",4.1426072459715,9,2,52,2,1
"chatgpt-4o-latest-2025032",5.93462851357631,4,1,39,1,1
"gemini-2.5-pro-preview-05",3.60382553777642,12,2,52,3,2
"deepseek-r1-0528",3.44204783730349,14,2,52,5,2
"grok-3-preview-02-24",4.71047235359041,5,1,52,2,1
"llama-4-maverick-03-26-ex",4.67684280100388,6,1,52,2,1
"gemini-2.5-flash",4.41016912140641,8,2,52,2,1
"qwen3-235b-a22b-no-thinki",3.09983293451081,16,4,52,5,2
"gemini-2.5-flash-preview-",2.61705137861943,18,5,52,5,2
"gemini-2.0-flash-thinking",1.2661619961231,29,9,52,11,3
"kimi-k2-0711-preview",2.95921337579008,17,5,52,5,2
"gpt-4.1-2025-04-14",2.39073574120113,20,5,52,5,2
"deepseek-v3-0324",1.335484779266,27,9,52,10,3
"o4-mini-2025-04-16",1.97640897116031,23,5,52,9,2
"mistral-medium-2505",1.34785045138119,26,9,52,11,3
"gemini-2.5-flash-lite-pre",2.11500090448719,22,5,52,7,2
"qwen-max-2025-01-25",1.92583110460894,24,5,52,9,3
"hunyuan-turbos-20250416",2.34693194840138,21,5,52,5,2
"qwen3-235b-a22b",3.35918789689508,15,2,52,5,2
"minimax-m1",2.46894826739866,19,5,52,5,2
"claude-opus-4-20250514-th",3.55521648633977,13,2,52,3,2
"qwen3-235b-a22b-instruct-",4.44189259277622,7,1,52,1,1
"gemma-3-27b-it",-0.62895617917424,37,22,52,25,2
"claude-opus-4-20250514",3.80830937078853,10,2,52,2,1
"grok-3-mini-beta",1.28911815836786,28,9,52,11,3
"grok-3-mini-high",0.820265213319298,31,12,52,16,3
"gpt-4o-2024-11-20",1.11384328891495,30,10,52,12,3
"claude-sonnet-4-20250514-",3.76570731787169,11,2,52,2,2
"gemini-2.0-flash-001",-1.64129851932031,42,28,52,31,1
"mistral-small-2506",-0.677436155592854,38,22,52,25,2
"gpt-4.1-mini-2025-04-14",0.226575458548531,33,16,52,18,2
"qwq-32b",-0.158887014979305,35,16,52,18,2
"claude-sonnet-4-20250514",1.82325901464776,25,7,52,9,3
"qwen3-30b-a3b",0.462187444884669,32,15,52,17,2
"command-a-03-2025",-1.36892193721808,41,26,52,30,1
"o3-mini",0.212143204793836,34,16,52,18,2
"amazon-nova-experimental-",-4.94503435435489,44,43,52,43,1
"gemma-3n-e4b-it",-9.11797119759443,48,45,52,45,1
"claude-3-7-sonnet-2025021",-0.54593477251156,36,19,52,23,2
"claude-3-5-sonnet-2024102",-1.25899075965564,40,26,52,28,1
"llama-4-maverick-17b-128e",-3.95440246718412,43,36,52,39,1
"claude-3-7-sonnet-2025021.1",-1.18270714963995,39,25,52,26,1
"llama-4-scout-17b-16e-ins",-8.23231250118272,45,45,52,45,1
"llama-3.3-70b-instruct",-12.5189478194418,50,49,52,49,1
"amazon.nova-pro-v1:0",-12.9903339941416,51,49,52,49,1
"mistral-small-3.1-24b-ins",-8.87031781776393,47,45,52,45,1
"magistral-medium-2506",-8.83324549017963,46,45,52,45,1
"claude-3-5-haiku-20241022",-12.3546091346983,49,49,52,49,1
"gpt-4o-mini-2024-07-18",-13.0237323892428,52,49,52,49,1
