"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",10.9826130271177,1,1,34,1,1
"gemini-2.5-pro-preview-03",8.1204121461882,4,1,52,1,1
"grok-4-0709",9.03670287806238,2,1,34,1,1
"o3-2025-04-16",5.83387557601054,7,3,52,4,1
"chatgpt-4o-latest-2025032",8.95030534251801,3,1,52,1,1
"gemini-2.5-pro-preview-05",4.76594865124964,11,5,52,5,2
"deepseek-r1-0528",4.61768530417442,12,5,52,5,2
"grok-3-preview-02-24",5.07234867528812,9,4,52,5,2
"llama-4-maverick-03-26-ex",6.43572710081518,5,2,52,2,1
"gemini-2.5-flash",6.23571843942879,6,2,52,2,1
"qwen3-235b-a22b-no-thinki",4.0826734697912,13,5,52,5,2
"gemini-2.5-flash-preview-",2.96874807897297,18,6,52,7,2
"gemini-2.0-flash-thinking",0.876171299781168,33,12,52,13,1
"kimi-k2-0711-preview",3.44852322126262,17,5,52,5,2
"gpt-4.1-2025-04-14",2.9421599876267,19,6,52,7,2
"deepseek-v3-0324",2.17287359772831,24,9,52,9,1
"o4-mini-2025-04-16",2.7659724264159,21,6,52,7,2
"mistral-medium-2505",2.03702720372622,26,9,52,9,1
"gemini-2.5-flash-lite-pre",2.5858169762403,23,7,52,9,2
"qwen-max-2025-01-25",2.71664949075256,22,7,52,7,2
"hunyuan-turbos-20250416",3.54605145902006,16,5,52,5,2
"qwen3-235b-a22b",5.8198198666819,8,2,52,2,1
"minimax-m1",5.03116622987464,10,2,52,2,2
"claude-opus-4-20250514-th",3.64770202705573,14,5,52,5,2
"qwen3-235b-a22b-instruct-",1.94769222921981,27,9,52,9,1
"gemma-3-27b-it",0.694852202486059,34,11,52,13,1
"claude-opus-4-20250514",3.63429519101997,15,5,52,5,2
"grok-3-mini-beta",1.79061568356934,28,9,52,9,1
"grok-3-mini-high",1.11911225179789,32,11,52,13,1
"gpt-4o-2024-11-20",2.10428712232557,25,8,52,9,1
"claude-sonnet-4-20250514-",2.79123433439067,20,6,52,7,2
"gemini-2.0-flash-001",-0.914698611412687,38,23,52,24,1
"mistral-small-2506",1.36948989774049,30,9,52,11,1
"gpt-4.1-mini-2025-04-14",1.39099610296164,29,9,52,11,1
"qwq-32b",-0.315247914171872,37,18,52,20,1
"claude-sonnet-4-20250514",1.3059549366462,31,11,52,12,1
"qwen3-30b-a3b",0.138416830311224,35,14,52,18,1
"command-a-03-2025",-2.0887329481746,40,29,52,31,1
"o3-mini",-0.209389893506769,36,17,52,18,1
"amazon-nova-experimental-",-5.77426094024415,44,40,52,41,1
"gemma-3n-e4b-it",-7.63693141201752,46,44,52,44,1
"claude-3-7-sonnet-2025021",-2.51077238029214,41,29,52,33,1
"claude-3-5-sonnet-2024102",-2.52743943277973,42,29,52,32,1
"llama-4-maverick-17b-128e",-2.73176697300845,43,29,52,32,1
"claude-3-7-sonnet-2025021.1",-1.82202356995577,39,27,52,29,1
"llama-4-scout-17b-16e-ins",-6.86398121206832,45,44,52,44,1
"llama-3.3-70b-instruct",-12.5992733475491,47,47,52,47,1
"amazon.nova-pro-v1:0",-16.8616278386353,48,48,52,48,1
"mistral-small-3.1-24b-ins",-17.5612012030846,52,48,52,48,1
"magistral-medium-2506",-17.5004384656948,49,48,52,48,1
"claude-3-5-haiku-20241022",-17.5141070859244,50,48,52,48,1
"gpt-4o-mini-2024-07-18",-17.547746029732,51,48,52,48,1
