"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",35.3505062085572,1,1,1,1,1
"gemini-2.5-pro-preview-03",-0.693147180559947,27,2,52,2,2
"grok-4-0709",-0.693147180559947,27,2,52,2,2
"o3-2025-04-16",-0.693147180559947,27,2,52,2,2
"chatgpt-4o-latest-2025032",-0.693147180559947,27,2,52,2,2
"gemini-2.5-pro-preview-05",-0.693147180559947,27,2,52,2,2
"deepseek-r1-0528",-0.693147180559947,27,2,52,2,2
"grok-3-preview-02-24",-0.693147180559947,27,2,52,2,2
"llama-4-maverick-03-26-ex",-0.693147180559947,27,2,52,2,2
"gemini-2.5-flash",-0.693147180559947,27,2,52,2,2
"qwen3-235b-a22b-no-thinki",-0.693147180559947,27,2,52,2,2
"gemini-2.5-flash-preview-",-0.693147180559947,27,2,52,2,2
"gemini-2.0-flash-thinking",-0.693147180559947,27,2,52,2,2
"kimi-k2-0711-preview",-0.693147180559947,27,2,52,2,2
"gpt-4.1-2025-04-14",-0.693147180559947,27,2,52,2,2
"deepseek-v3-0324",-0.693147180559947,27,2,52,2,2
"o4-mini-2025-04-16",-0.693147180559947,27,2,52,2,2
"mistral-medium-2505",-0.693147180559947,27,2,52,2,2
"gemini-2.5-flash-lite-pre",-0.693147180559947,27,2,52,2,2
"qwen-max-2025-01-25",-0.693147180559947,27,2,52,2,2
"hunyuan-turbos-20250416",-0.693147180559947,27,2,52,2,2
"qwen3-235b-a22b",-0.693147180559947,27,2,52,2,2
"minimax-m1",-0.693147180559947,27,2,52,2,2
"claude-opus-4-20250514-th",-0.693147180559947,27,2,52,2,2
"qwen3-235b-a22b-instruct-",-0.693147180559947,27,2,52,2,2
"gemma-3-27b-it",-0.693147180559947,27,2,52,2,2
"claude-opus-4-20250514",-0.693147180559947,27,2,52,2,2
"grok-3-mini-beta",-0.693147180559947,27,2,52,2,2
"grok-3-mini-high",-0.693147180559947,27,2,52,2,2
"gpt-4o-2024-11-20",-0.693147180559947,27,2,52,2,2
"claude-sonnet-4-20250514-",-0.693147180559947,27,2,52,2,2
"gemini-2.0-flash-001",-0.693147180559947,27,2,52,2,2
"mistral-small-2506",-0.693147180559947,27,2,52,2,2
"gpt-4.1-mini-2025-04-14",-0.693147180559947,27,2,52,2,2
"qwq-32b",-0.693147180559947,27,2,52,2,2
"claude-sonnet-4-20250514",-0.693147180559947,27,2,52,2,2
"qwen3-30b-a3b",-0.693147180559947,27,2,52,2,2
"command-a-03-2025",-0.693147180559947,27,2,52,2,2
"o3-mini",-0.693147180559947,27,2,52,2,2
"amazon-nova-experimental-",-0.693147180559947,27,2,52,2,2
"gemma-3n-e4b-it",-0.693147180559947,27,2,52,2,2
"claude-3-7-sonnet-2025021",-0.693147180559947,27,2,52,2,2
"claude-3-5-sonnet-2024102",-0.693147180559947,27,2,52,2,2
"llama-4-maverick-17b-128e",-0.693147180559947,27,2,52,2,2
"claude-3-7-sonnet-2025021.1",-0.693147180559947,27,2,52,2,2
"llama-4-scout-17b-16e-ins",-0.693147180559947,27,2,52,2,2
"llama-3.3-70b-instruct",-0.693147180559947,27,2,52,2,2
"amazon.nova-pro-v1:0",-0.693147180559947,27,2,52,2,2
"mistral-small-3.1-24b-ins",-0.693147180559947,27,2,52,2,2
"magistral-medium-2506",-0.693147180559947,27,2,52,2,2
"claude-3-5-haiku-20241022",-0.693147180559947,27,2,52,2,2
"gpt-4o-mini-2024-07-18",-0.693147180559947,27,2,52,2,2
