"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",12.2248401117184,1,1,32,1,1
"gemini-2.5-pro-preview-03",9.86788465242777,3,1,39,1,1
"grok-4-0709",9.61862547802545,4,1,46,1,1
"o3-2025-04-16",7.8380522891732,5,2,52,2,1
"chatgpt-4o-latest-2025032",10.3586823543442,2,1,52,1,1
"gemini-2.5-pro-preview-05",6.20018169554533,11,5,52,5,2
"deepseek-r1-0528",5.64047991766234,12,5,52,5,2
"grok-3-preview-02-24",6.50756064713014,9,5,52,5,2
"llama-4-maverick-03-26-ex",7.83755330593441,6,2,52,2,1
"gemini-2.5-flash",7.82289310752315,7,2,52,2,1
"qwen3-235b-a22b-no-thinki",5.49100667906649,13,5,52,5,2
"gemini-2.5-flash-preview-",4.92444314286012,16,5,52,5,2
"gemini-2.0-flash-thinking",2.86473114065612,28,10,52,12,1
"kimi-k2-0711-preview",5.24837701968044,14,5,52,5,2
"gpt-4.1-2025-04-14",4.77495097995605,17,5,52,8,2
"deepseek-v3-0324",3.60946351118329,24,9,52,9,2
"o4-mini-2025-04-16",4.14137673804246,21,8,52,9,2
"mistral-medium-2505",3.3182123112291,25,9,52,11,1
"gemini-2.5-flash-lite-pre",4.25940009015834,20,8,52,9,2
"qwen-max-2025-01-25",4.06224386780332,22,8,52,9,2
"hunyuan-turbos-20250416",4.99252945882948,15,5,52,5,2
"qwen3-235b-a22b",7.25856814469613,8,2,52,2,1
"minimax-m1",6.48850222133193,10,2,52,2,2
"claude-opus-4-20250514-th",4.50891478872203,19,8,52,8,2
"qwen3-235b-a22b-instruct-",3.09460955778972,27,9,52,11,1
"gemma-3-27b-it",2.77418356215637,29,9,52,12,1
"claude-opus-4-20250514",4.73296842475725,18,5,52,8,2
"grok-3-mini-beta",3.25258619505965,26,9,52,11,1
"grok-3-mini-high",2.51449039055844,31,11,52,12,1
"gpt-4o-2024-11-20",-3.44920763040222,40,37,52,37,1
"claude-sonnet-4-20250514-",3.85865262915386,23,8,52,9,2
"gemini-2.0-flash-001",-0.223943902601322,37,26,52,28,1
"mistral-small-2506",1.9707709344088,33,12,52,13,1
"gpt-4.1-mini-2025-04-14",2.04694863452151,32,12,52,12,1
"qwq-32b",1.15094053582289,35,19,52,20,1
"claude-sonnet-4-20250514",2.64799366163945,30,11,52,12,1
"qwen3-30b-a3b",1.34220065513679,34,17,52,20,1
"command-a-03-2025",-1.75593298632208,38,33,52,34,1
"o3-mini",1.07571732198241,36,19,52,21,1
"amazon-nova-experimental-",-6.98664850271867,44,40,52,43,1
"gemma-3n-e4b-it",-11.3076971781232,46,45,52,45,1
"claude-3-7-sonnet-2025021",-3.50571486824971,41,37,52,37,1
"claude-3-5-sonnet-2024102",-3.58013560966909,42,37,52,37,1
"llama-4-maverick-17b-128e",-6.42198485189598,43,39,52,39,1
"claude-3-7-sonnet-2025021.1",-2.86747258677747,39,37,52,37,1
"llama-4-scout-17b-16e-ins",-10.8373396984599,45,45,52,45,1
"llama-3.3-70b-instruct",-16.2490701704644,47,47,52,47,1
"amazon.nova-pro-v1:0",-20.515538176338,48,48,52,48,1
"mistral-small-3.1-24b-ins",-21.2216495926846,49,48,52,48,1
"magistral-medium-2506",-23.7997334673268,51,48,52,49,1
"claude-3-5-haiku-20241022",-23.7997334673268,51,48,52,49,1
"gpt-4o-mini-2024-07-18",-23.7997334673268,51,48,52,49,1
