"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",14.1160771525406,1,1,52,1,1
"gemini-2.5-pro-preview-03",13.6250874288759,2,1,52,1,1
"grok-4-0709",12.3078157326802,3,1,52,1,1
"o3-2025-04-16",7.70181388130727,8,4,52,4,1
"chatgpt-4o-latest-2025032",8.25264187107378,6,4,52,4,1
"gemini-2.5-pro-preview-05",10.0035608387181,4,1,52,2,1
"deepseek-r1-0528",4.97417568902844,18,5,52,6,1
"grok-3-preview-02-24",6.42460685665744,11,5,52,5,1
"llama-4-maverick-03-26-ex",7.79319183205792,7,4,52,4,1
"gemini-2.5-flash",8.29113329867911,5,4,52,4,1
"qwen3-235b-a22b-no-thinki",5.65037045138132,14,5,52,5,1
"gemini-2.5-flash-preview-",6.11100176723457,12,5,52,5,1
"gemini-2.0-flash-thinking",4.29256803919219,24,7,52,7,1
"kimi-k2-0711-preview",5.06479897193887,17,5,52,6,1
"gpt-4.1-2025-04-14",4.44030946021246,21,7,52,7,1
"deepseek-v3-0324",3.28123528926993,30,10,52,11,1
"o4-mini-2025-04-16",4.42180338588454,22,7,52,9,1
"mistral-medium-2505",4.16551586895109,26,7,52,9,1
"gemini-2.5-flash-lite-pre",5.11028019698003,16,5,52,5,1
"qwen-max-2025-01-25",4.82548804839023,20,5,52,7,1
"hunyuan-turbos-20250416",4.26288997804458,25,7,52,9,1
"qwen3-235b-a22b",7.42979711092036,9,4,52,4,1
"minimax-m1",6.98590265068002,10,4,52,4,1
"claude-opus-4-20250514-th",5.71408091083538,13,5,52,5,1
"qwen3-235b-a22b-instruct-",3.42269071956129,29,10,52,11,1
"gemma-3-27b-it",2.94468543673032,32,10,52,11,1
"claude-opus-4-20250514",4.9741756890263,19,5,52,5,1
"grok-3-mini-beta",4.32620950075953,23,7,52,8,1
"grok-3-mini-high",3.53860375466673,27,10,52,11,1
"gpt-4o-2024-11-20",-1.1441443845202,39,33,52,33,1
"claude-sonnet-4-20250514-",5.38819198612356,15,5,52,5,1
"gemini-2.0-flash-001",0.55701040484603,36,26,52,27,1
"mistral-small-2506",-4.24699610124085,41,37,52,38,1
"gpt-4.1-mini-2025-04-14",2.98207463037034,31,10,52,11,1
"qwq-32b",1.86046032578496,35,16,52,18,1
"claude-sonnet-4-20250514",3.53860375466555,28,10,52,11,1
"qwen3-30b-a3b",2.06120968374411,33,15,52,16,1
"command-a-03-2025",-2.3175903740181,40,35,52,36,1
"o3-mini",1.94467268528817,34,15,52,17,1
"amazon-nova-experimental-",-8.37670163287998,44,42,52,42,1
"gemma-3n-e4b-it",-21.7587197268314,48,45,52,45,1
"claude-3-7-sonnet-2025021",-1.11667123372698,38,33,52,33,1
"claude-3-5-sonnet-2024102",-5.18628161320021,42,40,52,40,1
"llama-4-maverick-17b-128e",-5.29294111606835,43,40,52,40,1
"claude-3-7-sonnet-2025021.1",-1.03365101279569,37,33,52,33,1
"llama-4-scout-17b-16e-ins",-21.7587197268314,48,45,52,45,1
"llama-3.3-70b-instruct",-21.7587197268314,48,45,52,45,1
"amazon.nova-pro-v1:0",-21.7587197268314,48,45,52,45,1
"mistral-small-3.1-24b-ins",-21.7587197268314,48,45,52,45,1
"magistral-medium-2506",-21.7587197268314,48,45,52,45,1
"claude-3-5-haiku-20241022",-21.7587197268314,48,45,52,45,1
"gpt-4o-mini-2024-07-18",-21.7587197268314,48,45,52,45,1
