"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",12.529326108153,1,1,52,1,1
"gemini-2.5-pro-preview-03",11.2981464270596,2,1,52,1,1
"grok-4-0709",10.443110418679,3,1,52,1,1
"o3-2025-04-16",5.79160585262171,7,4,52,4,1
"chatgpt-4o-latest-2025032",6.31286509178553,5,4,52,4,1
"gemini-2.5-pro-preview-05",7.53129923932582,4,2,52,2,1
"deepseek-r1-0528",4.42156434768782,11,4,52,4,1
"grok-3-preview-02-24",5.05885587426049,9,4,52,4,1
"llama-4-maverick-03-26-ex",5.65163074341522,8,4,52,4,1
"gemini-2.5-flash",5.88461634811129,6,4,52,4,1
"qwen3-235b-a22b-no-thinki",3.37217386074023,14,5,52,5,1
"gemini-2.5-flash-preview-",3.31880264508263,15,5,52,5,1
"gemini-2.0-flash-thinking",1.11068690053725,28,10,52,12,1
"kimi-k2-0711-preview",2.73061243965584,18,6,52,7,1
"gpt-4.1-2025-04-14",1.91122273264438,23,9,52,10,1
"deepseek-v3-0324",0.920636905897583,29,11,52,12,1
"o4-mini-2025-04-16",2.21776884620369,21,7,52,9,1
"mistral-medium-2505",1.66247346500731,24,9,52,10,1
"gemini-2.5-flash-lite-pre",2.34113190434617,19,6,52,9,1
"qwen-max-2025-01-25",2.33593912261823,20,6,52,9,1
"hunyuan-turbos-20250416",2.15427619379561,22,8,52,9,1
"qwen3-235b-a22b",4.70786701854863,10,4,52,4,1
"minimax-m1",4.08459444791888,12,4,52,4,1
"claude-opus-4-20250514-th",3.5356616663749,13,5,52,5,1
"qwen3-235b-a22b-instruct-",1.32045632604664,27,10,52,11,1
"gemma-3-27b-it",-0.182512188750792,33,13,52,16,1
"claude-opus-4-20250514",2.75163007925801,17,5,52,6,1
"grok-3-mini-beta",1.51756476412661,25,9,52,11,1
"grok-3-mini-high",0.913683569392202,30,11,52,13,1
"gpt-4o-2024-11-20",1.32876410978523,26,9,52,11,1
"claude-sonnet-4-20250514-",2.99669609311892,16,5,52,6,1
"gemini-2.0-flash-001",-1.92758025386119,38,25,52,28,1
"mistral-small-2506",-0.199795054003514,34,13,52,16,1
"gpt-4.1-mini-2025-04-14",0.597253459209632,31,12,52,13,1
"qwq-32b",-0.97754008420735,36,19,52,23,1
"claude-sonnet-4-20250514",0.419042723908943,32,13,52,13,1
"qwen3-30b-a3b",-0.744313022450465,35,18,52,21,1
"command-a-03-2025",-4.29530203903193,43,35,52,38,1
"o3-mini",-0.990010401820497,37,19,52,23,1
"amazon-nova-experimental-",-4.74762598053594,44,37,52,38,1
"gemma-3n-e4b-it",-8.45815273206372,46,43,52,44,1
"claude-3-7-sonnet-2025021",-2.8914373857716,40,31,52,33,1
"claude-3-5-sonnet-2024102",-3.19749714039035,41,31,52,33,1
"llama-4-maverick-17b-128e",-3.51713615732948,42,31,52,33,1
"claude-3-7-sonnet-2025021.1",-2.40019224612982,39,28,52,31,1
"llama-4-scout-17b-16e-ins",-8.37019920679998,45,44,52,45,1
"llama-3.3-70b-instruct",-13.4131570697246,51,47,52,47,1
"amazon.nova-pro-v1:0",-13.345008047502,48,47,52,47,1
"mistral-small-3.1-24b-ins",-13.3578898635025,49,47,52,47,1
"magistral-medium-2506",-13.3440002707058,47,47,52,47,1
"claude-3-5-haiku-20241022",-13.3723222685192,50,47,52,47,1
"gpt-4o-mini-2024-07-18",-13.4402883122163,52,47,52,47,1
