"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",12.9534451224516,1,1,52,1,1
"gemini-2.5-pro-preview-03",11.5075063110391,2,1,52,1,1
"grok-4-0709",10.1044169478196,3,1,52,2,1
"o3-2025-04-16",7.28956439797863,5,3,52,3,1
"chatgpt-4o-latest-2025032",7.79314216696003,4,3,52,3,1
"gemini-2.5-pro-preview-05",6.98524220093665,6,3,52,3,1
"deepseek-r1-0528",4.50417404057426,11,5,52,6,1
"grok-3-preview-02-24",5.43120328142299,9,4,52,4,1
"llama-4-maverick-03-26-ex",5.8049732586002,8,4,52,4,1
"gemini-2.5-flash",6.14436760517317,7,4,52,4,1
"qwen3-235b-a22b-no-thinki",3.54479773937572,13,7,52,8,1
"gemini-2.5-flash-preview-",3.43367756466977,14,7,52,8,1
"gemini-2.0-flash-thinking",1.18687880044537,28,12,52,13,1
"kimi-k2-0711-preview",3.10441913800134,16,8,52,9,1
"gpt-4.1-2025-04-14",2.4428337621052,20,10,52,10,1
"deepseek-v3-0324",1.22917335864171,27,12,52,13,1
"o4-mini-2025-04-16",2.28908205346881,21,10,52,10,1
"mistral-medium-2505",1.81978510582737,24,11,52,11,1
"gemini-2.5-flash-lite-pre",2.46826726309492,19,10,52,10,1
"qwen-max-2025-01-25",2.2622850205281,23,10,52,10,1
"hunyuan-turbos-20250416",2.28377624594343,22,10,52,10,1
"qwen3-235b-a22b",4.89377896009663,10,4,52,5,1
"minimax-m1",4.21236676780918,12,4,52,5,1
"claude-opus-4-20250514-th",3.42522298943407,15,7,52,8,1
"qwen3-235b-a22b-instruct-",1.47668987096869,26,12,52,13,1
"gemma-3-27b-it",0.293167796962502,32,13,52,16,1
"claude-opus-4-20250514",2.82438742805365,17,9,52,9,1
"grok-3-mini-beta",1.6353761190827,25,11,52,12,1
"grok-3-mini-high",1.06458816568572,30,13,52,13,1
"gpt-4o-2024-11-20",1.11324838028761,29,12,52,13,1
"claude-sonnet-4-20250514-",2.81973905063375,18,9,52,9,1
"gemini-2.0-flash-001",-2.00727067097304,38,31,52,31,1
"mistral-small-2506",-0.310065643411589,34,17,52,19,1
"gpt-4.1-mini-2025-04-14",0.453796385656352,31,13,52,16,1
"qwq-32b",-0.936378593468476,36,24,52,25,1
"claude-sonnet-4-20250514",0.239638055645729,33,16,52,17,1
"qwen3-30b-a3b",-0.821196101771056,35,24,52,25,1
"command-a-03-2025",-4.639365760497,43,38,52,38,1
"o3-mini",-1.05413326279539,37,24,52,25,1
"amazon-nova-experimental-",-5.06984915912864,44,38,52,39,1
"gemma-3n-e4b-it",-8.54165004921737,45,45,52,45,1
"claude-3-7-sonnet-2025021",-3.34758219727285,40,34,52,35,1
"claude-3-5-sonnet-2024102",-3.70450304659113,41,34,52,35,1
"llama-4-maverick-17b-128e",-4.02878285595033,42,34,52,35,1
"claude-3-7-sonnet-2025021.1",-2.89741950378702,39,34,52,34,1
"llama-4-scout-17b-16e-ins",-9.16550408912847,46,45,52,45,1
"llama-3.3-70b-instruct",-13.7726500494178,51,47,52,47,1
"amazon.nova-pro-v1:0",-13.7112373343825,48,47,52,47,1
"mistral-small-3.1-24b-ins",-13.7103615901986,47,47,52,47,1
"magistral-medium-2506",-13.7412393347384,49,47,52,47,1
"claude-3-5-haiku-20241022",-13.7522747618131,50,47,52,47,1
"gpt-4o-mini-2024-07-18",-13.8235473508318,52,47,52,47,1
