"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.96777086244576,1,1,22,1,1
"gemini-2.5-pro-preview-03",7.44065005614638,2,1,28,1,1
"grok-4-0709",6.36873295124098,3,1,41,1,1
"o3-2025-04-16",4.57187191181814,8,2,52,2,1
"chatgpt-4o-latest-2025032",5.21979843424747,4,1,52,2,1
"gemini-2.5-pro-preview-05",4.32932097443195,10,2,52,3,1
"deepseek-r1-0528",3.59659416341213,14,3,52,4,2
"grok-3-preview-02-24",5.08409177987762,5,1,52,2,1
"llama-4-maverick-03-26-ex",4.55054900655283,9,2,52,2,1
"gemini-2.5-flash",4.65256212318227,7,2,52,2,1
"qwen3-235b-a22b-no-thinki",3.30172418027464,15,3,52,4,2
"gemini-2.5-flash-preview-",3.24730249519034,17,3,52,4,2
"gemini-2.0-flash-thinking",1.75475437580767,25,5,52,10,3
"kimi-k2-0711-preview",3.22218949331526,18,3,52,4,2
"gpt-4.1-2025-04-14",2.67148032106855,19,4,52,4,3
"deepseek-v3-0324",1.20509118742774,29,8,52,12,3
"o4-mini-2025-04-16",2.04572206013456,22,4,52,6,3
"mistral-medium-2505",1.73343746390821,26,6,52,10,3
"gemini-2.5-flash-lite-pre",2.41163370231775,20,4,52,5,3
"qwen-max-2025-01-25",1.96271536049311,24,4,52,7,3
"hunyuan-turbos-20250416",1.99354632401965,23,4,52,7,3
"qwen3-235b-a22b",3.26676809403069,16,3,52,4,2
"minimax-m1",2.24866665495001,21,4,52,6,3
"claude-opus-4-20250514-th",3.6992789195126,12,3,52,3,2
"qwen3-235b-a22b-instruct-",4.81733462179929,6,1,52,2,1
"gemma-3-27b-it",-0.53701619171053,36,19,52,21,1
"claude-opus-4-20250514",3.66603447428782,13,3,52,3,2
"grok-3-mini-beta",1.59333488773621,28,6,52,10,3
"grok-3-mini-high",0.989199140253174,31,11,52,12,3
"gpt-4o-2024-11-20",1.04825294450859,30,10,52,12,3
"claude-sonnet-4-20250514-",4.09533423145251,11,2,52,3,2
"gemini-2.0-flash-001",-1.88873152729147,41,29,52,32,1
"mistral-small-2506",-1.12256956606511,38,21,52,27,1
"gpt-4.1-mini-2025-04-14",0.0837085785768039,34,15,52,19,2
"qwq-32b",0.0679489778838001,35,14,52,19,2
"claude-sonnet-4-20250514",1.60830478973374,27,6,52,10,3
"qwen3-30b-a3b",0.34940703394677,32,12,52,15,2
"command-a-03-2025",-2.01619820674282,42,29,52,32,1
"o3-mini",0.215527190060392,33,12,52,16,2
"amazon-nova-experimental-",-4.59681084563946,44,39,52,41,1
"gemma-3n-e4b-it",-9.00541843829909,45,45,52,45,1
"claude-3-7-sonnet-2025021",-0.826966873149008,37,20,52,22,1
"claude-3-5-sonnet-2024102",-1.67740553059201,40,26,52,29,1
"llama-4-maverick-17b-128e",-4.28214258947862,43,36,52,38,1
"claude-3-7-sonnet-2025021.1",-1.49991255463901,39,25,52,29,1
"llama-4-scout-17b-16e-ins",-9.59484328591939,48,45,52,45,1
"llama-3.3-70b-instruct",-13.2020139844953,51,49,52,49,1
"amazon.nova-pro-v1:0",-13.1604587220335,50,49,52,49,1
"mistral-small-3.1-24b-ins",-9.157796866756,46,45,52,45,1
"magistral-medium-2506",-9.16230442932514,47,45,52,45,1
"claude-3-5-haiku-20241022",-12.8229349896838,49,48,52,49,1
"gpt-4o-mini-2024-07-18",-13.5271151642252,52,49,52,49,1
