"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.95809966735891,1,1,19,1,1
"gemini-2.5-pro-preview-03",7.42043178134515,2,1,26,1,1
"grok-4-0709",6.7068693049683,3,1,31,1,1
"o3-2025-04-16",4.80999506943507,7,2,52,3,2
"chatgpt-4o-latest-2025032",6.47796353865166,4,1,39,1,1
"gemini-2.5-pro-preview-05",4.54016073949133,10,2,52,3,2
"deepseek-r1-0528",3.74942333863612,13,4,52,5,2
"grok-3-preview-02-24",5.22804341683786,5,2,52,2,1
"llama-4-maverick-03-26-ex",4.82938511905186,6,2,52,3,2
"gemini-2.5-flash",4.80227014199478,8,2,52,3,2
"qwen3-235b-a22b-no-thinki",3.31029732668783,16,5,52,5,3
"gemini-2.5-flash-preview-",3.22089959399788,18,5,52,5,3
"gemini-2.0-flash-thinking",1.62098486558621,27,11,52,12,4
"kimi-k2-0711-preview",3.23203873426968,17,5,52,5,3
"gpt-4.1-2025-04-14",2.80535681082096,19,5,52,6,3
"deepseek-v3-0324",1.53417027356622,29,11,52,12,4
"o4-mini-2025-04-16",2.09052473304097,23,6,52,11,4
"mistral-medium-2505",1.83112643700648,24,9,52,11,4
"gemini-2.5-flash-lite-pre",2.45515383082169,20,6,52,9,4
"qwen-max-2025-01-25",1.82848892920442,25,10,52,11,4
"hunyuan-turbos-20250416",2.32669702803477,22,6,52,9,4
"qwen3-235b-a22b",3.43408280721047,15,5,52,5,3
"minimax-m1",2.42474528808404,21,5,52,6,4
"claude-opus-4-20250514-th",3.69948424123728,14,4,52,5,2
"qwen3-235b-a22b-instruct-",4.64376234085334,9,2,52,2,2
"gemma-3-27b-it",-0.416268952792324,36,20,52,24,2
"claude-opus-4-20250514",3.88244199711813,12,3,52,5,2
"grok-3-mini-beta",1.58672232061499,28,11,52,12,4
"grok-3-mini-high",0.753639237085245,31,15,52,19,3
"gpt-4o-2024-11-20",0.831802474192765,30,13,52,17,3
"claude-sonnet-4-20250514-",4.02604300218727,11,3,52,5,2
"gemini-2.0-flash-001",-1.84495696026935,42,30,52,32,1
"mistral-small-2506",-0.992938647881179,38,24,52,30,1
"gpt-4.1-mini-2025-04-14",0.0928021202340172,33,19,52,20,2
"qwq-32b",-0.25342558766509,35,19,52,20,2
"claude-sonnet-4-20250514",1.70149988919387,26,10,52,11,4
"qwen3-30b-a3b",0.133983694703556,32,19,52,20,2
"command-a-03-2025",-1.77332168605238,41,30,52,31,1
"o3-mini",-0.0299388450430644,34,19,52,20,2
"amazon-nova-experimental-",-4.81587085558425,44,43,52,43,1
"gemma-3n-e4b-it",-9.5481709724967,46,45,52,45,1
"claude-3-7-sonnet-2025021",-0.919123105833762,37,24,52,29,1
"claude-3-5-sonnet-2024102",-1.70635181110469,40,30,52,30,1
"llama-4-maverick-17b-128e",-4.65048459217688,43,39,52,39,1
"claude-3-7-sonnet-2025021.1",-1.48302715865686,39,30,52,30,1
"llama-4-scout-17b-16e-ins",-9.14657555158491,45,45,52,45,1
"llama-3.3-70b-instruct",-13.3150729264583,50,49,52,49,1
"amazon.nova-pro-v1:0",-13.6387980201304,51,49,52,49,1
"mistral-small-3.1-24b-ins",-9.65961497184899,48,45,52,45,1
"magistral-medium-2506",-9.64562071972587,47,45,52,45,1
"claude-3-5-haiku-20241022",-13.2259949527946,49,49,52,49,1
"gpt-4o-mini-2024-07-18",-13.9238337754234,52,49,52,49,1
