"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",11.3054905550046,1,1,28,1,1
"gemini-2.5-pro-preview-03",9.8096325845986,2,1,30,1,1
"grok-4-0709",9.03995888302522,3,1,32,2,1
"o3-2025-04-16",6.52345587925476,5,5,52,5,2
"chatgpt-4o-latest-2025032",9.00036298990278,4,1,52,1,1
"gemini-2.5-pro-preview-05",6.40207219234867,6,3,52,5,2
"deepseek-r1-0528",4.44858405037736,12,5,52,5,3
"grok-3-preview-02-24",5.40974140073979,9,5,52,5,3
"llama-4-maverick-03-26-ex",6.06643692224749,8,5,52,5,2
"gemini-2.5-flash",6.1219354103888,7,5,52,5,2
"qwen3-235b-a22b-no-thinki",3.68114723353549,13,6,52,7,3
"gemini-2.5-flash-preview-",3.43841339605079,14,7,52,9,3
"gemini-2.0-flash-thinking",1.42045447798624,28,11,52,13,1
"kimi-k2-0711-preview",3.29548980316768,16,7,52,9,3
"gpt-4.1-2025-04-14",2.88905656306348,18,9,52,9,3
"deepseek-v3-0324",1.74672072581793,26,11,52,11,2
"o4-mini-2025-04-16",2.33061850549859,22,10,52,11,2
"mistral-medium-2505",2.04417448560215,24,11,52,11,2
"gemini-2.5-flash-lite-pre",2.58333074073664,21,9,52,10,2
"qwen-max-2025-01-25",2.22305592561799,23,10,52,11,2
"hunyuan-turbos-20250416",2.74302666372502,20,9,52,10,3
"qwen3-235b-a22b",5.17605310360778,10,5,52,5,3
"minimax-m1",4.46800435502908,11,5,52,5,3
"claude-opus-4-20250514-th",3.3468312611094,15,7,52,9,3
"qwen3-235b-a22b-instruct-",1.65143678020306,27,11,52,13,2
"gemma-3-27b-it",0.726410064031446,33,13,52,14,1
"claude-opus-4-20250514",3.19767333281216,17,8,52,9,3
"grok-3-mini-beta",1.83242892046542,25,11,52,11,2
"grok-3-mini-high",1.0550932759084,30,13,52,13,1
"gpt-4o-2024-11-20",1.08063131088145,29,13,52,13,1
"claude-sonnet-4-20250514-",2.77670457039527,19,9,52,9,3
"gemini-2.0-flash-001",-1.75995937056868,38,28,52,30,1
"mistral-small-2506",0.282361724998777,34,13,52,15,1
"gpt-4.1-mini-2025-04-14",0.827928163544255,32,13,52,13,1
"qwq-32b",-0.900464182511493,36,22,52,25,1
"claude-sonnet-4-20250514",0.842297287396999,31,13,52,14,1
"qwen3-30b-a3b",-0.668925333176119,35,21,52,24,1
"command-a-03-2025",-3.03074388456276,40,34,52,35,1
"o3-mini",-0.950248200057525,37,23,52,25,1
"amazon-nova-experimental-",-4.84320913143661,44,38,52,38,1
"gemma-3n-e4b-it",-9.00234293703547,46,45,52,45,1
"claude-3-7-sonnet-2025021",-3.37304844291276,41,35,52,35,1
"claude-3-5-sonnet-2024102",-3.70895415862765,42,35,52,36,1
"llama-4-maverick-17b-128e",-4.26820919496966,43,35,52,36,1
"claude-3-7-sonnet-2025021.1",-2.6847482119812,39,34,52,35,1
"llama-4-scout-17b-16e-ins",-8.69749661227639,45,45,52,45,1
"llama-3.3-70b-instruct",-13.7618621681625,47,47,52,47,1
"amazon.nova-pro-v1:0",-14.4000042075816,48,47,52,47,1
"mistral-small-3.1-24b-ins",-14.4116880101232,50,47,52,47,1
"magistral-medium-2506",-14.4074893110144,49,47,52,47,1
"claude-3-5-haiku-20241022",-14.4322982570575,51,47,52,47,1
"gpt-4o-mini-2024-07-18",-14.4853219250181,52,47,52,47,1
