"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.51642205403054,1,1,22,1,1
"gemini-2.5-pro-preview-03",7.1239019704591,2,1,28,1,1
"grok-4-0709",6.33120176062594,3,1,34,1,1
"o3-2025-04-16",4.07438686770653,11,2,52,3,1
"chatgpt-4o-latest-2025032",4.76091217334348,5,1,52,2,1
"gemini-2.5-pro-preview-05",4.29457919380158,10,2,52,2,1
"deepseek-r1-0528",3.35224191636182,14,3,52,4,2
"grok-3-preview-02-24",4.91853660398094,4,1,52,2,1
"llama-4-maverick-03-26-ex",4.44413179628906,8,2,52,2,1
"gemini-2.5-flash",4.4913213335528,7,2,52,2,1
"qwen3-235b-a22b-no-thinki",3.14970717170679,16,4,52,4,2
"gemini-2.5-flash-preview-",3.1281503316497,17,4,52,4,2
"gemini-2.0-flash-thinking",1.83977036231236,24,5,52,8,3
"kimi-k2-0711-preview",2.99700282074001,18,4,52,4,2
"gpt-4.1-2025-04-14",2.32817154995882,19,4,52,5,3
"deepseek-v3-0324",0.62717264634782,31,12,52,14,3
"o4-mini-2025-04-16",1.85891957270297,23,4,52,8,3
"mistral-medium-2505",1.37703187686416,28,9,52,12,3
"gemini-2.5-flash-lite-pre",2.25843142888714,21,4,52,6,3
"qwen-max-2025-01-25",2.10927306331376,22,4,52,6,3
"hunyuan-turbos-20250416",1.75116845899377,25,5,52,9,3
"qwen3-235b-a22b",3.15050177360307,15,4,52,4,2
"minimax-m1",2.32797823252878,20,4,52,5,3
"claude-opus-4-20250514-th",3.76980815915703,12,3,52,3,2
"qwen3-235b-a22b-instruct-",4.70946080814514,6,1,52,1,1
"gemma-3-27b-it",-0.759277642828339,37,19,52,23,1
"claude-opus-4-20250514",3.67856334066404,13,3,52,3,2
"grok-3-mini-beta",1.54119609985167,27,7,52,11,3
"grok-3-mini-high",1.05421940846078,30,11,52,13,3
"gpt-4o-2024-11-20",1.27922444727319,29,9,52,12,3
"claude-sonnet-4-20250514-",4.30194677698363,9,2,52,3,1
"gemini-2.0-flash-001",-1.9516402044451,42,30,52,31,1
"mistral-small-2506",-1.10200452953843,38,23,52,27,1
"gpt-4.1-mini-2025-04-14",0.20893010038384,34,15,52,19,2
"qwq-32b",0.0875294633415571,35,14,52,18,2
"claude-sonnet-4-20250514",1.74875487950799,26,5,52,9,3
"qwen3-30b-a3b",0.472719029924392,32,13,52,15,3
"command-a-03-2025",-1.90563990834311,41,28,52,31,1
"o3-mini",0.328155449972446,33,13,52,15,3
"amazon-nova-experimental-",-4.75536454045494,44,41,52,43,1
"gemma-3n-e4b-it",-9.03541639409731,48,45,52,45,1
"claude-3-7-sonnet-2025021",-0.617118515508368,36,19,52,23,1
"claude-3-5-sonnet-2024102",-1.50262642515013,40,27,52,29,1
"llama-4-maverick-17b-128e",-3.83074049299441,43,36,52,36,1
"claude-3-7-sonnet-2025021.1",-1.2883421907655,39,24,52,28,1
"llama-4-scout-17b-16e-ins",-8.94466712344825,47,45,52,45,1
"llama-3.3-70b-instruct",-12.9455691023759,51,49,52,49,1
"amazon.nova-pro-v1:0",-12.9021861654664,50,49,52,49,1
"mistral-small-3.1-24b-ins",-8.7037132232877,46,45,52,45,1
"magistral-medium-2506",-8.68232203232474,45,45,52,45,1
"claude-3-5-haiku-20241022",-12.4757103361437,49,49,52,49,1
"gpt-4o-mini-2024-07-18",-12.9890840962542,52,49,52,49,1
