"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.57539930146507,1,1,18,1,1
"gemini-2.5-pro-preview-03",7.12236602662748,2,1,23,1,1
"grok-4-0709",6.67711885535807,3,1,26,1,1
"o3-2025-04-16",4.38823652097613,10,3,52,4,2
"chatgpt-4o-latest-2025032",6.17201430605382,4,1,34,1,1
"gemini-2.5-pro-preview-05",4.51753873131081,9,2,52,3,2
"deepseek-r1-0528",3.57542552103704,14,5,52,5,3
"grok-3-preview-02-24",5.09274275180663,5,2,52,2,1
"llama-4-maverick-03-26-ex",4.74666335163604,6,2,52,3,2
"gemini-2.5-flash",4.65326960525149,7,2,52,3,2
"qwen3-235b-a22b-no-thinki",3.18933530821108,16,5,52,5,3
"gemini-2.5-flash-preview-",3.12242877127606,17,5,52,5,3
"gemini-2.0-flash-thinking",1.67348534469242,26,11,52,12,5
"kimi-k2-0711-preview",3.05240066277248,18,5,52,5,4
"gpt-4.1-2025-04-14",2.5750252011275,19,6,52,6,4
"deepseek-v3-0324",1.31022913135453,29,12,52,14,5
"o4-mini-2025-04-16",1.98522856295597,23,8,52,11,5
"mistral-medium-2505",1.64214143387064,27,11,52,13,5
"gemini-2.5-flash-lite-pre",2.36522392256076,21,6,52,8,4
"qwen-max-2025-01-25",1.93176212758804,24,10,52,11,5
"hunyuan-turbos-20250416",2.23229514323356,22,7,52,10,4
"qwen3-235b-a22b",3.33918379445398,15,5,52,5,3
"minimax-m1",2.44157718492042,20,6,52,6,4
"claude-opus-4-20250514-th",3.71729661616554,13,4,52,5,2
"qwen3-235b-a22b-instruct-",4.53549525685545,8,2,52,2,2
"gemma-3-27b-it",-0.537598778317529,36,23,52,26,2
"claude-opus-4-20250514",3.90424540403726,12,4,52,4,2
"grok-3-mini-beta",1.54675941935136,28,11,52,13,5
"grok-3-mini-high",0.777918597496491,31,15,52,18,4
"gpt-4o-2024-11-20",1.00105990551477,30,14,52,15,5
"claude-sonnet-4-20250514-",4.14405443062923,11,3,52,4,2
"gemini-2.0-flash-001",-1.80599713484508,42,31,52,32,1
"mistral-small-2506",-0.945623327021609,38,26,52,29,1
"gpt-4.1-mini-2025-04-14",0.203237501354213,33,19,52,20,3
"qwq-32b",-0.269844102394796,35,19,52,20,2
"claude-sonnet-4-20250514",1.82388617037114,25,10,52,12,5
"qwen3-30b-a3b",0.235931003729213,32,19,52,19,4
"command-a-03-2025",-1.62595432385066,41,30,52,31,1
"o3-mini",0.0581978781003816,34,19,52,19,3
"amazon-nova-experimental-",-5.0244544793153,44,43,52,43,1
"gemma-3n-e4b-it",-9.71473614332377,48,45,52,45,1
"claude-3-7-sonnet-2025021",-0.756609910338458,37,23,52,26,2
"claude-3-5-sonnet-2024102",-1.5493193859014,40,30,52,31,1
"llama-4-maverick-17b-128e",-4.29942422474593,43,38,52,40,1
"claude-3-7-sonnet-2025021.1",-1.29145202489291,39,29,52,30,1
"llama-4-scout-17b-16e-ins",-8.75263110530235,45,45,52,45,1
"llama-3.3-70b-instruct",-13.1119828299179,50,49,52,49,1
"amazon.nova-pro-v1:0",-13.4759777809174,51,49,52,49,1
"mistral-small-3.1-24b-ins",-9.35335908999841,47,45,52,45,1
"magistral-medium-2506",-9.31505697638205,46,45,52,45,1
"claude-3-5-haiku-20241022",-12.9679461169933,49,49,52,49,1
"gpt-4o-mini-2024-07-18",-13.5312060096862,52,49,52,49,1
