"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",13.8150580251992,1,1,52,1,1
"gemini-2.5-pro-preview-03",12.8712761292268,2,1,52,1,1
"grok-4-0709",10.900600482225,3,1,52,1,1
"o3-2025-04-16",8.28874403527796,5,3,52,3,1
"chatgpt-4o-latest-2025032",8.79673901544294,4,3,52,3,1
"gemini-2.5-pro-preview-05",8.21090805916223,6,3,52,3,1
"deepseek-r1-0528",5.14354734711388,12,5,52,6,1
"grok-3-preview-02-24",6.4085902320808,9,4,52,4,1
"llama-4-maverick-03-26-ex",6.96576893472027,8,4,52,4,1
"gemini-2.5-flash",7.49656325364392,7,4,52,4,1
"qwen3-235b-a22b-no-thinki",4.8228961631628,14,7,52,7,1
"gemini-2.5-flash-preview-",5.07014612218082,13,7,52,7,1
"gemini-2.0-flash-thinking",2.91306447851859,26,11,52,11,1
"kimi-k2-0711-preview",4.48971386034987,16,7,52,8,1
"gpt-4.1-2025-04-14",3.85691075412451,20,8,52,9,1
"deepseek-v3-0324",2.49631255378084,28,11,52,12,1
"o4-mini-2025-04-16",3.55957371732305,22,9,52,9,1
"mistral-medium-2505",3.089723961799,25,10,52,11,1
"gemini-2.5-flash-lite-pre",4.05950549984902,18,8,52,9,1
"qwen-max-2025-01-25",3.65702932122463,21,9,52,9,1
"hunyuan-turbos-20250416",3.51828262515559,23,9,52,9,1
"qwen3-235b-a22b",6.28415451582884,10,4,52,4,1
"minimax-m1",5.68521388492352,11,4,52,4,1
"claude-opus-4-20250514-th",4.54633523933687,15,7,52,8,1
"qwen3-235b-a22b-instruct-",2.54026530531019,27,11,52,12,1
"gemma-3-27b-it",2.00322136500901,30,12,52,12,1
"claude-opus-4-20250514",3.93523577237984,19,8,52,9,1
"grok-3-mini-beta",3.1091077226636,24,10,52,11,1
"grok-3-mini-high",2.42831475822191,29,11,52,12,1
"gpt-4o-2024-11-20",-2.95749584576707,39,36,52,36,1
"claude-sonnet-4-20250514-",4.08202284738771,17,8,52,9,1
"gemini-2.0-flash-001",-0.971107712703885,36,30,52,30,1
"mistral-small-2506",-2.34977438536812,37,33,52,33,1
"gpt-4.1-mini-2025-04-14",1.38047252378959,32,14,52,15,1
"qwq-32b",0.527394208018052,34,21,52,24,1
"claude-sonnet-4-20250514",1.8528469056548,31,12,52,14,1
"qwen3-30b-a3b",0.583181576240989,33,21,52,24,1
"command-a-03-2025",-4.07774557469433,41,36,52,36,1
"o3-mini",0.464887374154504,35,22,52,24,1
"amazon-nova-experimental-",-6.41395375529515,42,41,52,41,1
"gemma-3n-e4b-it",-12.429469371825,45,45,52,45,1
"claude-3-7-sonnet-2025021",-2.97805775772514,40,36,52,36,1
"claude-3-5-sonnet-2024102",-6.57222048489756,43,41,52,41,1
"llama-4-maverick-17b-128e",-7.49573810817637,44,41,52,42,1
"claude-3-7-sonnet-2025021.1",-2.94247519683396,38,36,52,36,1
"llama-4-scout-17b-16e-ins",-16.5628098771168,46,46,52,46,1
"llama-3.3-70b-instruct",-17.3437256733162,49,46,52,46,1
"amazon.nova-pro-v1:0",-17.2884880296716,47,46,52,46,1
"mistral-small-3.1-24b-ins",-17.3160299928828,48,46,52,46,1
"magistral-medium-2506",-17.3713518965218,51,46,52,46,1
"claude-3-5-haiku-20241022",-17.357340854089,50,46,52,46,1
"gpt-4o-mini-2024-07-18",-17.4258240535963,52,46,52,46,1
