"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.81861861681721,1,1,20,1,1
"gemini-2.5-pro-preview-03",7.49897941181531,2,1,24,1,1
"grok-4-0709",6.59821307757244,3,1,30,1,1
"o3-2025-04-16",4.8282009650337,8,2,52,3,2
"chatgpt-4o-latest-2025032",6.51633625889409,4,1,36,1,1
"gemini-2.5-pro-preview-05",4.73890696095116,10,3,52,3,2
"deepseek-r1-0528",3.70948756334355,14,5,52,5,3
"grok-3-preview-02-24",5.35346191304166,5,2,52,2,1
"llama-4-maverick-03-26-ex",5.0133029006354,7,2,52,3,2
"gemini-2.5-flash",5.03328986583877,6,2,52,3,1
"qwen3-235b-a22b-no-thinki",3.45602660193261,18,5,52,5,3
"gemini-2.5-flash-preview-",3.65239871727751,15,5,52,5,3
"gemini-2.0-flash-thinking",2.02925174331213,27,11,52,11,5
"kimi-k2-0711-preview",3.46596377672627,17,5,52,5,3
"gpt-4.1-2025-04-14",3.03611656779493,19,5,52,6,3
"deepseek-v3-0324",1.80007056089914,29,11,52,12,5
"o4-mini-2025-04-16",2.34958821438099,23,8,52,11,5
"mistral-medium-2505",2.03590759962592,26,11,52,12,5
"gemini-2.5-flash-lite-pre",2.89144450950196,20,5,52,6,3
"qwen-max-2025-01-25",2.15038590562425,24,11,52,11,5
"hunyuan-turbos-20250416",2.60115577735759,22,6,52,9,5
"qwen3-235b-a22b",3.62753642899465,16,5,52,5,3
"minimax-m1",2.74206934123129,21,5,52,6,4
"claude-opus-4-20250514-th",3.83877810282605,13,5,52,5,3
"qwen3-235b-a22b-instruct-",4.74274569378332,9,2,52,2,2
"gemma-3-27b-it",0.00225048973424613,35,22,52,24,2
"claude-opus-4-20250514",4.06372015586955,12,3,52,5,2
"grok-3-mini-beta",1.89098048931589,28,11,52,12,5
"grok-3-mini-high",1.0113951214227,30,15,52,19,4
"gpt-4o-2024-11-20",-1.06646795323278,37,30,52,30,1
"claude-sonnet-4-20250514-",4.24861706958556,11,3,52,3,2
"gemini-2.0-flash-001",-1.68297399462615,42,30,52,31,1
"mistral-small-2506",-1.50300105176623,41,30,52,31,1
"gpt-4.1-mini-2025-04-14",0.226481805351703,33,20,52,22,3
"qwq-32b",0.0416757801272585,34,19,52,22,2
"claude-sonnet-4-20250514",2.08363225343418,25,11,52,11,5
"qwen3-30b-a3b",0.440839894772575,31,19,52,20,3
"command-a-03-2025",-1.38222255987109,40,30,52,30,1
"o3-mini",0.317179994060924,32,19,52,21,3
"amazon-nova-experimental-",-4.99264260066636,43,43,52,43,1
"gemma-3n-e4b-it",-11.2142558244213,48,45,52,45,1
"claude-3-7-sonnet-2025021",-0.506733584185165,36,24,52,28,1
"claude-3-5-sonnet-2024102",-1.30418543197344,39,30,52,30,1
"llama-4-maverick-17b-128e",-5.86591467251979,44,43,52,43,1
"claude-3-7-sonnet-2025021.1",-1.11844149778881,38,30,52,30,1
"llama-4-scout-17b-16e-ins",-10.0053345120682,45,45,52,45,1
"llama-3.3-70b-instruct",-13.7954621760499,49,48,52,49,1
"amazon.nova-pro-v1:0",-14.0573489047835,51,49,52,49,1
"mistral-small-3.1-24b-ins",-10.0904238838134,47,45,52,45,1
"magistral-medium-2506",-10.082066646185,46,45,52,45,1
"claude-3-5-haiku-20241022",-13.7966238394247,50,48,52,49,1
"gpt-4o-mini-2024-07-18",-14.3909109955107,52,49,52,49,1
