"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",11.5967478859132,1,1,26,1,1
"gemini-2.5-pro-preview-03",10.4222633157443,2,1,30,1,1
"grok-4-0709",9.38581284132821,4,1,32,1,1
"o3-2025-04-16",7.1189521720616,6,3,52,4,2
"chatgpt-4o-latest-2025032",9.57853950804481,3,1,51,1,1
"gemini-2.5-pro-preview-05",7.20639346840583,5,3,52,3,2
"deepseek-r1-0528",4.84341891895256,12,5,52,5,3
"grok-3-preview-02-24",6.05366493289766,9,5,52,5,3
"llama-4-maverick-03-26-ex",6.83875242758969,8,4,52,5,2
"gemini-2.5-flash",6.97175818659117,7,3,52,5,2
"qwen3-235b-a22b-no-thinki",4.4853402422271,14,5,52,8,3
"gemini-2.5-flash-preview-",4.51417970364366,13,5,52,7,3
"gemini-2.0-flash-thinking",2.5361051900204,27,11,52,12,2
"kimi-k2-0711-preview",4.20801476569576,15,7,52,9,3
"gpt-4.1-2025-04-14",3.82168639301169,18,9,52,9,3
"deepseek-v3-0324",2.60654019082219,26,11,52,12,2
"o4-mini-2025-04-16",3.15227215377546,22,9,52,11,3
"mistral-medium-2505",2.82097415001581,24,11,52,11,2
"gemini-2.5-flash-lite-pre",3.64532106448325,20,9,52,9,3
"qwen-max-2025-01-25",3.11471488388682,23,9,52,11,3
"hunyuan-turbos-20250416",3.64761589528311,19,9,52,9,3
"qwen3-235b-a22b",6.02627483025984,10,5,52,5,3
"minimax-m1",5.3630870911524,11,5,52,5,3
"claude-opus-4-20250514-th",3.9832999081797,16,8,52,9,3
"qwen3-235b-a22b-instruct-",2.27053092104498,28,11,52,12,2
"gemma-3-27b-it",1.8294608643455,30,12,52,13,1
"claude-opus-4-20250514",3.93924285580723,17,9,52,9,3
"grok-3-mini-beta",2.74830997362076,25,11,52,11,2
"grok-3-mini-high",1.80358751413431,31,12,52,13,1
"gpt-4o-2024-11-20",-3.0880230403692,40,35,52,37,1
"claude-sonnet-4-20250514-",3.56217192315658,21,9,52,9,3
"gemini-2.0-flash-001",-1.16407291207417,37,29,52,32,1
"mistral-small-2506",0.509844033140213,33,15,52,16,1
"gpt-4.1-mini-2025-04-14",1.4506533852006,32,12,52,15,1
"qwq-32b",0.0429153954861654,35,22,52,24,1
"claude-sonnet-4-20250514",1.9179911958135,29,12,52,13,1
"qwen3-30b-a3b",0.189821364655169,34,22,52,24,1
"command-a-03-2025",-2.56244311419153,38,33,52,34,1
"o3-mini",0.00355536144023816,36,22,52,25,1
"amazon-nova-experimental-",-4.54013708473383,43,37,52,38,1
"gemma-3n-e4b-it",-12.21688230337,46,45,52,45,1
"claude-3-7-sonnet-2025021",-3.12450031722327,41,35,52,37,1
"claude-3-5-sonnet-2024102",-4.02803922848818,42,37,52,37,1
"llama-4-maverick-17b-128e",-7.07189938991375,44,42,52,42,1
"claude-3-7-sonnet-2025021.1",-2.92808439406214,39,34,52,37,1
"llama-4-scout-17b-16e-ins",-9.6270548310324,45,44,52,44,1
"llama-3.3-70b-instruct",-16.7307873845286,47,47,52,47,1
"amazon.nova-pro-v1:0",-17.3807026024135,48,47,52,47,1
"mistral-small-3.1-24b-ins",-17.4161138581607,49,47,52,47,1
"magistral-medium-2506",-17.4214462683954,50,47,52,47,1
"claude-3-5-haiku-20241022",-17.4318229671101,51,47,52,47,1
"gpt-4o-mini-2024-07-18",-17.4778052117648,52,47,52,47,1
