"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.52560905281755,1,1,22,1,1
"gemini-2.5-pro-preview-03",7.48013947131489,2,1,24,1,1
"grok-4-0709",6.39460172730034,3,1,33,1,1
"o3-2025-04-16",4.20937978777117,12,3,52,3,2
"chatgpt-4o-latest-2025032",4.98208482342767,8,2,52,3,1
"gemini-2.5-pro-preview-05",4.78042980500825,10,2,52,3,1
"deepseek-r1-0528",3.33975235457572,18,4,52,4,3
"grok-3-preview-02-24",5.2906882774401,4,1,52,2,1
"llama-4-maverick-03-26-ex",4.90406525074704,9,2,52,3,1
"gemini-2.5-flash",5.05389257233724,6,2,52,2,1
"qwen3-235b-a22b-no-thinki",3.54772042728693,16,4,52,4,2
"gemini-2.5-flash-preview-",4.04954076595703,14,3,52,4,2
"gemini-2.0-flash-thinking",2.74368612034314,23,4,52,9,3
"kimi-k2-0711-preview",3.50382285799122,17,4,52,4,3
"gpt-4.1-2025-04-14",2.75088156632581,22,4,52,7,3
"deepseek-v3-0324",1.01609077732969,32,13,52,15,3
"o4-mini-2025-04-16",2.46514172845769,25,5,52,11,3
"mistral-medium-2505",1.83485132035997,28,11,52,13,3
"gemini-2.5-flash-lite-pre",3.15642339576409,19,4,52,4,3
"qwen-max-2025-01-25",2.89059297860864,21,4,52,5,3
"hunyuan-turbos-20250416",2.29337038362104,26,6,52,11,3
"qwen3-235b-a22b",3.63302871573022,15,3,52,4,2
"minimax-m1",3.11827619921889,20,4,52,4,3
"claude-opus-4-20250514-th",4.26996130922257,11,3,52,3,1
"qwen3-235b-a22b-instruct-",5.13409428791329,5,1,52,1,1
"gemma-3-27b-it",0.0628411106145634,36,21,52,25,2
"claude-opus-4-20250514",4.13907812856643,13,3,52,3,2
"grok-3-mini-beta",2.24079241702411,27,8,52,11,3
"grok-3-mini-high",1.75064525147872,29,11,52,15,3
"gpt-4o-2024-11-20",-0.372262673790607,37,25,52,28,1
"claude-sonnet-4-20250514-",5.00918090307237,7,1,52,2,1
"gemini-2.0-flash-001",-1.46667101205818,41,30,52,33,1
"mistral-small-2506",-3.02173343418089,42,37,52,38,1
"gpt-4.1-mini-2025-04-14",0.675485353184627,34,18,52,21,3
"qwq-32b",0.795922015639657,33,13,52,15,3
"claude-sonnet-4-20250514",2.61834955087569,24,4,52,10,3
"qwen3-30b-a3b",1.22653893658996,30,13,52,15,3
"command-a-03-2025",-1.01291885508206,40,28,52,30,1
"o3-mini",1.1478546034301,31,13,52,15,3
"amazon-nova-experimental-",-7.57854579472638,44,43,52,43,1
"gemma-3n-e4b-it",-13.8864244115309,50,47,52,47,1
"claude-3-7-sonnet-2025021",0.267266674651042,35,20,52,24,2
"claude-3-5-sonnet-2024102",-0.668127631176764,39,26,52,28,1
"llama-4-maverick-17b-128e",-4.80027572758627,43,42,52,42,1
"claude-3-7-sonnet-2025021.1",-0.454773603180262,38,26,52,28,1
"llama-4-scout-17b-16e-ins",-13.1284617094945,47,47,52,47,1
"llama-3.3-70b-instruct",-13.9007631452689,51,47,52,47,1
"amazon.nova-pro-v1:0",-13.8730249918106,49,47,52,47,1
"mistral-small-3.1-24b-ins",-9.66585071350612,46,44,52,44,1
"magistral-medium-2506",-9.65156475602387,45,44,52,44,1
"claude-3-5-haiku-20241022",-13.8517784417604,48,47,52,47,1
"gpt-4o-mini-2024-07-18",-13.9689040008207,52,47,52,47,1
