"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.52366532327542,1,1,16,1,1
"gemini-2.5-pro-preview-03",7.32364096760875,2,1,23,1,1
"grok-4-0709",6.70557724471754,3,1,28,1,1
"o3-2025-04-16",4.50247092519952,11,3,52,4,2
"chatgpt-4o-latest-2025032",6.32403386591062,4,1,33,1,1
"gemini-2.5-pro-preview-05",4.88319761430993,8,2,52,3,2
"deepseek-r1-0528",3.6095144379127,16,5,52,5,3
"grok-3-preview-02-24",5.34845511970886,5,2,46,2,1
"llama-4-maverick-03-26-ex",5.09092427691176,6,2,52,3,1
"gemini-2.5-flash",5.0392319815191,7,2,52,3,1
"qwen3-235b-a22b-no-thinki",3.47530530913263,17,5,52,5,3
"gemini-2.5-flash-preview-",3.7734194421384,14,5,52,5,3
"gemini-2.0-flash-thinking",2.31738353174794,26,10,52,12,5
"kimi-k2-0711-preview",3.43733104506291,18,5,52,5,3
"gpt-4.1-2025-04-14",2.95311567046377,21,5,52,8,4
"deepseek-v3-0324",1.75148231370243,29,13,52,14,5
"o4-mini-2025-04-16",2.42695773685704,25,9,52,12,5
"mistral-medium-2505",2.00774180911919,28,12,52,13,5
"gemini-2.5-flash-lite-pre",3.02243650056918,19,5,52,8,4
"qwen-max-2025-01-25",2.46428629412378,23,8,52,11,5
"hunyuan-turbos-20250416",2.69074332702355,22,6,52,10,5
"qwen3-235b-a22b",3.69513679309635,15,5,52,5,3
"minimax-m1",2.96219717617853,20,5,52,6,4
"claude-opus-4-20250514-th",4.0266848882079,13,4,52,5,2
"qwen3-235b-a22b-instruct-",4.79102868362808,9,2,52,2,2
"gemma-3-27b-it",0.0826958463185719,35,23,52,27,3
"claude-opus-4-20250514",4.26307592766493,12,3,52,4,2
"grok-3-mini-beta",2.0363519889484,27,12,52,13,5
"grok-3-mini-high",1.21896288283418,30,15,52,19,5
"gpt-4o-2024-11-20",-0.69978523518771,37,29,52,30,1
"claude-sonnet-4-20250514-",4.57604157181889,10,3,52,3,2
"gemini-2.0-flash-001",-1.42924486366362,41,31,52,31,1
"mistral-small-2506",-1.44854187548815,42,30,52,31,1
"gpt-4.1-mini-2025-04-14",0.532900416807697,33,19,52,22,4
"qwq-32b",0.214440334471471,34,19,52,22,3
"claude-sonnet-4-20250514",2.45515616407281,24,9,52,12,5
"qwen3-30b-a3b",0.763549635583395,31,19,52,21,4
"command-a-03-2025",-1.01985998466034,40,30,52,30,1
"o3-mini",0.629630941791728,32,19,52,20,4
"amazon-nova-experimental-",-6.55270832442982,44,43,52,43,1
"gemma-3n-e4b-it",-14.0741900167223,49,48,52,48,1
"claude-3-7-sonnet-2025021",-0.115574876832769,36,23,52,27,2
"claude-3-5-sonnet-2024102",-0.925396025593336,39,30,52,30,1
"llama-4-maverick-17b-128e",-5.29187353379308,43,43,52,43,1
"claude-3-7-sonnet-2025021.1",-0.704859446167543,38,29,52,30,1
"llama-4-scout-17b-16e-ins",-10.1845001512338,45,45,52,45,1
"llama-3.3-70b-instruct",-14.0744024334254,50,48,52,48,1
"amazon.nova-pro-v1:0",-14.3774069965238,51,48,52,48,1
"mistral-small-3.1-24b-ins",-10.2770105029758,47,45,52,45,1
"magistral-medium-2506",-10.2397833031355,46,45,52,45,1
"claude-3-5-haiku-20241022",-14.069582586891,48,48,52,48,1
"gpt-4o-mini-2024-07-18",-14.4340478317139,52,48,52,48,1
