"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",12.0566674442057,1,1,24,1,1
"gemini-2.5-pro-preview-03",11.0514615081678,2,1,30,1,1
"grok-4-0709",10.5384750404244,3,1,31,1,1
"o3-2025-04-16",7.33151291828435,8,5,52,5,2
"chatgpt-4o-latest-2025032",10.2467138333032,4,1,52,1,1
"gemini-2.5-pro-preview-05",8.4822487016526,5,2,52,3,1
"deepseek-r1-0528",5.48326792222582,13,6,52,6,3
"grok-3-preview-02-24",6.76948547547175,10,5,52,5,2
"llama-4-maverick-03-26-ex",7.82598865294802,7,4,52,4,2
"gemini-2.5-flash",7.85833664169956,6,3,52,4,2
"qwen3-235b-a22b-no-thinki",5.4511402924539,14,6,52,6,3
"gemini-2.5-flash-preview-",5.56415658874048,12,6,52,6,3
"gemini-2.0-flash-thinking",3.74657293514769,26,11,52,11,2
"kimi-k2-0711-preview",5.03838461719343,17,8,52,8,3
"gpt-4.1-2025-04-14",4.66126053439381,21,8,52,9,3
"deepseek-v3-0324",3.65547335210032,27,11,52,12,2
"o4-mini-2025-04-16",4.20813583841448,23,9,52,10,3
"mistral-medium-2505",3.87386654205891,24,10,52,11,2
"gemini-2.5-flash-lite-pre",4.7526874416158,20,8,52,9,3
"qwen-max-2025-01-25",4.29876316767736,22,9,52,10,3
"hunyuan-turbos-20250416",4.77533669120028,19,8,52,9,3
"qwen3-235b-a22b",7.07514456773026,9,5,52,5,2
"minimax-m1",6.47190190267946,11,4,52,5,3
"claude-opus-4-20250514-th",5.12921126197812,15,7,52,8,3
"qwen3-235b-a22b-instruct-",3.22673680509515,29,12,52,12,2
"gemma-3-27b-it",2.80856949627576,31,12,52,12,1
"claude-opus-4-20250514",5.08069815019446,16,8,52,8,3
"grok-3-mini-beta",3.87179542837424,25,10,52,11,2
"grok-3-mini-high",2.70287730161815,32,12,52,13,1
"gpt-4o-2024-11-20",-1.52456997596307,41,34,52,36,1
"claude-sonnet-4-20250514-",4.81746189828694,18,8,52,9,3
"gemini-2.0-flash-001",0.218860484558641,37,29,52,30,1
"mistral-small-2506",1.83586233383423,33,12,52,15,1
"gpt-4.1-mini-2025-04-14",2.82279486827493,30,12,52,12,1
"qwq-32b",1.24648103661323,36,22,52,24,1
"claude-sonnet-4-20250514",3.38979237865628,28,12,52,12,2
"qwen3-30b-a3b",1.53878319299023,34,22,52,22,1
"command-a-03-2025",-1.15847659148141,38,33,52,34,1
"o3-mini",1.3493401460973,35,22,52,24,1
"amazon-nova-experimental-",-3.01523766837122,43,37,52,37,1
"gemma-3n-e4b-it",-23.8916235675473,49,46,52,46,1
"claude-3-7-sonnet-2025021",-1.52080634187574,40,34,52,36,1
"claude-3-5-sonnet-2024102",-2.43312807163037,42,37,52,37,1
"llama-4-maverick-17b-128e",-5.2973995375776,44,42,52,42,1
"claude-3-7-sonnet-2025021.1",-1.27967627355289,39,34,52,35,1
"llama-4-scout-17b-16e-ins",-7.78558795935337,45,44,52,44,1
"llama-3.3-70b-instruct",-23.8916235675473,49,46,52,46,1
"amazon.nova-pro-v1:0",-23.8916235675473,49,46,52,46,1
"mistral-small-3.1-24b-ins",-23.8916235675473,49,46,52,46,1
"magistral-medium-2506",-23.8916235675473,49,46,52,46,1
"claude-3-5-haiku-20241022",-23.8916235675473,49,46,52,46,1
"gpt-4o-mini-2024-07-18",-23.8916235675473,49,46,52,46,1
