"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.03096883816858,1,1,32,1,1
"gemini-2.5-pro-preview-03",5.7966957379192,2,1,43,1,1
"grok-4-0709",5.64272439024122,3,1,44,1,1
"o3-2025-04-16",3.47090086660414,14,1,52,2,1
"chatgpt-4o-latest-2025032",4.10955061605955,9,1,52,1,1
"gemini-2.5-pro-preview-05",3.47090086660416,13,2,52,2,1
"deepseek-r1-0528",2.78415468420039,20,2,52,3,1
"grok-3-preview-02-24",4.37455403261306,7,1,52,1,1
"llama-4-maverick-03-26-ex",4.60409146118912,5,1,52,1,1
"gemini-2.5-flash",4.49771188052803,6,1,52,1,1
"qwen3-235b-a22b-no-thinki",3.2557894869872,16,2,52,2,1
"gemini-2.5-flash-preview-",3.2944925987712,15,2,52,2,1
"gemini-2.0-flash-thinking",2.29362138693185,24,3,52,4,1
"kimi-k2-0711-preview",3.24699481080362,17,2,52,2,1
"gpt-4.1-2025-04-14",2.20927875256387,26,4,52,4,1
"deepseek-v3-0324",0.98588453245585,32,5,52,9,2
"o4-mini-2025-04-16",2.36794079098382,23,2,52,4,1
"mistral-medium-2505",0.965827643029344,33,9,52,12,2
"gemini-2.5-flash-lite-pre",2.74894678645059,21,2,52,3,1
"qwen-max-2025-01-25",2.91100943909587,19,2,52,2,1
"hunyuan-turbos-20250416",2.28187004608006,25,3,52,4,1
"qwen3-235b-a22b",3.53493319712443,12,1,52,2,1
"minimax-m1",3.17459691403243,18,2,52,2,1
"claude-opus-4-20250514-th",3.93807366839437,10,1,52,2,1
"qwen3-235b-a22b-instruct-",4.98880714748081,4,1,52,1,1
"gemma-3-27b-it",-0.118230076279943,37,18,52,20,1
"claude-opus-4-20250514",3.84213960477587,11,1,52,2,1
"grok-3-mini-beta",1.83474291480982,28,4,52,6,2
"grok-3-mini-high",1.96454090309652,27,4,52,5,2
"gpt-4o-2024-11-20",-0.0851134997404355,36,16,52,20,1
"claude-sonnet-4-20250514-",4.37455403261305,8,1,52,1,1
"gemini-2.0-flash-001",-1.46106751321551,41,28,52,30,1
"mistral-small-2506",-2.283258677254,42,31,52,34,1
"gpt-4.1-mini-2025-04-14",0.737808911779915,34,10,52,12,2
"qwq-32b",1.01913352483391,31,5,52,9,2
"claude-sonnet-4-20250514",2.70407534834453,22,2,52,4,1
"qwen3-30b-a3b",1.67502570618805,29,4,52,6,2
"command-a-03-2025",-0.667122283614423,40,20,52,23,1
"o3-mini",1.4584988987909,30,5,52,7,2
"amazon-nova-experimental-",-8.52468275842021,44,44,52,44,1
"gemma-3n-e4b-it",-12.359415052442,48,47,52,47,1
"claude-3-7-sonnet-2025021",0.633753163696272,35,11,52,12,2
"claude-3-5-sonnet-2024102",-0.171526096842323,38,18,52,20,1
"llama-4-maverick-17b-128e",-4.08343224923258,43,40,52,41,1
"claude-3-7-sonnet-2025021.1",-0.243361378071267,39,19,52,22,1
"llama-4-scout-17b-16e-ins",-12.3163976711243,47,47,52,47,1
"llama-3.3-70b-instruct",-12.4219354005734,50,47,52,47,1
"amazon.nova-pro-v1:0",-12.4219354191042,51,47,52,47,1
"mistral-small-3.1-24b-ins",-8.59205816109565,46,44,52,44,1
"magistral-medium-2506",-8.59205816094637,45,44,52,44,1
"claude-3-5-haiku-20241022",-12.3789180243963,49,45,52,47,1
"gpt-4o-mini-2024-07-18",-12.5040811618886,52,47,52,47,1
