"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.1535202642438,1,1,19,1,1
"gemini-2.5-pro-preview-03",6.16677576114177,3,1,26,1,1
"grok-4-0709",6.24973018863796,2,1,26,1,1
"o3-2025-04-16",4.15506968457846,11,2,52,2,1
"chatgpt-4o-latest-2025032",5.98283572503397,4,1,37,1,1
"gemini-2.5-pro-preview-05",3.87923422561731,12,2,52,4,1
"deepseek-r1-0528",3.39038131469263,15,5,52,5,2
"grok-3-preview-02-24",4.87792793937391,6,1,52,2,1
"llama-4-maverick-03-26-ex",5.0208514056974,5,1,49,2,1
"gemini-2.5-flash",4.75624887150223,7,2,52,2,1
"qwen3-235b-a22b-no-thinki",3.35559811387316,16,5,52,5,2
"gemini-2.5-flash-preview-",3.26208230899837,18,5,52,5,2
"gemini-2.0-flash-thinking",1.93929193080867,26,9,52,11,2
"kimi-k2-0711-preview",3.34865248995328,17,5,52,5,2
"gpt-4.1-2025-04-14",2.73242971410056,22,5,52,6,2
"deepseek-v3-0324",1.78172200407432,28,9,52,12,3
"o4-mini-2025-04-16",2.43989560815559,25,6,52,8,2
"mistral-medium-2505",1.68046127021105,29,9,52,12,3
"gemini-2.5-flash-lite-pre",2.80763989353073,21,5,52,6,2
"qwen-max-2025-01-25",2.4949840460619,24,5,52,9,2
"hunyuan-turbos-20250416",2.85966679296055,20,5,52,6,2
"qwen3-235b-a22b",3.72773466665856,14,2,52,5,1
"minimax-m1",3.02867890064189,19,5,52,5,2
"claude-opus-4-20250514-th",3.80711965815797,13,2,52,4,1
"qwen3-235b-a22b-instruct-",4.66145851216383,8,1,52,1,1
"gemma-3-27b-it",0.079927269783294,36,23,52,26,2
"claude-opus-4-20250514",4.16486596839621,9,2,52,2,1
"grok-3-mini-beta",1.78867410820754,27,9,52,12,3
"grok-3-mini-high",1.3058049960001,30,13,52,15,3
"gpt-4o-2024-11-20",-0.431087954979699,37,26,52,26,1
"claude-sonnet-4-20250514-",4.16385712146452,10,2,52,2,1
"gemini-2.0-flash-001",-1.22442845856257,42,30,52,32,1
"mistral-small-2506",-0.973312231988823,41,27,52,30,1
"gpt-4.1-mini-2025-04-14",0.602402622776895,33,19,52,20,2
"qwq-32b",0.345863445563967,34,15,52,19,2
"claude-sonnet-4-20250514",2.52939727865098,23,5,52,9,2
"qwen3-30b-a3b",1.08960058037238,31,14,52,15,2
"command-a-03-2025",-0.657358785487668,40,26,52,27,1
"o3-mini",0.850848208001811,32,15,52,18,2
"amazon-nova-experimental-",-9.52506887294183,44,44,52,44,1
"gemma-3n-e4b-it",-13.1135447147285,48,48,52,48,1
"claude-3-7-sonnet-2025021",0.194691743452636,35,20,52,23,2
"claude-3-5-sonnet-2024102",-0.519880058179774,39,26,52,27,1
"llama-4-maverick-17b-128e",-4.69622453520948,43,43,52,43,1
"claude-3-7-sonnet-2025021.1",-0.453377560597147,38,26,52,26,1
"llama-4-scout-17b-16e-ins",-9.54774348113221,45,44,52,44,1
"llama-3.3-70b-instruct",-13.1396993192706,49,48,52,48,1
"amazon.nova-pro-v1:0",-13.4822447737768,51,48,52,48,1
"mistral-small-3.1-24b-ins",-9.64219381867451,47,44,52,44,1
"magistral-medium-2506",-9.60685206719013,46,44,52,44,1
"claude-3-5-haiku-20241022",-13.1508324665456,50,48,52,48,1
"gpt-4o-mini-2024-07-18",-13.5120755342749,52,48,52,48,1
