"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",12.1943715125285,1,1,35,1,1
"gemini-2.5-pro-preview-03",9.73763573970721,4,1,52,1,1
"grok-4-0709",10.5849336000943,3,1,37,1,1
"o3-2025-04-16",7.65491948351791,8,2,52,4,1
"chatgpt-4o-latest-2025032",10.6097822158065,2,1,52,1,1
"gemini-2.5-pro-preview-05",6.97836687216217,10,4,52,5,1
"deepseek-r1-0528",6.10855027569151,13,5,52,5,2
"grok-3-preview-02-24",6.7475779798118,11,4,52,5,1
"llama-4-maverick-03-26-ex",8.54929462488822,5,1,52,2,1
"gemini-2.5-flash",8.38324411336598,6,1,52,2,1
"qwen3-235b-a22b-no-thinki",6.12771705859397,12,5,52,5,2
"gemini-2.5-flash-preview-",5.29581163566373,17,6,52,8,2
"gemini-2.0-flash-thinking",3.52463058116021,29,10,52,10,1
"kimi-k2-0711-preview",5.68631603415568,15,5,52,6,2
"gpt-4.1-2025-04-14",5.19366147754279,19,5,52,7,2
"deepseek-v3-0324",4.3128686275109,24,8,52,10,1
"o4-mini-2025-04-16",4.91411320342148,22,7,52,8,2
"mistral-medium-2505",3.81851092365825,27,9,52,10,1
"gemini-2.5-flash-lite-pre",4.92946891354563,21,7,52,8,2
"qwen-max-2025-01-25",4.9962613496232,20,7,52,8,2
"hunyuan-turbos-20250416",6.07914776429645,14,5,52,5,2
"qwen3-235b-a22b",8.14690880325846,7,1,52,2,1
"minimax-m1",7.40534917151884,9,2,52,2,1
"claude-opus-4-20250514-th",5.24144569252254,18,6,52,8,2
"qwen3-235b-a22b-instruct-",3.61444456045156,28,9,52,10,1
"gemma-3-27b-it",3.36386270438921,30,10,52,10,1
"claude-opus-4-20250514",5.60312842712053,16,5,52,5,2
"grok-3-mini-beta",3.86887150022438,26,9,52,10,1
"grok-3-mini-high",2.32113135236868,34,15,52,17,1
"gpt-4o-2024-11-20",-2.27440052694415,41,37,52,37,1
"claude-sonnet-4-20250514-",4.66748156988469,23,8,52,8,1
"gemini-2.0-flash-001",0.851925714542087,37,25,52,26,1
"mistral-small-2506",3.24071772559112,32,9,52,10,1
"gpt-4.1-mini-2025-04-14",3.30134234740724,31,10,52,11,1
"qwq-32b",2.01821154605688,36,17,52,20,1
"claude-sonnet-4-20250514",3.99526253589829,25,9,52,10,1
"qwen3-30b-a3b",2.43094932820841,33,15,52,17,1
"command-a-03-2025",-0.950713799088666,38,33,52,34,1
"o3-mini",2.12578310060289,35,17,52,19,1
"amazon-nova-experimental-",-14.0535531601451,45,45,52,45,1
"gemma-3n-e4b-it",-23.8056805834786,49,46,52,46,1
"claude-3-7-sonnet-2025021",-2.2361041434609,40,37,52,37,1
"claude-3-5-sonnet-2024102",-2.28674787626742,42,37,52,37,1
"llama-4-maverick-17b-128e",-5.13342847499412,43,39,52,40,1
"claude-3-7-sonnet-2025021.1",-1.46164598602005,39,35,52,37,1
"llama-4-scout-17b-16e-ins",-9.58764201552159,44,44,52,44,1
"llama-3.3-70b-instruct",-23.8056805834786,49,46,52,46,1
"amazon.nova-pro-v1:0",-23.8056805834786,49,46,52,46,1
"mistral-small-3.1-24b-ins",-23.8056805834786,49,46,52,46,1
"magistral-medium-2506",-23.8056805834786,49,46,52,46,1
"claude-3-5-haiku-20241022",-23.8056805834786,49,46,52,46,1
"gpt-4o-mini-2024-07-18",-23.8056805834786,49,46,52,46,1
