model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,1.0028,1,1,4,1,1
gemini-2.5-pro-preview-03-25,0.881,2,1,11,1,1
grok-4-0709,0.8492,3,1,13,1,1
chatgpt-4o-latest-20250326,0.7497,4,1,10,1,1
o3-2025-04-16,0.5506,5,2,18,2,2
llama-4-maverick-03-26-experimental,0.5235,6,2,22,2,2
gemini-2.5-flash,0.4981,7,2,22,3,2
gemini-2.5-pro-preview-05-06,0.4693,8,2,26,2,2
qwen3-235b-a22b,0.3953,9,3,26,3,2
grok-3-preview-02-24,0.3896,10,3,26,3,2
deepseek-r1-0528,0.375,11,3,27,3,3
qwen3-235b-a22b-no-thinking,0.3517,12,3,26,5,3
hunyuan-turbos-20250416,0.3406,13,2,33,2,2
gemini-2.5-flash-preview-04-17,0.3086,14,5,30,5,3
claude-opus-4-20250514,0.307,15,5,29,6,3
kimi-k2-0711-preview,0.295,16,5,32,5,2
claude-opus-4-20250514-thinking-16k,0.2591,17,6,32,6,3
gpt-4.1-2025-04-14,0.2475,18,6,32,6,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.2458,19,5,33,6,3
minimax-m1,0.1991,20,6,34,8,3
o4-mini-2025-04-16,0.182,21,8,34,8,6
deepseek-v3-0324,0.1534,22,8,35,8,6
claude-sonnet-4-20250514-thinking-32k,0.1419,23,8,37,8,6
qwen-max-2025-01-25,0.1349,24,8,38,8,6
claude-sonnet-4-20250514,0.0805,25,11,38,13,8
mistral-medium-2505,0.062,26,13,38,14,8
grok-3-mini-beta,0.0245,27,14,39,14,8
gemini-2.0-flash-thinking-exp-01-21,0.0179,28,4,49,5,1
qwen3-235b-a22b-instruct-2507,-0.0321,29,5,46,6,2
qwen3-30b-a3b,-0.0949,30,17,44,19,14
grok-3-mini-high,-0.1038,31,15,45,18,10
gpt-4.1-mini-2025-04-14,-0.1111,32,19,44,21,15
gemma-3-27b-it,-0.1385,33,21,44,23,17
mistral-small-2506,-0.1464,34,16,46,19,10
o3-mini,-0.1544,35,23,45,24,18
gemini-2.0-flash-001,-0.1799,36,24,45,25,18
qwq-32b,-0.1956,37,22,46,24,17
claude-3-7-sonnet-20250219,-0.2558,38,27,46,27,23
command-a-03-2025,-0.3052,39,28,48,28,27
claude-3-7-sonnet-20250219-thinking-32k,-0.3336,40,28,48,28,27
claude-3-5-sonnet-20241022,-0.3481,41,28,48,28,27
gpt-4o-2024-11-20,-0.4334,42,20,52,23,8
llama-4-scout-17b-16e-instruct,-0.4966,43,30,52,31,28
llama-4-maverick-17b-128e-instruct,-0.516,44,34,51,34,30
amazon-nova-experimental-chat-05-14,-0.5213,45,31,52,33,28
llama-3.3-70b-instruct,-0.7073,46,40,52,40,37
gemma-3n-e4b-it,-0.745,47,39,52,41,34
magistral-medium-2506,-0.7491,48,38,52,41,32
claude-3-5-haiku-20241022,-0.8377,49,41,52,43,40
gpt-4o-mini-2024-07-18,-0.8703,50,33,52,37,23
amazon.nova-pro-v1:0,-0.8722,51,43,52,44,40
mistral-small-3.1-24b-instruct-2503,-0.8874,52,41,52,42,40
