model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
chatgpt-4o-latest-20250326,0.9067,1,1,8,1,1
gemini-2.5-pro,0.9041,2,1,8,1,1
grok-4-0709,0.7961,3,1,22,1,1
gemini-2.5-pro-preview-03-25,0.7622,4,1,24,1,1
o3-2025-04-16,0.5767,5,1,22,3,1
grok-3-preview-02-24,0.5036,6,3,25,3,1
llama-4-maverick-03-26-experimental,0.4853,7,3,25,3,1
gemini-2.5-pro-preview-05-06,0.4764,8,1,30,3,1
deepseek-r1-0528,0.4543,9,3,26,3,1
hunyuan-turbos-20250416,0.3838,10,1,36,3,1
gemini-2.5-flash,0.375,11,3,31,3,3
gpt-4.1-2025-04-14,0.3745,12,3,31,3,3
claude-opus-4-20250514,0.3694,13,3,31,3,3
qwen3-235b-a22b-no-thinking,0.3241,14,3,31,3,3
kimi-k2-0711-preview,0.2852,15,3,35,3,3
gemini-2.5-flash-preview-04-17,0.2756,16,3,35,3,3
deepseek-v3-0324,0.2569,17,3,35,3,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.2458,18,3,35,3,3
qwen3-235b-a22b,0.2202,19,3,36,3,3
claude-opus-4-20250514-thinking-16k,0.2076,20,4,35,4,3
mistral-medium-2505,0.1482,21,5,37,7,4
o4-mini-2025-04-16,0.138,22,5,39,6,4
claude-sonnet-4-20250514,0.0841,23,8,40,9,4
claude-sonnet-4-20250514-thinking-32k,0.0758,24,7,42,9,4
grok-3-mini-beta,0.0564,25,8,42,9,4
qwen-max-2025-01-25,-0.0061,26,9,44,12,4
gemini-2.0-flash-thinking-exp-01-21,-0.0498,27,1,52,1,1
mistral-small-2506,-0.0649,28,9,47,12,4
qwen3-235b-a22b-instruct-2507,-0.0654,29,4,51,5,1
gemma-3-27b-it,-0.0694,30,14,46,14,10
gpt-4.1-mini-2025-04-14,-0.07,31,14,45,14,10
minimax-m1,-0.0746,32,14,46,14,8
command-a-03-2025,-0.1795,33,18,47,22,14
qwen3-30b-a3b,-0.1948,34,18,49,22,14
grok-3-mini-high,-0.2086,35,16,49,18,11
claude-3-7-sonnet-20250219,-0.213,36,21,49,23,15
gemini-2.0-flash-001,-0.2171,37,21,49,23,14
o3-mini,-0.2585,38,23,49,24,17
claude-3-7-sonnet-20250219-thinking-32k,-0.3076,39,24,50,26,21
claude-3-5-sonnet-20241022,-0.3409,40,26,50,26,22
qwq-32b,-0.3697,41,25,51,26,21
gpt-4o-2024-11-20,-0.4235,42,10,52,13,3
llama-4-scout-17b-16e-instruct,-0.481,43,26,52,28,23
amazon-nova-experimental-chat-05-14,-0.5339,44,29,52,30,25
llama-4-maverick-17b-128e-instruct,-0.5362,45,30,52,30,26
llama-3.3-70b-instruct,-0.5899,46,31,52,34,29
magistral-medium-2506,-0.5929,47,28,52,30,24
gpt-4o-mini-2024-07-18,-0.6703,48,18,52,22,3
claude-3-5-haiku-20241022,-0.7333,49,39,52,39,35
gemma-3n-e4b-it,-0.7518,50,35,52,37,28
mistral-small-3.1-24b-instruct-2503,-0.7934,51,38,52,39,31
amazon.nova-pro-v1:0,-0.8903,52,40,52,40,39
