model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9205,1,1,2,1,1
gemini-2.5-pro,0.9186,2,1,2,1,1
grok-4-0709,0.6589,3,3,9,3,2
chatgpt-4o-latest-20250326,0.6334,4,3,7,3,3
grok-3-preview-02-24,0.5545,5,3,10,3,3
o3-2025-04-16,0.5359,6,3,10,3,3
gemini-2.5-pro-preview-05-06,0.5083,7,3,10,3,3
llama-4-maverick-03-26-experimental,0.4959,8,4,10,4,3
gemini-2.5-flash,0.4854,9,4,10,4,4
deepseek-r1-0528,0.4623,10,4,12,5,4
qwen3-235b-a22b-no-thinking,0.2884,11,11,22,11,11
claude-opus-4-20250514-thinking-16k,0.2832,12,11,22,11,11
claude-opus-4-20250514,0.2707,13,11,22,11,11
gemini-2.5-flash-preview-04-17,0.2699,14,11,22,11,11
kimi-k2-0711-preview,0.2496,15,11,25,11,11
gpt-4.1-2025-04-14,0.2409,16,11,23,11,11
claude-sonnet-4-20250514-thinking-32k,0.2026,17,11,26,11,11
qwen3-235b-a22b,0.1911,18,11,26,11,11
qwen3-235b-a22b-instruct-2507,0.1783,19,11,33,11,5
gemini-2.5-flash-lite-preview-06-17-thinking,0.1773,20,11,28,11,11
hunyuan-turbos-20250416,0.1231,21,11,32,12,11
mistral-medium-2505,0.1195,22,16,30,16,14
deepseek-v3-0324,0.1139,23,15,30,16,14
o4-mini-2025-04-16,0.1109,24,16,30,16,14
gemini-2.0-flash-thinking-exp-01-21,0.094,25,11,38,11,5
qwen-max-2025-01-25,0.0844,26,17,32,17,14
grok-3-mini-beta,0.0435,27,19,33,20,17
minimax-m1,0.0036,28,20,34,21,19
grok-3-mini-high,0.0011,29,20,36,20,17
claude-sonnet-4-20250514,-0.0147,30,23,35,23,20
gemma-3-27b-it,-0.0419,31,23,37,23,22
gpt-4.1-mini-2025-04-14,-0.0643,32,24,37,24,23
gpt-4o-2024-11-20,-0.1231,33,20,42,21,14
qwq-32b,-0.1367,34,27,39,28,24
gemini-2.0-flash-001,-0.1545,35,29,39,30,26
qwen3-30b-a3b,-0.1685,36,30,39,31,26
mistral-small-2506,-0.1756,37,28,41,29,25
o3-mini,-0.2092,38,32,41,32,31
command-a-03-2025,-0.2675,39,32,42,33,32
claude-3-7-sonnet-20250219,-0.3153,40,36,43,36,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3193,41,36,43,36,34
claude-3-5-sonnet-20241022,-0.3851,42,38,43,39,37
amazon-nova-experimental-chat-05-14,-0.4262,43,39,46,40,38
llama-4-scout-17b-16e-instruct,-0.5558,44,43,48,43,42
llama-4-maverick-17b-128e-instruct,-0.5726,45,43,48,43,43
gemma-3n-e4b-it,-0.6127,46,43,50,44,43
magistral-medium-2506,-0.6712,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.769,48,46,52,46,44
llama-3.3-70b-instruct,-0.7796,49,46,52,46,45
claude-3-5-haiku-20241022,-0.8077,50,47,52,47,46
gpt-4o-mini-2024-07-18,-0.8175,51,44,52,44,43
amazon.nova-pro-v1:0,-0.8316,52,47,52,47,46
