"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",3.54616217629223,4,1,11,1,1
"calme-3.1-instruct-78b",3.15700364901003,7,1,12,1,1
"CalmeRys-78B-Orpo-v0.1",3.03622222234496,8,1,14,1,1
"calme-2.4-rys-78b",3.2128330607089,6,1,12,1,1
"Qwen2.5-72B-Instruct-abli",1.1830751981346,31,13,49,13,10
"Qwen2.5-72B-Instruct",1.08817173763108,34,13,57,14,11
"calme-2.1-qwen2.5-72b",0.799754393576119,38,16,64,18,12
"Homer-v1.0-Qwen2.5-72B",3.65512064488132,3,1,10,1,1
"qwen2.5-test-32b-it",0.661747678821784,41,18,68,18,13
"Linkbricks-Horizon-AI-Ave",0.423344073431201,44,26,69,28,15
"calme-2.2-qwen2.5-72b",0.712666937405527,40,17,67,18,12
"FluentlyLM-Prinum",1.33711640899338,28,12,46,12,9
"T3Q-qwen2.5-14b-v1.0-e3",3.51422315095857,5,1,11,1,1
"T3Q-Qwen2.5-14B-Instruct-",3.74602476501587,1,1,10,1,1
"Qwen2.5-32B-Instruct-abli",-0.177103081416804,61,38,74,39,24
"Gilgamesh-72B",1.77556414554515,16,9,38,10,6
"ultiima-72B",2.78884428391532,9,1,17,1,1
"zetasepic-abliteratedV2-Q",0.0652529875836816,54,34,71,35,18
"Awqward2.5-32B-Instruct",0.0710591482118383,52,32,72,35,18
"test-2.5-72B",1.90604343229161,15,9,36,9,6
"shuttle-3",2.68503280925501,10,1,17,1,1
"Qwen2.5-32B-Instruct",-0.459893020652872,67,42,80,42,30
"Mistral-Large-Instruct-24",1.40199683367732,27,11,53,11,9
"Rombos-LLM-V2.5-Qwen-72b",2.46257602648829,11,4,26,6,1
"Linkbricks-Horizon-AI-Ave.1",-0.448963950120644,66,42,80,42,30
"Qwen2.5-72B-Instruct-abli.1",2.20614084931184,12,6,31,7,1
"Linkbricks-Horizon-AI-Ave.2",-0.523014606344999,69,42,82,42,30
"lambda-qwen2.5-32b-dpo-te",-0.506966322922263,68,42,81,44,30
"Qwentile2.5-32B-Instruct",0.925990734879485,35,15,61,16,12
"Rombos-LLM-V2.5-Qwen-32b",1.97183674468692,14,8,36,9,4
"openbuddy-llama3.3-70b-v2",1.11221033544639,32,12,63,12,11
"Linkbricks-Horizon-AI-Ave.3",0.0343816902533289,56,34,72,35,18
"huihui-ai-abliterated-Qwe",-0.3260401552596,63,39,80,41,28
"Linkbricks-Horizon-AI-Ave.4",0.0211847446638824,57,35,72,35,18
"ultiima-32B",1.44593353308674,25,11,46,12,9
"RYS-XLarge",0.351177702922422,45,28,69,30,16
"Qwen2.5-95B-Instruct",-0.360596332345084,64,41,80,42,28
"ultiima-72B-v1.5",3.65861150367434,2,1,10,1,1
"sky-t1-coder-32b-flash",0.0702430520289958,53,34,71,35,18
"Llama-3.3-70B-Instruct",-1.45103988538882,73,62,100,64,41
"RomboUltima-32B",0.330667640619158,46,28,70,30,16
"calme-2.1-rys-78b",0.750222017036112,39,17,64,18,12
"calme-2.3-rys-78b",1.4733916128812,23,11,44,12,9
"calme-2.1-qwen2-72b",-0.141183167494296,59,37,73,38,22
