"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",3.17864309058628,3,1,10,2,1
"calme-3.1-instruct-78b",2.80629904805489,5,2,22,3,1
"CalmeRys-78B-Orpo-v0.1",2.72910467841141,6,3,23,3,1
"calme-2.4-rys-78b",2.89573664319138,4,2,21,2,1
"Qwen2.5-72B-Instruct-abli",0.643931034077159,43,24,61,24,10
"Qwen2.5-72B-Instruct",0.314660199420759,48,25,67,30,11
"calme-2.1-qwen2.5-72b",0.227633189866816,49,31,69,35,17
"Homer-v1.0-Qwen2.5-72B",2.16190624837322,10,3,36,3,2
"qwen2.5-test-32b-it",0.677767229413027,42,22,61,24,9
"Linkbricks-Horizon-AI-Ave",0.196514706247634,52,34,69,35,19
"calme-2.2-qwen2.5-72b",0.0892405241750369,56,35,74,36,22
"FluentlyLM-Prinum",0.873779026267214,38,13,58,22,7
"T3Q-qwen2.5-14b-v1.0-e3",4.12792045302927,2,1,4,1,1
"T3Q-Qwen2.5-14B-Instruct-",4.59792408227494,1,1,3,1,1
"Qwen2.5-32B-Instruct-abli",-0.813036284084094,67,46,96,49,35
"Gilgamesh-72B",1.2916534004012,33,7,53,10,4
"ultiima-72B",1.89590367660625,13,4,40,4,3
"zetasepic-abliteratedV2-Q",-0.707990209436912,63,45,93,46,35
"Awqward2.5-32B-Instruct",-0.779736419959043,65,45,100,46,35
"test-2.5-72B",1.85192013377722,19,4,40,5,3
"shuttle-3",1.75438564131713,22,4,44,5,3
"Qwen2.5-32B-Instruct",-1.39003332407457,72,58,100,59,40
"Mistral-Large-Instruct-24",1.24873599937152,34,7,60,7,5
"Rombos-LLM-V2.5-Qwen-72b",1.37567043166676,26,7,48,7,4
"Linkbricks-Horizon-AI-Ave.1",-1.33554839125897,71,58,100,58,39
"Qwen2.5-72B-Instruct-abli.1",1.8458678368485,20,4,40,5,3
"Linkbricks-Horizon-AI-Ave.2",-1.51270565970825,74,59,100,59,41
"lambda-qwen2.5-32b-dpo-te",-1.59030843228918,76,59,100,61,41
"Qwentile2.5-32B-Instruct",0.814610038762813,40,19,60,22,7
"Rombos-LLM-V2.5-Qwen-32b",1.89327689259827,16,4,38,4,3
"openbuddy-llama3.3-70b-v2",1.84137926382948,21,3,44,4,3
"Linkbricks-Horizon-AI-Ave.3",0.337275893117392,46,25,67,29,11
"huihui-ai-abliterated-Qwe",-1.84114909456512,81,61,100,61,43
"Linkbricks-Horizon-AI-Ave.4",0.105597894747058,55,35,72,35,22
"ultiima-32B",1.33068273882816,29,7,50,9,4
"RYS-XLarge",1.54141763651039,24,7,44,7,3
"Qwen2.5-95B-Instruct",-0.139934615453403,58,38,78,38,24
"ultiima-72B-v1.5",2.32881787770793,7,3,34,3,2
"sky-t1-coder-32b-flash",-1.30000780796923,70,58,100,59,39
"Llama-3.3-70B-Instruct",-1.14199240943041,68,55,100,58,38
"RomboUltima-32B",0.682742005256121,41,23,60,24,9
"calme-2.1-rys-78b",1.31551143724006,31,7,52,9,4
"calme-2.3-rys-78b",1.36810389381936,27,7,50,7,4
"calme-2.1-qwen2-72b",0.823047736512318,39,19,60,22,7
"calme-2.2-rys-78b",1.32461393839438,30,7,54,7,4
"MG-FinalMix-72B",1.12357455656891,35,10,57,11,6
"EVA-Qwen2.5-72B-v0.2",1.89502910759778,15,4,40,4,3
"Qwen2-72B-Orpo-v0.1",1.0473532483975,37,11,57,11,7
"RYS-XLarge-base",1.31220246236009,32,7,53,9,4
"calme-2.2-qwen2-72b",-0.369057799180557,59,41,84,43,25
"Arcee-Nova",0.16279904814189,54,35,69,35,22
"L3.3-MS-Nevoria-70b",1.87084752833164,18,3,44,4,3
"Set-70b",1.87501525518482,17,3,44,4,3
"QwentileSwap",0.603464263504399,44,24,62,24,10
"li-14b-v0.4",-2.1010139848321,84,65,100,68,45
"tempmotacilla-cinerea-030",-2.49810634174809,90,70,100,72,45
"L3.3-Nevoria-R1-70b",1.95985479640775,11,3,40,4,3
"Qwen2-72B-Instruct",0.0414897571067856,57,37,71,38,23
"Galactic-Qwen-14B-Exp2",2.31917358735703,8,3,33,3,2
"BigQwen2.5-52B-Instruct",-0.379047236351328,60,41,88,41,25
"Llama-3.1-SauerkrautLM-70",0.209191573481426,50,33,69,35,19
"Llama-3.1-70B-Instruct",-0.666857092610373,62,45,93,45,35
"Dracarys-72B-Instruct",0.198070114714133,51,34,68,35,19
"Linkbricks-Horizon-AI-Ave.5",-0.808503480613818,66,45,100,46,35
"Lamarckvergence-14B",-1.68579631704265,78,61,100,61,41
"Lix-14B-v0.1",-1.94616109466465,83,64,100,68,44
"calme-2.2-llama3.1-70b",-1.19247847893896,69,57,100,58,38
"NQLSG-Qwen2.5-14B-MegaFus",-2.2816800676819,86,68,100,68,45
"calme-2.3-llama3.1-70b",-0.745873545569196,64,45,93,48,35
"NQLSG-Qwen2.5-14B-MegaFus.1",-2.14145999984155,85,68,100,68,45
"orca_mini_v8_1_70b",1.10267321897779,36,7,62,7,7
"Apollo-70B",1.95338783940685,12,3,42,3,3
"ZYH-LLM-Qwen2.5-14B-V4",-2.37362907505742,88,68,100,68,45
"NQLSG-Qwen2.5-14B-MegaFus.2",-2.29499908387537,87,68,100,68,45
"Progenitor-V1.1-LLaMa-70B",1.89552381967531,14,3,44,4,3
"70B-L3.3-Cirrus-x1",2.28008405630014,9,3,36,3,2
"magnum-v1-72b",0.336452096425832,47,25,67,34,11
"magnum-72b-v1",0.383335682324672,45,25,67,29,11
"lamarckvergence-14b-tenso",-1.54786510415264,75,59,100,61,41
"li-14b-v0.4-slerp0.1",-2.89676013531151,93,77,100,79,45
"miscii-14b-0218",-1.39849775457076,73,59,100,59,40
"Cheng-2",-3.42955525771491,97,84,100,85,41
"NQLSG-Qwen2.5-14B-MegaFus.3",-2.53095496476474,91,68,100,69,45
"Llama3.3-70B-CogniLink",1.72875648308319,23,4,45,4,3
"tempesthenno-ppo-ckpt40",-1.67906353874165,77,61,100,61,41
"RYS-Llama3.1-Large",-0.615681443571322,61,45,89,45,34
"virtuoso-small-v2-tensopo",-1.86209727648818,82,61,100,64,44
"Cheng-2-v1.1",-3.69939694979961,99,87,100,89,38
"RombosBeagle-v2beta-MGS-3",1.37753480718879,25,7,48,7,4
"TheBeagle-v2beta-32B-MGS",1.35948930850414,28,7,48,7,4
"lambda-qwen2.5-14b-dpo-te",-2.61819035634122,92,71,100,74,45
"tempesthenno-nuslerp-001",-1.74673054732128,79,61,100,62,43
"Qwen2.5-14B-1M-YOYO-V3",-4.66031172974141,100,96,100,97,7
"Josiefied-Qwen2.5-14B-Ins",-3.15519426082133,96,79,100,82,43
"NQLSG-Qwen2.5-14B-MegaFus.4",-2.96292032052549,95,77,100,79,45
"Q2.5-Veltha-14B",-2.93544449023047,94,77,100,79,45
"ECE-ILAB-Q1",0.182598910135678,53,35,69,35,20
"Virtuoso-Small-v2",-2.49224877383357,89,70,100,71,45
"Qwen2.5-14B-YOYO-V4-p1",-3.61102969273159,98,86,100,88,38
"Chocolatine-14B-Instruct-",-1.83112719897915,80,61,100,61,43
