"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",3.6606277587579,2,1,7,1,1
"calme-3.1-instruct-78b",3.24916273317648,4,1,8,1,1
"CalmeRys-78B-Orpo-v0.1",3.11936752299387,6,1,8,1,1
"calme-2.4-rys-78b",3.22195356443437,5,1,8,1,1
"Qwen2.5-72B-Instruct-abli",0.515354655226723,43,25,60,27,17
"Qwen2.5-72B-Instruct",0.32793517669138,48,29,65,30,20
"calme-2.1-qwen2.5-72b",0.233654383316384,49,30,66,33,23
"Homer-v1.0-Qwen2.5-72B",2.58792531341402,8,4,19,4,1
"qwen2.5-test-32b-it",0.797694467953332,38,20,55,20,11
"Linkbricks-Horizon-AI-Ave",0.43639384817495,45,27,63,29,20
"calme-2.2-qwen2.5-72b",0.108393303693237,53,34,70,36,25
"FluentlyLM-Prinum",0.987495676523828,33,16,52,19,10
"T3Q-qwen2.5-14b-v1.0-e3",3.64870921152887,3,1,7,1,1
"T3Q-Qwen2.5-14B-Instruct-",3.94720220008489,1,1,6,1,1
"Qwen2.5-32B-Instruct-abli",-0.446531701260716,62,46,76,47,36
"Gilgamesh-72B",1.30935897120221,25,11,44,11,9
"ultiima-72B",2.16506788449869,10,6,26,7,4
"zetasepic-abliteratedV2-Q",-0.335770106503733,58,43,76,45,33
"Awqward2.5-32B-Instruct",-0.354276207581697,60,43,76,45,34
"test-2.5-72B",1.84295548331811,15,7,32,8,7
"shuttle-3",1.71872366037034,18,8,39,9,7
"Qwen2.5-32B-Instruct",-0.801851399762478,67,53,84,54,42
"Mistral-Large-Instruct-24",1.04817065888771,31,11,54,11,9
"Rombos-LLM-V2.5-Qwen-72b",1.8494696651502,14,7,33,8,6
"Linkbricks-Horizon-AI-Ave.1",-0.770597064499557,66,53,83,54,41
"Qwen2.5-72B-Instruct-abli.1",1.91834747374419,12,7,29,7,6
"Linkbricks-Horizon-AI-Ave.2",-0.838772210564483,69,54,84,55,42
"lambda-qwen2.5-32b-dpo-te",-0.852816384207562,70,54,84,55,42
"Qwentile2.5-32B-Instruct",1.0671815811703,30,14,52,16,9
"Rombos-LLM-V2.5-Qwen-32b",2.20946623266565,9,6,24,7,4
"openbuddy-llama3.3-70b-v2",1.23668095895179,28,9,52,11,9
"Linkbricks-Horizon-AI-Ave.3",0.502747389520778,44,25,63,27,19
"huihui-ai-abliterated-Qwe",-0.825981860285343,68,54,84,55,42
"Linkbricks-Horizon-AI-Ave.4",0.353028984826729,47,29,64,29,20
"ultiima-32B",1.6979816755178,19,8,36,9,7
"RYS-XLarge",0.972603520092511,34,16,53,17,10
"Qwen2.5-95B-Instruct",-0.62332636687404,65,49,81,50,40
"ultiima-72B-v1.5",2.7127466726516,7,2,15,2,1
"sky-t1-coder-32b-flash",-0.452389917593393,63,46,76,47,36
"Llama-3.3-70B-Instruct",-1.38925579878872,75,61,95,64,49
"RomboUltima-32B",0.792134479564417,39,20,55,20,11
"calme-2.1-rys-78b",0.886766356329673,36,19,54,20,11
"calme-2.3-rys-78b",1.12845872145738,29,11,52,11,9
"calme-2.1-qwen2-72b",0.419558963541328,46,27,64,29,20
"calme-2.2-rys-78b",0.91546936717489,35,16,55,17,11
"MG-FinalMix-72B",0.654979822260129,41,22,56,24,14
"EVA-Qwen2.5-72B-v0.2",1.91355093716993,13,7,30,7,6
"Qwen2-72B-Orpo-v0.1",0.701932151289885,40,21,56,24,14
"RYS-XLarge-base",0.820958781112984,37,20,55,20,11
"calme-2.2-qwen2-72b",-0.50178496354216,64,47,76,49,37
"Arcee-Nova",-0.0348975107305041,55,38,72,40,27
"L3.3-MS-Nevoria-70b",1.49374102251416,21,9,44,9,7
"Set-70b",1.37259195641648,24,9,46,9,9
"QwentileSwap",1.29944998780324,26,9,47,11,9
"li-14b-v0.4",-2.34409506248709,87,74,100,75,57
"tempmotacilla-cinerea-030",-2.43952201147293,89,76,100,77,57
"L3.3-Nevoria-R1-70b",1.48729867163795,22,9,43,9,8
"Qwen2-72B-Instruct",-0.328572926928901,57,42,76,45,33
"Galactic-Qwen-14B-Exp2",1.92195652110937,11,7,29,8,6
"BigQwen2.5-52B-Instruct",-0.346590283744058,59,42,76,45,33
"Llama-3.1-SauerkrautLM-70",-0.149389299826433,56,40,74,41,29
"Llama-3.1-70B-Instruct",-1.0059969434104,72,56,87,57,44
"Dracarys-72B-Instruct",0.0277795173656665,54,37,70,40,27
"Linkbricks-Horizon-AI-Ave.5",-0.431330600409416,61,45,76,47,35
"Lamarckvergence-14B",-1.73250067684772,78,66,97,68,54
"Lix-14B-v0.1",-1.79192362511569,81,68,97,71,54
"calme-2.2-llama3.1-70b",-1.26363239858175,74,57,93,61,48
"NQLSG-Qwen2.5-14B-MegaFus",-2.26018259711581,85,74,100,74,56
"calme-2.3-llama3.1-70b",-0.998648118627418,71,56,87,57,43
"NQLSG-Qwen2.5-14B-MegaFus.1",-2.0303119804597,83,71,100,73,56
