"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.749248952883948,15,2,43,3,2
"calme-3.1-instruct-78b",0.510872953034293,24,7,57,8,3
"CalmeRys-78B-Orpo-v0.1",0.662674288662777,18,6,50,6,2
"calme-2.4-rys-78b",0.756015832594666,14,2,43,2,2
"Qwen2.5-72B-Instruct-abli",1.67175743529037,1,1,8,1,1
"Qwen2.5-72B-Instruct",1.35165146461197,3,1,17,1,1
"calme-2.1-qwen2.5-72b",0.948723944330194,9,2,30,2,1
"Homer-v1.0-Qwen2.5-72B",1.34137854906443,5,1,17,1,1
"qwen2.5-test-32b-it",0.723897679236106,17,3,43,6,2
"Linkbricks-Horizon-AI-Ave",0.582186219741589,22,7,53,7,2
"calme-2.2-qwen2.5-72b",0.825806580391735,12,2,40,2,1
"FluentlyLM-Prinum",0.882332066736316,11,2,33,2,1
"T3Q-qwen2.5-14b-v1.0-e3",0.738945840279408,16,2,43,3,2
"T3Q-Qwen2.5-14B-Instruct-",0.793013061549681,13,2,41,2,1
"Qwen2.5-32B-Instruct-abli",0.326121826228063,30,9,68,11,7
"Gilgamesh-72B",0.639223133364544,19,6,51,6,2
"ultiima-72B",1.38412517201097,2,1,17,1,1
"zetasepic-abliteratedV2-Q",0.378386127685985,28,9,61,9,7
"Awqward2.5-32B-Instruct",0.314167430206678,31,9,71,11,8
"test-2.5-72B",0.544907745038687,23,7,55,8,2
"shuttle-3",1.23204046785616,6,1,22,1,1
"Qwen2.5-32B-Instruct",0.07887587874708,47,18,76,19,11
"Mistral-Large-Instruct-24",0.36005192113936,29,9,67,9,7
"Rombos-LLM-V2.5-Qwen-72b",1.34272535175352,4,1,17,1,1
"Linkbricks-Horizon-AI-Ave.1",0.0641615602593273,48,18,77,19,11
"Qwen2.5-72B-Instruct-abli.1",1.07150859753672,8,1,26,1,1
"Linkbricks-Horizon-AI-Ave.2",0.00168288539350181,53,20,80,22,13
"lambda-qwen2.5-32b-dpo-te",0.098013420415989,44,17,75,18,11
"Qwentile2.5-32B-Instruct",0.227305247034719,38,12,72,13,9
"Rombos-LLM-V2.5-Qwen-32b",0.624150992153362,20,6,52,7,2
"openbuddy-llama3.3-70b-v2",0.233814524855887,37,12,72,12,9
"Linkbricks-Horizon-AI-Ave.3",-0.0445587313006421,54,23,82,24,14
"huihui-ai-abliterated-Qwe",-0.148439935431103,58,27,86,27,18
"Linkbricks-Horizon-AI-Ave.4",-0.169326963214583,59,27,88,27,19
"ultiima-32B",0.295666480139277,33,11,71,12,8
"RYS-XLarge",0.14168333010142,43,16,74,18,9
"Qwen2.5-95B-Instruct",0.256547219860516,34,12,71,12,8
"ultiima-72B-v1.5",1.16015121708708,7,1,23,1,1
"sky-t1-coder-32b-flash",0.00695399946623576,52,20,80,22,12
"Llama-3.3-70B-Instruct",-0.823778124178627,87,60,100,62,51
"RomboUltima-32B",0.0927771331712872,46,18,75,18,11
"calme-2.1-rys-78b",0.094890588638739,45,18,75,19,11
"calme-2.3-rys-78b",0.388513858343739,27,9,60,9,6
"calme-2.1-qwen2-72b",-0.232267853192581,61,29,89,30,22
"calme-2.2-rys-78b",0.492274490540685,26,8,57,8,3
"MG-FinalMix-72B",-0.267882228446184,65,30,89,34,23
"EVA-Qwen2.5-72B-v0.2",0.59607935651289,21,6,53,7,2
"Qwen2-72B-Orpo-v0.1",-0.223544032407415,60,27,89,30,22
"RYS-XLarge-base",-0.293190034657734,68,32,90,34,24
"calme-2.2-qwen2-72b",-0.256051695567384,63,30,89,30,23
"Arcee-Nova",-0.125693062605791,57,27,86,27,18
"L3.3-MS-Nevoria-70b",0.238070176227867,36,11,72,12,8
"Set-70b",0.14223540117164,42,14,75,17,9
"QwentileSwap",-0.267636919769083,64,30,89,34,23
"li-14b-v0.4",-0.557399365804774,76,47,97,51,34
"tempmotacilla-cinerea-030",-0.282997014870361,67,30,91,33,24
"L3.3-Nevoria-R1-70b",0.502993089814151,25,8,57,8,3
"Qwen2-72B-Instruct",-0.299288565511334,69,33,90,35,24
"Galactic-Qwen-14B-Exp2",0.168168617737908,41,13,74,14,9
"BigQwen2.5-52B-Instruct",0.200322886984826,40,12,73,14,9
"Llama-3.1-SauerkrautLM-70",-1.20788255535001,97,76,100,79,69
"Llama-3.1-70B-Instruct",-1.42799522454205,99,87,100,87,75
"Dracarys-72B-Instruct",-0.307655508351701,70,33,91,34,24
"Linkbricks-Horizon-AI-Ave.5",0.0561234045987136,50,18,77,20,12
"Lamarckvergence-14B",-0.418845838473981,73,39,94,42,27
"Lix-14B-v0.1",-0.368800703128926,72,35,93,40,27
"calme-2.2-llama3.1-70b",-1.34767774866526,98,81,100,83,73
"NQLSG-Qwen2.5-14B-MegaFus",-0.493794544544788,75,42,97,44,30
"calme-2.3-llama3.1-70b",-1.52617737730456,100,89,100,90,76
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.741906995988344,86,56,99,58,44
"orca_mini_v8_1_70b",-0.274195250770077,66,28,91,30,23
"Apollo-70B",0.935779228589889,10,2,33,2,1
"ZYH-LLM-Qwen2.5-14B-V4",-0.918922561772664,90,61,100,67,55
"NQLSG-Qwen2.5-14B-MegaFus.2",-0.672742746813367,82,54,98,56,42
"Progenitor-V1.1-LLaMa-70B",0.0233378829824016,51,18,80,21,12
"70B-L3.3-Cirrus-x1",0.204276927450814,39,12,73,13,9
"magnum-v1-72b",-0.10879855771925,56,27,85,27,18
"magnum-72b-v1",-0.0679765631989944,55,24,82,26,15
