"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.27262537434403,5,1,26,1,1
"calme-3.1-instruct-78b",1.04125336599908,14,2,30,3,1
"CalmeRys-78B-Orpo-v0.1",1.15424219223774,10,1,27,1,1
"calme-2.4-rys-78b",1.22542687564632,8,1,26,1,1
"Qwen2.5-72B-Instruct-abli",1.24001628344657,7,1,26,1,1
"Qwen2.5-72B-Instruct",1.12520143937081,11,1,27,2,1
"calme-2.1-qwen2.5-72b",0.810476262485302,20,5,39,5,3
"Homer-v1.0-Qwen2.5-72B",1.71265408499467,1,1,12,1,1
"qwen2.5-test-32b-it",0.845863103249793,17,5,37,5,2
"Linkbricks-Horizon-AI-Ave",0.753932941246153,22,5,44,5,4
"calme-2.2-qwen2.5-72b",0.707059417151075,25,5,47,7,5
"FluentlyLM-Prinum",1.05022322961035,13,2,27,3,1
"T3Q-qwen2.5-14b-v1.0-e3",1.01533379261884,16,2,30,3,1
"T3Q-Qwen2.5-14B-Instruct-",1.07935565138377,12,1,27,2,1
"Qwen2.5-32B-Instruct-abli",0.334641787162861,35,17,59,17,12
"Gilgamesh-72B",0.819887795859147,19,5,39,5,3
"ultiima-72B",1.58761950571727,3,1,16,1,1
"zetasepic-abliteratedV2-Q",0.457458290356278,29,15,55,17,8
"Awqward2.5-32B-Instruct",0.468161793675965,28,14,55,17,7
"test-2.5-72B",0.790331728323399,21,5,40,5,3
"shuttle-3",1.17920192100853,9,1,26,1,1
"Qwen2.5-32B-Instruct",0.192280614837522,43,22,65,25,17
"Mistral-Large-Instruct-24",0.364012402324614,33,17,59,17,11
"Rombos-LLM-V2.5-Qwen-72b",1.65054614389698,2,1,15,1,1
"Linkbricks-Horizon-AI-Ave.1",0.169067423882189,46,23,66,27,17
"Qwen2.5-72B-Instruct-abli.1",1.26347836241984,6,1,26,1,1
"Linkbricks-Horizon-AI-Ave.2",0.14123412973861,47,25,67,27,17
"lambda-qwen2.5-32b-dpo-te",0.181945067032888,45,23,65,25,17
"Qwentile2.5-32B-Instruct",0.589756967694832,27,10,49,12,5
"Rombos-LLM-V2.5-Qwen-32b",1.02736607774426,15,3,29,3,1
"openbuddy-llama3.3-70b-v2",0.000319881515485676,51,27,73,28,22
"Linkbricks-Horizon-AI-Ave.3",0.236043094275468,40,20,61,22,17
"huihui-ai-abliterated-Qwe",0.108421320793328,49,27,68,27,17
"Linkbricks-Horizon-AI-Ave.4",0.120351496028747,48,27,68,27,17
"ultiima-32B",0.733001217200508,24,5,46,5,4
"RYS-XLarge",-0.0405684246145124,54,28,73,28,25
"Qwen2.5-95B-Instruct",-0.143346979821957,57,31,77,31,27
"ultiima-72B-v1.5",1.53573498623028,4,1,16,1,1
"sky-t1-coder-32b-flash",0.295742493754045,37,17,59,19,13
"Llama-3.3-70B-Instruct",-0.920316569714076,86,61,100,63,56
"RomboUltima-32B",0.372448547413442,31,17,58,17,11
"calme-2.1-rys-78b",-0.0526754296266185,55,28,73,29,26
"calme-2.3-rys-78b",0.274757687706943,38,18,59,22,15
"calme-2.1-qwen2-72b",-0.388084232710796,64,46,88,48,31
"calme-2.2-rys-78b",0.218625245599434,41,22,62,22,17
"MG-FinalMix-72B",-0.420368279631874,67,48,88,50,35
"EVA-Qwen2.5-72B-v0.2",0.837488931711653,18,5,38,5,2
"Qwen2-72B-Orpo-v0.1",-0.303718091716243,61,40,85,42,29
"RYS-XLarge-base",-0.411329586625118,66,47,88,50,34
"calme-2.2-qwen2-72b",-0.350849428421497,62,42,87,46,31
"Arcee-Nova",-0.217510810015177,59,35,79,37,28
"L3.3-MS-Nevoria-70b",0.19777061467492,42,22,63,25,17
"Set-70b",0.0147121984093279,50,27,71,28,22
"QwentileSwap",0.366118621561388,32,17,58,17,11
"li-14b-v0.4",-0.815220243699526,80,59,100,60,52
"tempmotacilla-cinerea-030",-0.530419535499806,71,50,93,50,40
"L3.3-Nevoria-R1-70b",0.352687704531322,34,17,59,17,12
"Qwen2-72B-Instruct",-0.452156052294658,68,49,89,50,36
"Galactic-Qwen-14B-Exp2",0.297052169926742,36,17,59,19,13
"BigQwen2.5-52B-Instruct",0.183744158004428,44,22,65,25,17
"Llama-3.1-SauerkrautLM-70",-1.26273249497723,95,74,100,75,66
"Llama-3.1-70B-Instruct",-1.51987238241406,99,85,100,87,72
"Dracarys-72B-Instruct",-0.364404390384619,63,42,88,47,31
"Linkbricks-Horizon-AI-Ave.5",0.262980743021338,39,18,61,21,16
"Lamarckvergence-14B",-0.6018226459767,72,51,96,55,46
"Lix-14B-v0.1",-0.523847622820015,70,50,93,50,40
"calme-2.2-llama3.1-70b",-1.26083942194731,94,74,100,74,66
"NQLSG-Qwen2.5-14B-MegaFus",-0.677733505693104,74,56,98,56,49
"calme-2.3-llama3.1-70b",-1.52238002203048,100,84,100,87,72
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.857650205744179,82,60,100,60,55
"orca_mini_v8_1_70b",-0.618515039443216,73,51,96,55,47
"Apollo-70B",0.451554976428705,30,14,55,17,8
"ZYH-LLM-Qwen2.5-14B-V4",-1.08154565426752,90,66,100,68,60
"NQLSG-Qwen2.5-14B-MegaFus.2",-0.852999998774612,81,60,100,60,55
"Progenitor-V1.1-LLaMa-70B",-0.0307366051193725,53,28,73,28,25
"70B-L3.3-Cirrus-x1",-0.0190777613762565,52,28,73,28,23
"magnum-v1-72b",-0.150195479791664,58,31,74,34,27
"magnum-72b-v1",-0.142605284697271,56,31,74,32,27
"lamarckvergence-14b-tenso",-0.864189220614969,83,60,100,60,56
"li-14b-v0.4-slerp0.1",-0.748597377105101,76,56,98,59,50
"miscii-14b-0218",-0.496267908441808,69,50,93,50,38
"Cheng-2",-0.874660032736474,84,60,100,60,56
"NQLSG-Qwen2.5-14B-MegaFus.3",-0.893455719465797,85,60,100,60,56
"Llama3.3-70B-CogniLink",-0.297384385118784,60,36,87,39,29
"tempesthenno-ppo-ckpt40",-0.781347343085165,78,59,98,60,50
"RYS-Llama3.1-Large",-1.38172186865143,98,77,100,80,69
"virtuoso-small-v2-tensopo",-1.36240725630181,97,75,100,77,69
"Cheng-2-v1.1",-0.972543020055281,88,62,100,64,58
"RombosBeagle-v2beta-MGS-3",0.733001217200508,23,5,46,5,4
"TheBeagle-v2beta-32B-MGS",0.700864251596938,26,5,47,7,5
"lambda-qwen2.5-14b-dpo-te",-0.758457182891689,77,56,98,59,50
"tempesthenno-nuslerp-001",-0.806344832412058,79,59,98,60,52
"Qwen2.5-14B-1M-YOYO-V3",-1.14026559447614,93,69,100,71,60
"Josiefied-Qwen2.5-14B-Ins",-0.946163539986168,87,60,100,62,56
"NQLSG-Qwen2.5-14B-MegaFus.4",-1.11306828630596,91,68,100,69,60
"Q2.5-Veltha-14B",-1.11371842003096,92,69,100,72,60
"ECE-ILAB-Q1",-0.733425849079472,75,59,98,59,50
"Virtuoso-Small-v2",-1.26598314461525,96,73,100,74,66
"Qwen2.5-14B-YOYO-V4-p1",-1.071332495706,89,66,100,68,60
"Chocolatine-14B-Instruct-",-0.38921992611485,65,42,88,47,31
