"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.15011642233834,3,1,24,1,1
"calme-3.1-instruct-78b",0.919865851773105,13,1,33,1,1
"CalmeRys-78B-Orpo-v0.1",1.04146023988363,8,1,29,1,1
"calme-2.4-rys-78b",1.11151560171393,6,1,26,1,1
"Qwen2.5-72B-Instruct-abli",0.695310124568332,20,1,46,1,1
"Qwen2.5-72B-Instruct",0.454296469086469,32,11,54,13,1
"calme-2.1-qwen2.5-72b",0.351067247565252,34,14,54,14,7
"Homer-v1.0-Qwen2.5-72B",1.06566222771501,7,1,28,1,1
"qwen2.5-test-32b-it",0.754652902705422,14,1,42,1,1
"Linkbricks-Horizon-AI-Ave",0.524548218920082,28,7,51,9,1
"calme-2.2-qwen2.5-72b",0.190009679275339,44,17,65,22,14
"FluentlyLM-Prinum",0.697231022218157,19,1,46,1,1
"T3Q-qwen2.5-14b-v1.0-e3",1.11231786671941,5,1,26,1,1
"T3Q-Qwen2.5-14B-Instruct-",1.18377683070156,1,1,24,1,1
"Qwen2.5-32B-Instruct-abli",0.0297416805886774,50,26,71,27,17
"Gilgamesh-72B",0.527527162053592,27,7,51,9,1
"ultiima-72B",1.12675106050886,4,1,25,1,1
"zetasepic-abliteratedV2-Q",0.0272028398713084,51,26,71,29,17
"Awqward2.5-32B-Instruct",-0.0518600309307935,52,30,78,32,24
"test-2.5-72B",0.71644640665126,17,1,45,1,1
"shuttle-3",0.693510389765848,21,1,46,1,1
"Qwen2.5-32B-Instruct",-0.27122504880322,60,38,86,42,33
"Mistral-Large-Instruct-24",0.264244011999825,38,14,61,14,13
"Rombos-LLM-V2.5-Qwen-72b",1.01260020062917,10,1,29,1,1
"Linkbricks-Horizon-AI-Ave.1",-0.253673072118433,58,38,86,41,32
"Qwen2.5-72B-Instruct-abli.1",1.02530117269138,9,1,29,1,1
"Linkbricks-Horizon-AI-Ave.2",-0.307610205837514,63,41,88,43,33
"lambda-qwen2.5-32b-dpo-te",-0.273523061500814,61,41,86,43,33
"Qwentile2.5-32B-Instruct",0.461218548256547,30,10,53,13,1
"Rombos-LLM-V2.5-Qwen-32b",1.00965493110994,11,1,29,1,1
"openbuddy-llama3.3-70b-v2",0.566063564414713,26,4,51,7,1
"Linkbricks-Horizon-AI-Ave.3",0.305749958101948,37,14,55,14,9
"huihui-ai-abliterated-Qwe",-0.523402654977312,70,49,98,52,43
"Linkbricks-Horizon-AI-Ave.4",0.1203996164006,47,24,67,25,14
"ultiima-32B",0.699278070970805,18,1,45,1,1
"RYS-XLarge",0.585013105962688,25,4,48,7,1
"Qwen2.5-95B-Instruct",-0.0647457768935054,53,30,78,33,24
"ultiima-72B-v1.5",0.999372377445173,12,1,32,1,1
"sky-t1-coder-32b-flash",-0.35489681619113,65,43,92,47,34
"Llama-3.3-70B-Instruct",-0.755338526039259,85,55,100,56,52
"RomboUltima-32B",0.459948133141967,31,10,53,13,1
"calme-2.1-rys-78b",0.259944832585403,40,14,61,14,13
"calme-2.3-rys-78b",0.261066492437107,39,14,61,14,13
"calme-2.1-qwen2-72b",0.119479144029126,48,24,67,25,14
"calme-2.2-rys-78b",0.331580816241254,35,14,55,14,8
"MG-FinalMix-72B",0.164008530062637,46,19,65,24,14
"EVA-Qwen2.5-72B-v0.2",0.745874142489895,15,1,42,1,1
"Qwen2-72B-Orpo-v0.1",0.183491898614679,45,18,64,23,14
"RYS-XLarge-base",0.190450041623322,43,17,64,23,14
"calme-2.2-qwen2-72b",-0.288304568889035,62,41,86,43,33
"Arcee-Nova",-0.0821396051473022,54,33,78,33,24
"L3.3-MS-Nevoria-70b",0.310385396147907,36,14,55,14,9
"Set-70b",0.239901093769616,41,14,62,15,13
"QwentileSwap",0.0340132190651334,49,27,69,29,15
"li-14b-v0.4",-0.524409614757299,71,49,98,52,43
"tempmotacilla-cinerea-030",-0.583846056855525,76,52,98,54,47
"L3.3-Nevoria-R1-70b",0.684330175789322,22,1,46,1,1
"Qwen2-72B-Instruct",-0.248242829028286,57,38,86,43,30
"Galactic-Qwen-14B-Exp2",0.626346411247687,24,1,48,4,1
"BigQwen2.5-52B-Instruct",-0.266283508660736,59,38,86,41,33
"Llama-3.1-SauerkrautLM-70",-0.601261433946871,78,53,98,55,47
"Llama-3.1-70B-Instruct",-0.949543117599521,93,68,100,69,55
"Dracarys-72B-Instruct",-0.332522465109614,64,45,87,47,34
"Linkbricks-Horizon-AI-Ave.5",-0.379128673644184,67,46,94,47,35
"Lamarckvergence-14B",-0.433131917358534,68,47,97,49,38
"Lix-14B-v0.1",-0.596504553572129,77,52,98,55,47
"calme-2.2-llama3.1-70b",-0.960455960408668,94,68,100,68,55
"NQLSG-Qwen2.5-14B-MegaFus",-0.569228774679674,74,52,98,52,47
"calme-2.3-llama3.1-70b",-0.996609870224678,95,69,100,69,56
