"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.53515607418102,1,1,13,1,1
"calme-3.1-instruct-78b",1.30201074038995,8,1,19,1,1
"CalmeRys-78B-Orpo-v0.1",1.39360430086848,3,1,17,1,1
"calme-2.4-rys-78b",1.44369671292593,2,1,16,1,1
"Qwen2.5-72B-Instruct-abli",0.607577310404517,26,13,46,13,9
"Qwen2.5-72B-Instruct",0.462478954917906,30,14,52,16,13
"calme-2.1-qwen2.5-72b",0.355351662143746,33,18,57,20,13
"Homer-v1.0-Qwen2.5-72B",1.39210334192163,4,1,17,1,1
"qwen2.5-test-32b-it",0.833440908808079,19,6,33,6,1
"Linkbricks-Horizon-AI-Ave",0.663972137793602,24,12,41,13,6
"calme-2.2-qwen2.5-72b",0.215229269917428,39,21,63,23,18
"FluentlyLM-Prinum",0.835826074558812,18,6,33,6,1
"T3Q-qwen2.5-14b-v1.0-e3",1.29034561778749,10,1,20,1,1
"T3Q-Qwen2.5-14B-Instruct-",1.3697523953919,5,1,19,1,1
"Qwen2.5-32B-Instruct-abli",0.0875213299298956,47,28,68,28,20
"Gilgamesh-72B",0.676540796397127,23,12,40,13,5
"ultiima-72B",1.3229051516608,6,1,19,1,1
"zetasepic-abliteratedV2-Q",0.137638419807165,44,26,66,28,20
"Awqward2.5-32B-Instruct",0.122739618634835,46,26,67,28,20
"test-2.5-72B",0.884750003090353,17,3,31,5,1
"shuttle-3",0.751005576071825,20,11,38,12,2
"Qwen2.5-32B-Instruct",-0.121938756403231,55,32,71,34,29
"Mistral-Large-Instruct-24",0.284106912452739,36,20,62,20,15
"Rombos-LLM-V2.5-Qwen-72b",1.29412185357178,9,1,19,1,1
"Linkbricks-Horizon-AI-Ave.1",-0.116076575307672,54,32,71,33,28
"Qwen2.5-72B-Instruct-abli.1",1.17347394660951,12,1,24,1,1
"Linkbricks-Horizon-AI-Ave.2",-0.145887606994732,57,33,72,34,29
"lambda-qwen2.5-32b-dpo-te",-0.141359437338134,56,32,72,34,29
"Qwentile2.5-32B-Instruct",0.698570273470858,21,12,40,12,3
"Rombos-LLM-V2.5-Qwen-32b",1.26943177160865,11,1,20,1,1
"openbuddy-llama3.3-70b-v2",0.319637610235446,34,18,60,20,14
"Linkbricks-Horizon-AI-Ave.3",0.449248965368731,31,15,52,16,13
"huihui-ai-abliterated-Qwe",-0.266228290442719,63,39,79,39,32
"Linkbricks-Horizon-AI-Ave.4",0.281531122062825,37,20,61,21,16
"ultiima-32B",0.965798552672213,14,2,30,2,1
"RYS-XLarge",0.368052577852999,32,18,55,20,13
"Qwen2.5-95B-Instruct",-0.330522368966185,64,41,84,42,34
"ultiima-72B-v1.5",1.32138750771423,7,1,19,1,1
"sky-t1-coder-32b-flash",-0.0760968757838225,53,32,69,32,28
"Llama-3.3-70B-Instruct",-0.847562486585684,82,64,100,65,56
"RomboUltima-32B",0.60470861045814,27,13,46,13,9
"calme-2.1-rys-78b",0.130676012404844,45,26,66,28,20
"calme-2.3-rys-78b",0.202336498883538,40,21,63,25,18
"calme-2.1-qwen2-72b",-0.0353538141160654,52,29,68,32,26
"calme-2.2-rys-78b",0.144771337771468,42,26,66,27,20
"MG-FinalMix-72B",0.000516495498601,51,29,68,31,24
"EVA-Qwen2.5-72B-v0.2",0.904357618124495,16,3,31,5,1
"Qwen2-72B-Orpo-v0.1",0.0846577235655546,48,28,68,29,21
"RYS-XLarge-base",0.0427168545955339,50,29,68,29,21
"calme-2.2-qwen2-72b",-0.353637454786069,65,42,84,47,34
"Arcee-Nova",-0.158194250532891,58,34,71,35,29
"L3.3-MS-Nevoria-70b",0.285145525205872,35,20,61,20,15
"Set-70b",0.137951580625921,43,26,66,26,20
"QwentileSwap",0.469588541627336,29,14,52,16,13
"li-14b-v0.4",-0.759830020570015,78,61,100,63,53
"tempmotacilla-cinerea-030",-0.745535401098415,77,61,100,63,53
"L3.3-Nevoria-R1-70b",0.546297895190723,28,13,50,13,12
"Qwen2-72B-Instruct",-0.38299086824001,67,47,84,49,35
"Galactic-Qwen-14B-Exp2",0.649239168896962,25,13,41,13,6
"BigQwen2.5-52B-Instruct",-0.196260765890095,60,34,77,35,29
"Llama-3.1-SauerkrautLM-70",-0.707594136980945,74,60,99,62,52
"Llama-3.1-70B-Instruct",-1.08627895753729,92,69,100,70,65
"Dracarys-72B-Instruct",-0.360238494375845,66,43,84,47,35
