"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.37317144540949,11,1,40,1,1
"calme-3.1-instruct-78b",1.20212813098437,17,1,42,1,1
"CalmeRys-78B-Orpo-v0.1",1.24732760850619,16,1,41,1,1
"calme-2.4-rys-78b",1.29033016999502,14,1,40,1,1
"Qwen2.5-72B-Instruct-abli",1.433255983253,10,1,36,1,1
"Qwen2.5-72B-Instruct",1.73095238513195,2,1,23,1,1
"calme-2.1-qwen2.5-72b",1.47053361008901,8,1,34,1,1
"Homer-v1.0-Qwen2.5-72B",1.68792773370015,3,1,26,1,1
"qwen2.5-test-32b-it",1.558582040185,4,1,31,1,1
"Linkbricks-Horizon-AI-Ave",1.51221811106454,7,1,32,1,1
"calme-2.2-qwen2.5-72b",1.43976195142225,9,1,35,1,1
"FluentlyLM-Prinum",1.34673820362785,13,1,40,1,1
"T3Q-qwen2.5-14b-v1.0-e3",0.858180073139815,31,4,42,5,2
"T3Q-Qwen2.5-14B-Instruct-",0.910823806625238,28,4,42,4,2
"Qwen2.5-32B-Instruct-abli",0.674788306017546,39,12,44,14,4
"Gilgamesh-72B",0.963458041985259,25,3,42,4,1
"ultiima-72B",1.52616029033882,6,1,32,1,1
"zetasepic-abliteratedV2-Q",0.844078319037073,32,5,42,8,2
"Awqward2.5-32B-Instruct",1.35311841680614,12,1,39,1,1
"test-2.5-72B",0.997440777910187,23,2,42,3,1
"shuttle-3",1.07700607643884,20,2,42,2,1
"Qwen2.5-32B-Instruct",0.963438649038787,26,3,42,4,1
"Mistral-Large-Instruct-24",-0.445789529753642,53,43,91,43,43
"Rombos-LLM-V2.5-Qwen-72b",1.92721147334681,1,1,17,1,1
"Linkbricks-Horizon-AI-Ave.1",0.894972396312782,30,4,42,4,2
"Qwen2.5-72B-Instruct-abli.1",1.24987909847049,15,1,41,1,1
"Linkbricks-Horizon-AI-Ave.2",0.904187104464584,29,4,42,4,2
"lambda-qwen2.5-32b-dpo-te",0.689313479918649,37,11,44,13,4
"Qwentile2.5-32B-Instruct",0.763454028918793,35,9,43,11,3
"Rombos-LLM-V2.5-Qwen-32b",1.10308149659131,19,2,42,2,1
"openbuddy-llama3.3-70b-v2",-1.02539997456722,84,50,98,51,45
"Linkbricks-Horizon-AI-Ave.3",0.786093056919683,33,8,43,9,2
"huihui-ai-abliterated-Qwe",0.771524445000908,34,8,43,9,3
"Linkbricks-Horizon-AI-Ave.4",0.502013999924573,42,18,47,19,11
"ultiima-32B",1.03699059806219,22,2,42,3,1
"RYS-XLarge",-0.121840491017571,46,42,81,42,33
"Qwen2.5-95B-Instruct",0.0490299427387559,44,35,70,37,25
"ultiima-72B-v1.5",1.54276537254663,5,1,32,1,1
"sky-t1-coder-32b-flash",0.573348744340783,41,15,45,17,8
"Llama-3.3-70B-Instruct",-0.574429713791435,62,43,94,44,43
"RomboUltima-32B",0.658564242507041,40,12,45,14,4
"calme-2.1-rys-78b",-0.317325978093287,50,43,88,43,41
"calme-2.3-rys-78b",-0.148389775348011,47,42,82,43,34
"calme-2.1-qwen2-72b",-0.60786334254833,66,44,94,44,43
"calme-2.2-rys-78b",-0.231725005294129,49,43,83,43,37
"MG-FinalMix-72B",-0.769302702134969,74,46,96,46,43
"EVA-Qwen2.5-72B-v0.2",0.68382668886668,38,11,44,14,4
"Qwen2-72B-Orpo-v0.1",-0.601870291226533,65,44,94,45,43
"RYS-XLarge-base",-0.474803116707302,55,43,92,43,43
"calme-2.2-qwen2-72b",-0.446778654923945,54,43,91,43,43
"Arcee-Nova",-0.505088551654028,56,43,92,43,43
"L3.3-MS-Nevoria-70b",-0.86387734122201,81,48,97,48,43
"Set-70b",-1.02763883039774,85,50,98,51,45
"QwentileSwap",0.73376447309069,36,9,44,11,4
"li-14b-v0.4",-0.506882649637696,57,43,94,43,43
"tempmotacilla-cinerea-030",-0.402624583579064,52,43,91,43,42
"L3.3-Nevoria-R1-70b",-0.57880919033731,63,43,94,44,43
"Qwen2-72B-Instruct",-0.544024982546155,60,43,93,44,43
"Galactic-Qwen-14B-Exp2",0.117346376967499,43,33,66,35,23
"BigQwen2.5-52B-Instruct",0.988125130731165,24,3,42,4,1
"Llama-3.1-SauerkrautLM-70",-1.04727623726935,87,51,98,51,45
"Llama-3.1-70B-Instruct",-1.72124199731897,98,83,100,84,60
"Dracarys-72B-Instruct",-0.829310810768332,78,47,97,48,43
"Linkbricks-Horizon-AI-Ave.5",1.17074725699195,18,2,42,2,1
"Lamarckvergence-14B",-0.586328972153991,64,43,94,44,43
"Lix-14B-v0.1",-0.636039798958731,67,44,94,45,43
"calme-2.2-llama3.1-70b",-1.04044463646818,86,50,98,51,45
"NQLSG-Qwen2.5-14B-MegaFus",-0.401073897459863,51,43,91,43,42
"calme-2.3-llama3.1-70b",-1.56901762637163,96,76,99,81,53
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.759377497468618,73,45,97,46,43
"orca_mini_v8_1_70b",-2.67083352987077,100,98,100,99,88
"Apollo-70B",-0.224337825315985,48,42,86,43,37
"ZYH-LLM-Qwen2.5-14B-V4",-0.770648556187606,75,45,98,46,43
"NQLSG-Qwen2.5-14B-MegaFus.2",-0.70023646446344,70,44,96,45,43
"Progenitor-V1.1-LLaMa-70B",-1.30055587908725,93,62,99,66,48
"70B-L3.3-Cirrus-x1",-1.10799133896132,89,51,98,53,46
"magnum-v1-72b",-0.514559593732946,58,43,92,43,43
"magnum-72b-v1",-0.5172761645298,59,43,93,43,43
"lamarckvergence-14b-tenso",-0.844217161367323,79,46,98,47,43
"li-14b-v0.4-slerp0.1",-0.67937390666064,68,44,96,45,43
"miscii-14b-0218",-0.81753839205013,76,46,98,46,43
"Cheng-2",-0.690642561209054,69,44,97,45,43
"NQLSG-Qwen2.5-14B-MegaFus.3",-0.556691089860424,61,43,94,43,43
"Llama3.3-70B-CogniLink",-1.6495170649725,97,76,100,79,55
"tempesthenno-ppo-ckpt40",-1.1484540050466,90,51,99,53,46
"RYS-Llama3.1-Large",-2.11175811864958,99,92,100,94,76
"virtuoso-small-v2-tensopo",-1.36977902805278,94,60,99,65,50
"Cheng-2-v1.1",-0.821646936226973,77,45,98,46,43
"RombosBeagle-v2beta-MGS-3",1.0592137348469,21,2,42,2,1
"TheBeagle-v2beta-32B-MGS",0.955455747959158,27,3,42,4,1
"lambda-qwen2.5-14b-dpo-te",-0.723602630322083,71,44,97,45,43
"tempesthenno-nuslerp-001",-1.10013995043978,88,51,98,51,46
"Qwen2.5-14B-1M-YOYO-V3",-0.880622479940468,82,46,98,47,43
"Josiefied-Qwen2.5-14B-Ins",-0.752774865035516,72,44,98,45,43
"NQLSG-Qwen2.5-14B-MegaFus.4",-0.851545136231569,80,46,98,47,43
"Q2.5-Veltha-14B",-1.21171083540325,91,52,99,56,47
"ECE-ILAB-Q1",-1.52956204747379,95,76,99,80,51
"Virtuoso-Small-v2",-1.28057390509166,92,55,99,60,48
"Qwen2.5-14B-YOYO-V4-p1",-0.981728941997167,83,48,98,49,45
"Chocolatine-14B-Instruct-",-0.0294344330261049,45,39,75,41,31
