"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.57870119053231,1,1,18,1,1
"calme-3.1-instruct-78b",1.39064214259028,4,1,22,1,1
"CalmeRys-78B-Orpo-v0.1",1.42491187891761,3,1,21,1,1
"calme-2.4-rys-78b",1.44249194857079,2,1,21,1,1
"Qwen2.5-72B-Instruct-abli",0.543581465404571,30,15,48,17,6
"Qwen2.5-72B-Instruct",0.613688513832477,27,10,45,13,4
"calme-2.1-qwen2.5-72b",0.619937392764499,26,10,45,13,4
"Homer-v1.0-Qwen2.5-72B",1.23089991195638,9,1,25,1,1
"qwen2.5-test-32b-it",1.27457769398446,7,1,24,1,1
"Linkbricks-Horizon-AI-Ave",1.10747782087897,16,1,31,1,1
"calme-2.2-qwen2.5-72b",0.510110998345762,33,16,50,18,7
"FluentlyLM-Prinum",0.936941261698883,19,2,34,2,1
"T3Q-qwen2.5-14b-v1.0-e3",1.11643513391298,15,1,31,1,1
"T3Q-Qwen2.5-14B-Instruct-",1.18602842571218,12,1,27,1,1
"Qwen2.5-32B-Instruct-abli",0.244085991904767,41,22,58,23,18
"Gilgamesh-72B",0.668198405219845,25,8,42,10,2
"ultiima-72B",1.15661319730555,13,1,28,1,1
"zetasepic-abliteratedV2-Q",0.303703583362075,35,20,55,22,17
"Awqward2.5-32B-Instruct",0.564779349953886,28,15,47,17,5
"test-2.5-72B",0.965518628502758,18,1,33,2,1
"shuttle-3",0.514029659960563,32,17,49,18,7
"Qwen2.5-32B-Instruct",0.275633182650405,36,21,56,22,18
"Mistral-Large-Instruct-24",-0.305624660303724,56,38,84,42,34
"Rombos-LLM-V2.5-Qwen-72b",1.33823582674484,5,1,22,1,1
"Linkbricks-Horizon-AI-Ave.1",0.271346261322226,37,21,57,23,18
"Qwen2.5-72B-Instruct-abli.1",1.06533084174317,17,1,33,1,1
"Linkbricks-Horizon-AI-Ave.2",0.262843831537503,39,21,57,22,18
"lambda-qwen2.5-32b-dpo-te",0.0952221176081265,43,25,66,26,21
"Qwentile2.5-32B-Instruct",0.80050298188013,22,4,41,5,1
"Rombos-LLM-V2.5-Qwen-32b",1.31984384622972,6,1,22,1,1
"openbuddy-llama3.3-70b-v2",-0.194035953720442,53,34,82,35,28
"Linkbricks-Horizon-AI-Ave.3",0.86919019297587,20,2,35,3,1
"huihui-ai-abliterated-Qwe",0.0555578063550537,45,26,70,28,22
"Linkbricks-Horizon-AI-Ave.4",0.562534331079686,29,15,48,16,5
"ultiima-32B",1.1994020359203,10,1,26,1,1
"RYS-XLarge",0.384856590610382,34,18,53,20,13
"Qwen2.5-95B-Instruct",-0.236001690505181,55,35,83,35,32
"ultiima-72B-v1.5",1.19850930674284,11,1,27,1,1
"sky-t1-coder-32b-flash",0.000278547730394152,47,28,73,31,23
"Llama-3.3-70B-Instruct",-0.561367556726312,72,46,96,49,42
"RomboUltima-32B",0.836732091054434,21,2,39,4,1
"calme-2.1-rys-78b",-0.0326324359287002,49,30,73,34,23
"calme-2.3-rys-78b",-0.144866630733754,52,34,81,35,27
"calme-2.1-qwen2-72b",-0.0790222552719215,50,34,78,34,25
"calme-2.2-rys-78b",-0.227166018773085,54,35,83,35,31
"MG-FinalMix-72B",-0.10769278487922,51,34,80,34,26
"EVA-Qwen2.5-72B-v0.2",0.721566534793986,23,6,42,8,2
"Qwen2-72B-Orpo-v0.1",0.00255646526501474,46,28,72,32,23
"RYS-XLarge-base",0.0935930299307195,44,25,67,26,21
"calme-2.2-qwen2-72b",-0.381715117465315,59,43,91,43,34
"Arcee-Nova",-0.330037760847999,58,42,85,43,34
"L3.3-MS-Nevoria-70b",-0.391104881540194,60,43,89,43,35
"Set-70b",-0.507364286574354,69,45,95,46,38
"QwentileSwap",0.707759645060773,24,7,42,9,2
"li-14b-v0.4",-0.503385410651906,68,43,96,45,37
"tempmotacilla-cinerea-030",-0.69050676923243,79,50,98,52,43
"L3.3-Nevoria-R1-70b",-0.00578464846159399,48,29,73,32,23
"Qwen2-72B-Instruct",-0.403123228241552,61,43,93,43,35
"Galactic-Qwen-14B-Exp2",0.530571118387365,31,16,49,17,7
