"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",5.87391052453368,1,1,6,1,1
"calme-3.1-instruct-78b",5.18076334397374,3,1,7,1,1
"CalmeRys-78B-Orpo-v0.1",4.41547287247954,5,1,9,1,1
"calme-2.4-rys-78b",4.36400593138196,6,1,10,1,1
"Qwen2.5-72B-Instruct-abli",0.407157811156105,42,19,100,20,10
"Qwen2.5-72B-Instruct",0.579608411291855,37,19,84,19,10
"calme-2.1-qwen2.5-72b",0.621423741985478,35,19,82,19,10
"Homer-v1.0-Qwen2.5-72B",3.02732592966533,8,5,26,5,2
"qwen2.5-test-32b-it",1.43023512397627,22,9,60,11,7
"Linkbricks-Horizon-AI-Ave",0.837591082446894,30,15,78,19,8
"calme-2.2-qwen2.5-72b",0.530810428084705,39,19,100,19,10
"FluentlyLM-Prinum",1.19587813713254,27,11,71,13,8
"T3Q-qwen2.5-14b-v1.0-e3",4.86656635870558,4,1,7,1,1
"T3Q-Qwen2.5-14B-Instruct-",5.24605598041044,2,1,7,1,1
"Qwen2.5-32B-Instruct-abli",-0.58805006591134,62,30,100,33,19
"Gilgamesh-72B",1.52919399161126,21,8,59,10,7
"ultiima-72B",2.36634332121865,15,7,46,7,5
"zetasepic-abliteratedV2-Q",-0.486382792729515,57,29,100,30,19
"Awqward2.5-32B-Instruct",-0.164267785422551,53,23,100,27,15
"test-2.5-72B",2.49948160038916,13,7,33,7,5
"shuttle-3",2.34412553356773,17,5,61,7,5
"Qwen2.5-32B-Instruct",-0.796187442684125,68,34,100,38,19
"Mistral-Large-Instruct-24",-0.674856658744851,63,30,100,34,19
"Rombos-LLM-V2.5-Qwen-72b",2.45017418669805,14,7,43,7,5
"Linkbricks-Horizon-AI-Ave.1",-0.757259855132881,66,33,100,37,19
"Qwen2.5-72B-Instruct-abli.1",1.82107302669095,19,8,53,8,7
"Linkbricks-Horizon-AI-Ave.2",-0.794378920268955,67,33,100,37,19
"lambda-qwen2.5-32b-dpo-te",-0.978079575527476,71,36,100,41,19
"Qwentile2.5-32B-Instruct",1.34177718920232,23,10,65,13,7
"Rombos-LLM-V2.5-Qwen-32b",2.97303744915316,9,5,28,5,2
"openbuddy-llama3.3-70b-v2",0.308857386162456,45,19,100,20,12
"Linkbricks-Horizon-AI-Ave.3",1.08085204394995,28,13,75,15,8
"huihui-ai-abliterated-Qwe",-0.70157847784126,65,30,100,34,19
"Linkbricks-Horizon-AI-Ave.4",0.816615859267047,32,15,80,19,8
"ultiima-32B",2.69339747485701,12,5,32,7,4
"RYS-XLarge",1.32413232664678,24,10,66,12,8
"Qwen2.5-95B-Instruct",-0.285172371978437,56,23,100,28,18
"ultiima-72B-v1.5",3.5705741709846,7,2,23,2,1
"sky-t1-coder-32b-flash",-0.534463715111312,61,29,100,30,19
"Llama-3.3-70B-Instruct",-1.2816047224888,73,43,100,50,19
"RomboUltima-32B",1.20698484856999,26,10,72,13,8
"calme-2.1-rys-78b",1.02030507028018,29,13,76,15,8
"calme-2.3-rys-78b",0.623944034992881,34,18,88,19,10
"calme-2.1-qwen2-72b",0.555221045134587,38,19,100,19,10
"calme-2.2-rys-78b",0.287363940936834,47,19,100,21,13
"MG-FinalMix-72B",0.757275568669437,33,18,80,19,8
"EVA-Qwen2.5-72B-v0.2",1.7698098509525,20,8,54,8,7
"Qwen2-72B-Orpo-v0.1",0.830890577190581,31,15,78,19,8
"RYS-XLarge-base",1.28942881410063,25,10,67,13,8
"calme-2.2-qwen2-72b",-0.697896648999177,64,30,100,34,19
"Arcee-Nova",-0.498826283573275,58,29,100,30,19
"L3.3-MS-Nevoria-70b",0.343148614646741,44,19,100,20,11
"Set-70b",0.288388845716772,46,19,100,21,13
"QwentileSwap",2.35043748435731,16,7,48,7,5
"li-14b-v0.4",-2.07890991015346,82,54,100,57,20
"tempmotacilla-cinerea-030",-3.04055242294105,92,73,100,74,18
"L3.3-Nevoria-R1-70b",0.46784788885495,40,19,100,19,10
"Qwen2-72B-Instruct",-0.524063660468831,60,29,100,30,19
"Galactic-Qwen-14B-Exp2",2.19468264093691,18,7,41,8,5
"BigQwen2.5-52B-Instruct",0.172918358012937,49,20,100,21,13
"Llama-3.1-SauerkrautLM-70",0.35674278277068,43,19,100,20,11
"Llama-3.1-70B-Instruct",-0.919412575420513,70,34,100,39,19
"Dracarys-72B-Instruct",-0.508419183780576,59,29,100,30,19
"Linkbricks-Horizon-AI-Ave.5",-0.0697724136301279,52,22,100,25,15
"Lamarckvergence-14B",-1.88415753286423,76,52,100,57,20
"Lix-14B-v0.1",-2.5053835764524,88,67,100,71,19
"calme-2.2-llama3.1-70b",-1.16398586909939,72,41,100,48,19
"NQLSG-Qwen2.5-14B-MegaFus",-2.042588567695,80,54,100,57,20
"calme-2.3-llama3.1-70b",-0.841266121971922,69,33,100,37,19
"NQLSG-Qwen2.5-14B-MegaFus.1",-1.95268651247447,78,53,100,57,20
"orca_mini_v8_1_70b",-1.97530993636445,79,53,100,57,20
"Apollo-70B",0.252965845781673,48,19,100,21,13
"ZYH-LLM-Qwen2.5-14B-V4",-2.05367450099722,81,53,100,57,20
"NQLSG-Qwen2.5-14B-MegaFus.2",-2.13087654174395,83,53,100,57,20
"Progenitor-V1.1-LLaMa-70B",0.415531914252867,41,19,100,19,10
"70B-L3.3-Cirrus-x1",0.609849208616796,36,19,83,19,10
"magnum-v1-72b",-0.24926861984606,54,26,100,28,18
"magnum-72b-v1",-0.259000484428,55,25,100,28,18
"lamarckvergence-14b-tenso",-1.76574517211758,75,52,100,54,20
"li-14b-v0.4-slerp0.1",-3.17098695746783,94,74,100,75,15
"miscii-14b-0218",-2.7736737274454,91,72,100,73,19
"Cheng-2",-4.12104659327579,97,80,100,84,7
"NQLSG-Qwen2.5-14B-MegaFus.3",-2.18390926300111,84,54,100,57,20
"Llama3.3-70B-CogniLink",0.0456932807052297,51,20,100,21,13
"tempesthenno-ppo-ckpt40",-2.39981556438715,86,64,100,70,19
"RYS-Llama3.1-Large",-1.48521133226971,74,49,100,52,20
"virtuoso-small-v2-tensopo",-1.94519083808016,77,52,100,57,20
"Cheng-2-v1.1",-4.60649819127784,99,86,100,90,2
"RombosBeagle-v2beta-MGS-3",2.77069211723018,10,5,32,7,4
"TheBeagle-v2beta-32B-MGS",2.71125455586208,11,5,32,7,4
"lambda-qwen2.5-14b-dpo-te",-3.58122751032171,96,75,100,75,9
"tempesthenno-nuslerp-001",-2.48735671458296,87,67,100,72,19
"Qwen2.5-14B-1M-YOYO-V3",-4.44427444855809,98,86,100,89,4
"Josiefied-Qwen2.5-14B-Ins",-3.46518371642521,95,75,100,75,10
"NQLSG-Qwen2.5-14B-MegaFus.4",-2.72626338951048,90,71,100,72,19
"Q2.5-Veltha-14B",-3.09229985795846,93,73,100,74,16
"ECE-ILAB-Q1",0.129261719628363,50,20,100,21,13
"Virtuoso-Small-v2",-2.61411115262686,89,70,100,72,19
"Qwen2.5-14B-YOYO-V4-p1",-4.61359041958884,100,87,100,90,2
"Chocolatine-14B-Instruct-",-2.23236165018357,85,62,100,67,19
