"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",4.07176729392439,8,1,24,1,1
"calme-3.1-instruct-78b",3.67928920395894,13,2,32,2,1
"CalmeRys-78B-Orpo-v0.1",3.84525283785472,11,1,26,2,1
"calme-2.4-rys-78b",3.92839915301981,10,1,26,1,1
"Qwen2.5-72B-Instruct-abli",0.420887262489173,52,38,100,39,23
"Qwen2.5-72B-Instruct",-1.5150256083207,67,54,100,54,31
"calme-2.1-qwen2.5-72b",-2.12719510513288,74,59,100,60,28
"Homer-v1.0-Qwen2.5-72B",2.4686214397649,27,14,48,15,6
"qwen2.5-test-32b-it",0.935983241977601,45,29,100,32,17
"Linkbricks-Horizon-AI-Ave",0.143094567198436,53,40,100,42,25
"calme-2.2-qwen2.5-72b",-2.80859141653442,84,60,100,61,17
"FluentlyLM-Prinum",0.978685528052442,44,31,75,33,17
"T3Q-qwen2.5-14b-v1.0-e3",4.89585807232071,2,1,18,1,1
"T3Q-Qwen2.5-14B-Instruct-",5.2323303089419,1,1,15,1,1
"Qwen2.5-32B-Instruct-abli",-1.49735986371667,66,54,100,54,31
"Gilgamesh-72B",1.21993107528932,42,29,69,29,17
"ultiima-72B",2.46862143976492,26,14,48,15,6
"zetasepic-abliteratedV2-Q",-1.79901448726998,70,58,100,59,29
"Awqward2.5-32B-Instruct",-3.52485805661754,88,70,100,72,6
"test-2.5-72B",2.27274742174413,29,15,56,17,9
"shuttle-3",1.78640558139261,37,17,67,17,15
"Qwen2.5-32B-Instruct",-3.68375444185121,92,71,100,74,4
"Mistral-Large-Instruct-24",2.91621873570954,17,4,54,6,4
"Rombos-LLM-V2.5-Qwen-72b",1.55805406626079,39,21,66,23,17
"Linkbricks-Horizon-AI-Ave.1",-3.60743100045738,90,70,100,73,4
"Qwen2.5-72B-Instruct-abli.1",2.59078924413278,23,12,48,13,5
"Linkbricks-Horizon-AI-Ave.2",-3.66613051543258,91,72,100,74,4
"lambda-qwen2.5-32b-dpo-te",-2.55305678813823,80,60,100,61,22
"Qwentile2.5-32B-Instruct",1.81232954147347,35,17,63,17,15
"Rombos-LLM-V2.5-Qwen-32b",3.46323591181041,15,3,34,4,1
"openbuddy-llama3.3-70b-v2",4.16551468013919,6,1,22,1,1
"Linkbricks-Horizon-AI-Ave.3",1.42290047167237,41,19,100,22,17
"huihui-ai-abliterated-Qwe",-5.10251388172902,97,87,100,87,1
"Linkbricks-Horizon-AI-Ave.4",0.915900463591461,47,29,100,32,17
"ultiima-32B",2.71777732477538,22,9,53,10,4
"RYS-XLarge",2.82790713371732,19,6,51,9,4
"Qwen2.5-95B-Instruct",-1.89377586004597,72,58,100,59,29
"ultiima-72B-v1.5",2.48991722199644,25,13,49,15,6
"sky-t1-coder-32b-flash",-1.82627677816043,71,58,100,59,29
"Llama-3.3-70B-Instruct",-2.59573971986534,82,60,100,60,21
"RomboUltima-32B",2.11439812656677,32,17,66,17,12
"calme-2.1-rys-78b",1.79979518959519,36,17,60,19,15
"calme-2.3-rys-78b",1.94848319882468,34,17,66,17,13
