"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.37167252100313,8,1,20,1,1
"calme-3.1-instruct-78b",1.37170736461915,7,1,20,1,1
"CalmeRys-78B-Orpo-v0.1",1.45552865989879,5,1,19,1,1
"calme-2.4-rys-78b",1.27142034676233,9,1,24,1,1
"Qwen2.5-72B-Instruct-abli",1.68873690631871,2,1,15,1,1
"Qwen2.5-72B-Instruct",1.44953040988137,6,1,20,1,1
"calme-2.1-qwen2.5-72b",1.15601203759156,10,1,25,1,1
"Homer-v1.0-Qwen2.5-72B",1.04915465876538,13,1,28,2,1
"qwen2.5-test-32b-it",-0.16462511523074,57,27,87,28,21
"Linkbricks-Horizon-AI-Ave",-0.260234040942886,59,29,88,32,25
"calme-2.2-qwen2.5-72b",0.846906070727117,18,5,38,5,2
"FluentlyLM-Prinum",0.682532629408326,21,9,44,9,5
"T3Q-qwen2.5-14b-v1.0-e3",1.07127648493655,12,1,28,2,1
"T3Q-Qwen2.5-14B-Instruct-",1.13581500607412,11,1,26,1,1
"Qwen2.5-32B-Instruct-abli",0.157881658295639,40,20,70,21,16
"Gilgamesh-72B",1.6773129823117,3,1,15,1,1
"ultiima-72B",0.634956496858254,23,9,49,9,5
"zetasepic-abliteratedV2-Q",0.260229149334266,36,17,63,18,12
"Awqward2.5-32B-Instruct",-0.0836644077562081,51,25,86,25,20
"test-2.5-72B",1.6134919089101,4,1,15,1,1
"shuttle-3",1.79901808341304,1,1,12,1,1
"Qwen2.5-32B-Instruct",-0.228195626161301,58,28,89,29,24
"Mistral-Large-Instruct-24",0.912578989518134,16,4,37,5,1
"Rombos-LLM-V2.5-Qwen-72b",0.437241782277091,27,12,58,13,9
"Linkbricks-Horizon-AI-Ave.1",-0.311530992229736,60,31,91,33,25
"Qwen2.5-72B-Instruct-abli.1",0.475610357133655,26,11,57,12,9
"Linkbricks-Horizon-AI-Ave.2",-0.401614790788282,65,35,93,38,27
"lambda-qwen2.5-32b-dpo-te",-0.57856729178473,75,44,94,46,33
"Qwentile2.5-32B-Instruct",-0.316572540324507,62,32,91,36,25
"Rombos-LLM-V2.5-Qwen-32b",0.0102836965964439,46,22,79,24,18
"openbuddy-llama3.3-70b-v2",0.60490764221478,24,9,50,10,5
"Linkbricks-Horizon-AI-Ave.3",-0.940014293764759,89,60,100,63,49
"huihui-ai-abliterated-Qwe",-0.396237185518288,64,34,93,38,27
"Linkbricks-Horizon-AI-Ave.4",-0.794083072686042,87,54,98,58,43
"ultiima-32B",-0.406908448517686,67,38,92,39,27
"RYS-XLarge",0.359266252307451,30,16,59,16,10
"Qwen2.5-95B-Instruct",0.647789795553551,22,9,45,10,5
"ultiima-72B-v1.5",0.760594162231878,20,5,43,7,2
"sky-t1-coder-32b-flash",-0.707681185045608,85,50,98,53,39
"Llama-3.3-70B-Instruct",0.155100267388791,41,20,74,20,16
"RomboUltima-32B",-0.952208572288907,91,60,100,63,49
"calme-2.1-rys-78b",0.90294359890816,17,5,35,5,1
"calme-2.3-rys-78b",1.04148081773564,15,2,28,2,1
"calme-2.1-qwen2-72b",0.394792379776963,28,16,58,16,9
"calme-2.2-rys-78b",0.846729133162688,19,5,38,5,2
"MG-FinalMix-72B",0.276722040597273,35,17,62,18,11
"EVA-Qwen2.5-72B-v0.2",0.315558629137885,32,16,62,16,10
"Qwen2-72B-Orpo-v0.1",-0.013394768285873,48,24,78,25,18
"RYS-XLarge-base",0.113906716399518,42,21,72,21,16
"calme-2.2-qwen2-72b",-0.149755023244125,56,26,87,28,21
"Arcee-Nova",-0.111141901485964,53,25,86,27,21
"L3.3-MS-Nevoria-70b",0.289757184286815,33,16,62,17,10
"Set-70b",0.509995849035886,25,10,57,11,7
"QwentileSwap",-0.405592757214,66,38,92,39,27
"li-14b-v0.4",-0.948279723363902,90,59,100,60,49
"tempmotacilla-cinerea-030",-0.692555670669441,82,49,98,51,39
"L3.3-Nevoria-R1-70b",0.0505368221250375,44,21,78,22,16
"Qwen2-72B-Instruct",-0.0652086247392867,50,25,85,25,20
"Galactic-Qwen-14B-Exp2",0.212516160512483,38,18,69,20,12
"BigQwen2.5-52B-Instruct",-0.391583028588664,63,38,92,39,26
"Llama-3.1-SauerkrautLM-70",0.359485052808937,29,16,59,16,10
"Llama-3.1-70B-Instruct",0.281741274627026,34,16,63,18,11
"Dracarys-72B-Instruct",-0.0362359057361066,49,25,82,25,20
"Linkbricks-Horizon-AI-Ave.5",-0.609856885629341,77,46,96,48,36
"Lamarckvergence-14B",-1.17899208168813,94,71,100,75,58
"Lix-14B-v0.1",-0.894214092949077,88,59,99,60,46
"calme-2.2-llama3.1-70b",-0.142453514466452,55,25,87,27,21
"NQLSG-Qwen2.5-14B-MegaFus",-1.10941755149363,93,69,100,71,57
"calme-2.3-llama3.1-70b",0.0888279424144196,43,20,77,21,16
"NQLSG-Qwen2.5-14B-MegaFus.1",-1.32615096100728,96,77,100,79,63
"orca_mini_v8_1_70b",1.04605597396009,14,1,28,2,1
"Apollo-70B",-0.134615071103128,54,25,87,26,21
"ZYH-LLM-Qwen2.5-14B-V4",-0.67372850905128,79,46,98,49,38
"NQLSG-Qwen2.5-14B-MegaFus.2",-1.42964121421041,98,82,100,86,69
"Progenitor-V1.1-LLaMa-70B",0.165897149139069,39,18,74,20,16
"70B-L3.3-Cirrus-x1",0.258920974817053,37,16,67,18,12
"magnum-v1-72b",-9.31475312015984e-05,47,24,78,25,18
"magnum-72b-v1",0.0421666617586802,45,21,77,24,17
"lamarckvergence-14b-tenso",-1.32419235521358,95,78,100,79,63
"li-14b-v0.4-slerp0.1",-1.05283946869955,92,63,100,69,54
"miscii-14b-0218",-0.762469927601131,86,53,98,54,42
"Cheng-2",-0.526817585534024,73,39,94,43,31
"NQLSG-Qwen2.5-14B-MegaFus.3",-1.71309790166159,100,89,100,92,78
"Llama3.3-70B-CogniLink",-0.08475567093411,52,24,87,25,20
"tempesthenno-ppo-ckpt40",-0.702387931294139,83,50,98,53,39
"RYS-Llama3.1-Large",0.347963844329787,31,16,59,16,10
"virtuoso-small-v2-tensopo",-0.314662031523632,61,31,91,33,25
"Cheng-2-v1.1",-0.606425796709569,76,43,96,46,36
"RombosBeagle-v2beta-MGS-3",-0.532121809895335,74,43,94,44,32
"TheBeagle-v2beta-32B-MGS",-0.511517675074421,72,42,94,44,29
"lambda-qwen2.5-14b-dpo-te",-0.511438664227818,71,39,94,42,29
"tempesthenno-nuslerp-001",-0.705482481645682,84,50,98,53,39
"Qwen2.5-14B-1M-YOYO-V3",-0.690436952505814,81,46,98,49,39
"Josiefied-Qwen2.5-14B-Ins",-0.686044007359846,80,46,98,49,39
"NQLSG-Qwen2.5-14B-MegaFus.4",-1.42812026178635,97,83,100,86,69
"Q2.5-Veltha-14B",-0.467277786310694,70,38,94,42,28
"ECE-ILAB-Q1",-0.418030283801161,68,38,93,39,27
"Virtuoso-Small-v2",-0.439845514958274,69,38,94,39,28
"Qwen2.5-14B-YOYO-V4-p1",-0.649433719018624,78,45,98,47,38
"Chocolatine-14B-Instruct-",-1.62010870461237,99,88,100,90,75
