"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.80896550593239,2,1,12,1,1
"calme-3.1-instruct-78b",1.77070842993756,3,1,12,1,1
"CalmeRys-78B-Orpo-v0.1",1.81152930950595,1,1,11,1,1
"calme-2.4-rys-78b",1.63033317972556,4,1,13,1,1
"Qwen2.5-72B-Instruct-abli",1.23341644101607,11,1,21,1,1
"Qwen2.5-72B-Instruct",1.16608634594506,12,1,22,4,1
"calme-2.1-qwen2.5-72b",0.932717309410543,14,8,27,8,3
"Homer-v1.0-Qwen2.5-72B",1.3979336406546,8,1,18,1,1
"qwen2.5-test-32b-it",0.168459810325999,37,21,73,22,14
"Linkbricks-Horizon-AI-Ave",0.117699454422523,39,22,74,22,16
"calme-2.2-qwen2.5-72b",0.711032546459991,21,10,37,10,8
"FluentlyLM-Prinum",0.878913660940779,16,8,27,8,4
"T3Q-qwen2.5-14b-v1.0-e3",1.26249663769352,10,1,21,1,1
"T3Q-Qwen2.5-14B-Instruct-",1.33729785077622,9,1,21,1,1
"Qwen2.5-32B-Instruct-abli",0.225523970140026,33,18,71,20,14
"Gilgamesh-72B",1.60547424871718,6,1,13,1,1
"ultiima-72B",0.929529672976217,15,8,27,8,3
"zetasepic-abliteratedV2-Q",0.377140678410177,26,14,62,16,13
"Awqward2.5-32B-Instruct",0.195374043881571,34,18,73,21,14
"test-2.5-72B",1.62934684461786,5,1,13,1,1
"shuttle-3",1.57407409233939,7,1,13,1,1
"Qwen2.5-32B-Instruct",-0.00929797511592456,48,23,76,24,20
"Mistral-Large-Instruct-24",0.78465865811122,18,8,34,9,7
"Rombos-LLM-V2.5-Qwen-72b",0.833768288348256,17,8,30,8,4
"Linkbricks-Horizon-AI-Ave.1",-0.0796571746182257,55,24,77,25,22
"Qwen2.5-72B-Instruct-abli.1",0.749717328429852,20,9,37,10,8
"Linkbricks-Horizon-AI-Ave.2",-0.131177258327273,59,25,78,26,22
"lambda-qwen2.5-32b-dpo-te",-0.279584111077783,67,28,88,30,25
"Qwentile2.5-32B-Instruct",0.17819240839432,36,21,73,21,14
"Rombos-LLM-V2.5-Qwen-32b",0.493729599909862,24,14,55,14,10
"openbuddy-llama3.3-70b-v2",0.258623949944759,30,17,71,18,14
"Linkbricks-Horizon-AI-Ave.3",-0.394086595044029,72,36,90,38,26
"huihui-ai-abliterated-Qwe",-0.0536081678282856,52,24,77,24,22
"Linkbricks-Horizon-AI-Ave.4",-0.304852415561949,70,30,88,32,25
"ultiima-32B",0.190005608829193,35,20,72,21,14
"RYS-XLarge",0.112030073892343,41,22,75,22,17
"Qwen2.5-95B-Instruct",0.108568709366864,42,22,75,22,17
"ultiima-72B-v1.5",1.11914896348307,13,3,23,4,1
"sky-t1-coder-32b-flash",-0.221590775147368,64,28,80,30,24
"Llama-3.3-70B-Instruct",-0.136297966962838,60,25,78,26,22
"RomboUltima-32B",-0.399351656330267,73,38,90,38,27
"calme-2.1-rys-78b",0.572622578009983,23,13,46,13,9
"calme-2.3-rys-78b",0.777351470615493,19,8,35,9,7
"calme-2.1-qwen2-72b",0.118415187562113,38,22,75,22,16
"calme-2.2-rys-78b",0.456835844055294,25,14,58,14,11
"MG-FinalMix-72B",0.0328427363014359,46,22,75,24,18
"EVA-Qwen2.5-72B-v0.2",0.587479793242429,22,12,46,13,9
"Qwen2-72B-Orpo-v0.1",-0.10676091745673,57,26,77,26,22
"RYS-XLarge-base",-0.0611532797850058,53,25,77,26,22
"calme-2.2-qwen2-72b",-0.259747900958002,66,30,80,30,24
"Arcee-Nova",-0.188615217236009,62,27,78,28,23
"L3.3-MS-Nevoria-70b",0.228806373274644,32,18,71,20,14
"Set-70b",0.306872217502926,29,16,68,17,14
"QwentileSwap",0.244697016097266,31,18,71,20,14
"li-14b-v0.4",-1.15887963452187,92,76,100,76,70
"tempmotacilla-cinerea-030",-0.878458615179408,85,65,99,70,54
"L3.3-Nevoria-R1-70b",-0.0435507337640484,51,24,77,24,21
"Qwen2-72B-Instruct",-0.259184573618709,65,30,80,30,24
"Galactic-Qwen-14B-Exp2",0.309866563108987,28,16,66,17,14
"BigQwen2.5-52B-Instruct",-0.291383716801032,69,30,85,32,25
"Llama-3.1-SauerkrautLM-70",0.0390856818425953,45,22,75,23,18
"Llama-3.1-70B-Instruct",-0.0752521593947426,54,24,77,25,22
