"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.72158007282704,2,1,8,1,1
"calme-3.1-instruct-78b",1.68629578680355,3,1,8,1,1
"CalmeRys-78B-Orpo-v0.1",1.72954452748681,1,1,8,1,1
"calme-2.4-rys-78b",1.54886562795862,4,1,9,1,1
"Qwen2.5-72B-Instruct-abli",0.712569131168472,15,8,45,8,7
"Qwen2.5-72B-Instruct",0.501264318482955,30,9,55,9,8
"calme-2.1-qwen2.5-72b",0.464432383911989,33,9,57,10,9
"Homer-v1.0-Qwen2.5-72B",0.86403193139186,12,7,37,7,4
"qwen2.5-test-32b-it",0.121735879472052,46,18,68,20,13
"Linkbricks-Horizon-AI-Ave",-0.0433680714018889,51,29,72,32,16
"calme-2.2-qwen2.5-72b",0.207758296516292,43,13,68,15,10
"FluentlyLM-Prinum",0.562548272485052,24,9,50,9,8
"T3Q-qwen2.5-14b-v1.0-e3",1.42431190809439,7,1,12,1,1
"T3Q-Qwen2.5-14B-Instruct-",1.50946971643469,6,1,10,1,1
"Qwen2.5-32B-Instruct-abli",-0.0785255914576197,56,31,73,34,18
"Gilgamesh-72B",1.22959848095809,8,1,17,1,1
"ultiima-72B",0.567400253084081,23,9,50,9,8
"zetasepic-abliteratedV2-Q",-0.0586827498437916,52,31,73,34,17
"Awqward2.5-32B-Instruct",-0.303667202545666,66,39,87,42,34
"test-2.5-72B",1.53903008058496,5,1,9,1,1
"shuttle-3",1.03705269346145,9,4,33,4,1
"Qwen2.5-32B-Instruct",-0.460701590810478,69,48,94,50,38
"Mistral-Large-Instruct-24",0.693070930708359,16,8,47,8,7
"Rombos-LLM-V2.5-Qwen-72b",0.339495247019906,37,10,62,13,9
"Linkbricks-Horizon-AI-Ave.1",-0.489207387407217,70,49,94,50,40
"Qwen2.5-72B-Instruct-abli.1",0.556797267384901,25,9,50,9,8
"Linkbricks-Horizon-AI-Ave.2",-0.56287996467571,72,51,96,51,44
"lambda-qwen2.5-32b-dpo-te",-0.743747775084143,78,61,99,63,51
"Qwentile2.5-32B-Instruct",0.0484883717584594,50,21,70,25,13
"Rombos-LLM-V2.5-Qwen-32b",0.48534868475074,31,9,53,10,8
"openbuddy-llama3.3-70b-v2",0.865654852510056,11,7,38,7,4
"Linkbricks-Horizon-AI-Ave.3",-0.277163865446845,65,39,83,41,34
"huihui-ai-abliterated-Qwe",-0.681647243465218,74,53,98,58,50
"Linkbricks-Horizon-AI-Ave.4",-0.304999952627969,67,41,84,43,34
"ultiima-32B",0.171894201171714,45,15,68,17,10
"RYS-XLarge",0.766866929465381,13,8,41,8,4
"Qwen2.5-95B-Instruct",0.188138935306655,44,14,68,15,10
"ultiima-72B-v1.5",0.671441590783234,17,8,48,9,7
"sky-t1-coder-32b-flash",-0.953178429774822,88,69,99,69,62
"Llama-3.3-70B-Instruct",-0.084619054084087,57,32,73,34,18
"RomboUltima-32B",-0.265827127988265,64,39,83,41,32
"calme-2.1-rys-78b",0.889850331911763,10,7,37,7,3
"calme-2.3-rys-78b",0.754943285337838,14,8,44,8,5
"calme-2.1-qwen2-72b",0.59601313222083,21,9,50,9,8
"calme-2.2-rys-78b",0.582347564256002,22,9,50,9,8
"MG-FinalMix-72B",0.603521129330337,20,9,49,9,8
"EVA-Qwen2.5-72B-v0.2",0.503910896812713,29,9,51,10,8
"Qwen2-72B-Orpo-v0.1",0.358293061447591,34,10,62,11,9
"RYS-XLarge-base",0.534663255549096,28,9,50,9,8
"calme-2.2-qwen2-72b",-0.223371670450293,63,38,79,39,29
"Arcee-Nova",-0.0680695614713374,54,32,73,34,18
"L3.3-MS-Nevoria-70b",0.342311002803521,36,10,63,11,9
"Set-70b",0.543258300865424,26,9,50,9,8
"QwentileSwap",-0.0687478780058144,55,32,73,34,18
"li-14b-v0.4",-0.780712914380181,79,63,99,63,51
"tempmotacilla-cinerea-030",-0.885087065626011,84,66,99,69,58
"L3.3-Nevoria-R1-70b",0.288511404062723,38,13,65,13,10
"Qwen2-72B-Instruct",-0.0640316442990363,53,33,72,34,17
"Galactic-Qwen-14B-Exp2",0.645739563052515,19,8,49,9,8
"BigQwen2.5-52B-Instruct",-0.74267317365399,77,61,99,63,51
"Llama-3.1-SauerkrautLM-70",0.467733410307889,32,10,57,10,9
"Llama-3.1-70B-Instruct",0.237412086738171,41,13,68,14,10
"Dracarys-72B-Instruct",-0.119775102695901,59,34,74,34,20
"Linkbricks-Horizon-AI-Ave.5",-0.922391484044489,86,69,99,69,60
"Lamarckvergence-14B",-1.00749417673128,91,69,99,69,63
"Lix-14B-v0.1",-1.05553344328807,94,69,100,71,64
"calme-2.2-llama3.1-70b",-0.171314355935737,62,34,79,34,24
"NQLSG-Qwen2.5-14B-MegaFus",-1.02585210784611,93,69,99,70,63
"calme-2.3-llama3.1-70b",0.116023096153877,47,17,69,18,13
"NQLSG-Qwen2.5-14B-MegaFus.1",-1.16019983394885,95,71,100,73,69
"orca_mini_v8_1_70b",0.650755692258537,18,8,49,9,7
"Apollo-70B",0.260328108724249,40,13,68,13,10
"ZYH-LLM-Qwen2.5-14B-V4",-0.628262632636846,73,51,98,54,46
"NQLSG-Qwen2.5-14B-MegaFus.2",-1.24480005644356,96,73,100,74,69
"Progenitor-V1.1-LLaMa-70B",0.344214562624821,35,10,63,11,9
"70B-L3.3-Cirrus-x1",0.536294445599573,27,9,50,9,8
"magnum-v1-72b",-0.154159302334306,61,34,74,34,22
"magnum-72b-v1",-0.11474533379343,58,34,74,34,20
"lamarckvergence-14b-tenso",-1.01453440731601,92,69,99,69,63
"li-14b-v0.4-slerp0.1",-1.29577394947005,97,74,100,75,69
"miscii-14b-0218",-0.979339879273002,89,69,99,69,63
"Cheng-2",-0.81485621857965,81,63,99,64,51
"NQLSG-Qwen2.5-14B-MegaFus.3",-1.41245601846174,99,79,100,80,71
"Llama3.3-70B-CogniLink",0.262587498389544,39,13,68,13,10
"tempesthenno-ppo-ckpt40",-0.813436064856766,80,64,99,65,51
"RYS-Llama3.1-Large",0.216982099581195,42,13,68,15,10
"virtuoso-small-v2-tensopo",-0.321065333002595,68,41,87,43,34
"Cheng-2-v1.1",-0.908760519690567,85,65,99,68,59
"RombosBeagle-v2beta-MGS-3",0.0933055415351061,49,20,69,20,13
"TheBeagle-v2beta-32B-MGS",0.100335643766206,48,19,68,20,13
"lambda-qwen2.5-14b-dpo-te",-0.736291679648314,75,58,99,62,51
"tempesthenno-nuslerp-001",-0.830733314677847,82,64,99,66,52
"Qwen2.5-14B-1M-YOYO-V3",-0.989032643323936,90,69,100,69,63
"Josiefied-Qwen2.5-14B-Ins",-0.847956457925176,83,63,99,64,54
"NQLSG-Qwen2.5-14B-MegaFus.4",-1.31089118525387,98,74,100,75,69
"Q2.5-Veltha-14B",-0.742609889304942,76,60,99,63,51
"ECE-ILAB-Q1",-0.146899339659136,60,34,74,34,22
"Virtuoso-Small-v2",-0.555362407295599,71,51,95,51,44
"Qwen2.5-14B-YOYO-V4-p1",-0.930284095703016,87,66,99,69,60
"Chocolatine-14B-Instruct-",-1.7483003376701,100,95,100,95,80
