"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",2.0573903320437,1,1,7,1,1
"calme-3.1-instruct-78b",1.99076567405908,3,1,7,1,1
"CalmeRys-78B-Orpo-v0.1",2.00091504217962,2,1,7,1,1
"calme-2.4-rys-78b",1.81177195107411,4,1,8,1,1
"Qwen2.5-72B-Instruct-abli",0.615750594835843,22,10,47,10,8
"Qwen2.5-72B-Instruct",0.498777931493606,25,10,51,11,9
"calme-2.1-qwen2.5-72b",0.447305841443125,28,12,56,12,10
"Homer-v1.0-Qwen2.5-72B",1.17770272113604,9,5,20,5,4
"qwen2.5-test-32b-it",0.299051277037991,38,12,63,13,11
"Linkbricks-Horizon-AI-Ave",0.179652526225801,46,16,70,18,12
"calme-2.2-qwen2.5-72b",0.235438857209865,41,14,69,15,12
"FluentlyLM-Prinum",0.709637049755585,15,9,45,9,8
"T3Q-qwen2.5-14b-v1.0-e3",1.54383230535683,7,1,11,1,1
"T3Q-Qwen2.5-14B-Instruct-",1.63649113583954,5,1,9,1,1
"Qwen2.5-32B-Instruct-abli",0.024488930021112,48,23,73,24,15
"Gilgamesh-72B",1.25600112757821,8,4,14,5,1
"ultiima-72B",0.820900994890891,12,8,39,8,6
"zetasepic-abliteratedV2-Q",0.090150056322329,47,21,71,23,13
"Awqward2.5-32B-Instruct",-0.0575266712201077,53,26,76,29,20
"test-2.5-72B",1.56393955155054,6,1,10,1,1
"shuttle-3",1.03824845789931,10,5,26,6,4
"Qwen2.5-32B-Instruct",-0.2476547404436,65,38,79,41,27
"Mistral-Large-Instruct-24",0.643030566704808,19,9,47,10,8
"Rombos-LLM-V2.5-Qwen-72b",0.679249385998222,17,9,46,9,8
"Linkbricks-Horizon-AI-Ave.1",-0.277559295649409,68,40,79,41,29
"Qwen2.5-72B-Instruct-abli.1",0.75158388989628,14,8,42,8,8
"Linkbricks-Horizon-AI-Ave.2",-0.324732527878836,70,41,80,46,31
"lambda-qwen2.5-32b-dpo-te",-0.485139153722309,72,48,88,48,43
"Qwentile2.5-32B-Instruct",0.344772725520961,34,12,63,12,10
"Rombos-LLM-V2.5-Qwen-32b",0.784359257356148,13,8,40,8,8
"openbuddy-llama3.3-70b-v2",0.533985094635366,23,10,49,10,9
"Linkbricks-Horizon-AI-Ave.3",-0.0420428488899387,52,26,76,27,18
"huihui-ai-abliterated-Qwe",-0.363492708410623,71,46,81,47,35
"Linkbricks-Horizon-AI-Ave.4",-0.0664183728119974,54,29,76,30,21
"ultiima-32B",0.500468818792926,24,11,48,12,9
"RYS-XLarge",0.485421707080028,26,11,49,12,9
"Qwen2.5-95B-Instruct",-0.134196214173056,60,30,76,31,23
"ultiima-72B-v1.5",0.995265046581993,11,6,26,8,5
"sky-t1-coder-32b-flash",-0.515229047399571,73,49,90,50,46
"Llama-3.3-70B-Instruct",-0.258652213580855,66,39,79,41,29
"RomboUltima-32B",-0.020163339511579,49,26,73,27,18
"calme-2.1-rys-78b",0.637988311751129,20,10,46,10,8
"calme-2.3-rys-78b",0.618638647311649,21,10,47,10,8
"calme-2.1-qwen2-72b",0.345905204306421,33,12,63,12,10
"calme-2.2-rys-78b",0.333658209095179,35,12,63,12,10
"MG-FinalMix-72B",0.352168065993552,32,12,63,12,10
"EVA-Qwen2.5-72B-v0.2",0.679641698846142,16,9,46,9,8
"Qwen2-72B-Orpo-v0.1",0.229329975640667,42,15,69,16,12
"RYS-XLarge-base",0.320390302940381,36,12,63,13,11
"calme-2.2-qwen2-72b",-0.292481781932657,69,43,79,46,30
"Arcee-Nova",-0.137887176791188,62,31,76,35,23
"L3.3-MS-Nevoria-70b",0.310890598326045,37,12,63,13,11
"Set-70b",0.390926800652305,30,12,63,12,10
"QwentileSwap",0.36265844335514,31,12,63,12,10
"li-14b-v0.4",-1.00029222600473,83,72,100,72,65
"tempmotacilla-cinerea-030",-1.016080577411,84,72,100,72,66
"L3.3-Nevoria-R1-70b",0.205208006345991,45,15,70,16,12
"Qwen2-72B-Instruct",-0.229756830504625,64,40,77,41,27
"Galactic-Qwen-14B-Exp2",0.646187475500319,18,9,46,10,8
"BigQwen2.5-52B-Instruct",-0.587562431795065,76,52,94,55,47
"Llama-3.1-SauerkrautLM-70",0.205343466821821,44,15,70,16,12
"Llama-3.1-70B-Instruct",-0.0311830484885469,51,24,75,27,18
"Dracarys-72B-Instruct",-0.153601193246297,63,31,76,35,23
"Linkbricks-Horizon-AI-Ave.5",-0.556929639162017,74,49,93,53,47
"Lamarckvergence-14B",-1.10910289818908,92,74,100,76,71
