"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.598967240010444,11,4,37,4,3
"calme-3.1-instruct-78b",0.513213715135847,19,4,42,6,4
"CalmeRys-78B-Orpo-v0.1",0.674166203453689,10,4,34,4,3
"calme-2.4-rys-78b",0.585518023811023,13,4,37,4,3
"Qwen2.5-72B-Instruct-abli",1.83553444666879,1,1,3,1,1
"Qwen2.5-72B-Instruct",1.61417555028926,2,1,5,1,1
"calme-2.1-qwen2.5-72b",1.28774117155395,3,1,7,1,1
"Homer-v1.0-Qwen2.5-72B",0.680313967052881,9,4,34,4,3
"qwen2.5-test-32b-it",0.372780958490506,22,7,47,7,4
"Linkbricks-Horizon-AI-Ave",0.372198211799121,23,7,48,7,4
"calme-2.2-qwen2.5-72b",1.01850344588179,5,2,19,3,2
"FluentlyLM-Prinum",0.724786831218403,8,4,31,4,3
"T3Q-qwen2.5-14b-v1.0-e3",0.211385903444853,32,8,70,9,7
"T3Q-Qwen2.5-14B-Instruct-",0.253058599845419,28,8,63,8,6
"Qwen2.5-32B-Instruct-abli",0.547323562406108,18,4,39,5,4
"Gilgamesh-72B",0.928779696468174,6,3,20,3,2
"ultiima-72B",0.557542390654503,16,4,41,4,4
"zetasepic-abliteratedV2-Q",0.567875924199905,15,4,37,4,3
"Awqward2.5-32B-Instruct",0.451710784043911,20,6,43,6,4
"test-2.5-72B",0.820221853881644,7,3,27,3,3
"shuttle-3",1.04821038552726,4,2,19,2,1
"Qwen2.5-32B-Instruct",0.351299358692513,26,7,51,7,4
"Mistral-Large-Instruct-24",0.589331164347502,12,4,37,4,3
"Rombos-LLM-V2.5-Qwen-72b",0.555871105978063,17,4,39,4,4
"Linkbricks-Horizon-AI-Ave.1",0.244450348111919,29,8,63,8,6
"Qwen2.5-72B-Instruct-abli.1",0.391894751025149,21,7,46,7,4
"Linkbricks-Horizon-AI-Ave.2",0.173273088802522,34,9,71,11,7
"lambda-qwen2.5-32b-dpo-te",0.118968345726582,36,11,80,11,8
"Qwentile2.5-32B-Instruct",-0.11510527226577,45,21,94,25,16
"Rombos-LLM-V2.5-Qwen-32b",0.0450106726568253,39,14,91,19,9
"openbuddy-llama3.3-70b-v2",0.241069705312886,30,8,64,8,6
"Linkbricks-Horizon-AI-Ave.3",-0.348282690296933,71,35,100,36,27
"huihui-ai-abliterated-Qwe",0.0492810743363177,38,16,88,19,8
"Linkbricks-Horizon-AI-Ave.4",-0.371071900698304,76,35,100,38,28
"ultiima-32B",-0.185512536930522,54,27,95,28,20
"RYS-XLarge",0.110220007215738,37,11,80,14,8
"Qwen2.5-95B-Instruct",0.569410188802837,14,4,37,4,3
"ultiima-72B-v1.5",0.365417871755708,24,7,50,7,4
"sky-t1-coder-32b-flash",-0.211987553988895,56,28,95,28,20
"Llama-3.3-70B-Instruct",0.0146212464497264,42,19,91,20,9
"RomboUltima-32B",-0.385522333325153,79,35,100,38,28
"calme-2.1-rys-78b",0.230803349617258,31,8,63,9,7
"calme-2.3-rys-78b",0.351729105746369,25,7,53,7,4
"calme-2.1-qwen2-72b",0.0371689896224656,40,19,90,20,9
"calme-2.2-rys-78b",0.323296547857075,27,7,54,8,5
"MG-FinalMix-72B",-0.123955279014762,47,22,94,27,18
"EVA-Qwen2.5-72B-v0.2",0.0357140195715018,41,18,90,20,9
"Qwen2-72B-Orpo-v0.1",-0.270242487781664,62,30,100,34,21
"RYS-XLarge-base",-0.29885245128144,66,33,100,34,22
"calme-2.2-qwen2-72b",-0.15333784743335,50,27,94,28,19
"Arcee-Nova",-0.175548119552243,52,27,94,28,20
"L3.3-MS-Nevoria-70b",-0.219041599269517,58,28,97,28,20
"Set-70b",-0.131124148076071,48,21,94,25,19
"QwentileSwap",-0.46316952288801,88,39,100,43,32
"li-14b-v0.4",-0.357193868998248,73,35,100,36,28
"tempmotacilla-cinerea-030",-0.16671992327639,51,27,94,28,20
"L3.3-Nevoria-R1-70b",-0.115691637452658,46,21,94,22,17
"Qwen2-72B-Instruct",-0.213958551294507,57,28,95,28,20
"Galactic-Qwen-14B-Exp2",-0.32366368520481,70,34,100,34,27
"BigQwen2.5-52B-Instruct",-0.0204647452770343,43,20,91,20,11
"Llama-3.1-SauerkrautLM-70",-0.210394327142772,55,28,96,28,20
"Llama-3.1-70B-Instruct",-0.245680361557323,59,28,100,31,21
"Dracarys-72B-Instruct",-0.365570728889341,74,35,100,37,28
"Linkbricks-Horizon-AI-Ave.5",-0.0909437575410217,44,21,93,22,14
"Lamarckvergence-14B",-0.548468969246806,92,44,100,44,35
"Lix-14B-v0.1",-0.467297099047709,89,39,100,43,33
"calme-2.2-llama3.1-70b",-0.369683150797985,75,35,100,37,28
"NQLSG-Qwen2.5-14B-MegaFus",-0.426460615549737,84,38,100,39,29
"calme-2.3-llama3.1-70b",-0.385975531619756,80,35,100,38,28
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.753663672428844,96,59,100,62,44
"orca_mini_v8_1_70b",0.201242296662667,33,8,70,9,7
"Apollo-70B",0.127680126288896,35,11,81,11,8
"ZYH-LLM-Qwen2.5-14B-V4",-0.379437389081621,78,35,100,38,28
"NQLSG-Qwen2.5-14B-MegaFus.2",-0.711108269400424,95,54,100,59,43
"Progenitor-V1.1-LLaMa-70B",-0.406420943498699,81,36,100,38,28
"70B-L3.3-Cirrus-x1",-0.294848836703889,65,30,100,34,22
"magnum-v1-72b",-0.308068934727098,67,33,100,35,25
"magnum-72b-v1",-0.272028998243901,63,31,100,33,21
"lamarckvergence-14b-tenso",-0.782062304967831,99,61,100,65,44
"li-14b-v0.4-slerp0.1",-0.561347598856261,93,44,100,44,36
"miscii-14b-0218",-0.434973496558941,87,38,100,39,30
"Cheng-2",-0.176191312367541,53,27,95,28,20
"NQLSG-Qwen2.5-14B-MegaFus.3",-0.780659570698877,98,61,100,67,44
"Llama3.3-70B-CogniLink",-0.353623436577129,72,34,100,35,28
"tempesthenno-ppo-ckpt40",-0.49295814328192,91,41,100,43,34
"RYS-Llama3.1-Large",-0.247503520843442,60,28,99,32,21
"virtuoso-small-v2-tensopo",-0.371459647858152,77,35,100,37,28
"Cheng-2-v1.1",-0.312264667373484,68,33,100,35,25
"RombosBeagle-v2beta-MGS-3",-0.253326163666836,61,28,99,32,21
"TheBeagle-v2beta-32B-MGS",-0.287593449255569,64,32,100,34,22
"lambda-qwen2.5-14b-dpo-te",-0.151685530036776,49,25,94,28,19
"tempesthenno-nuslerp-001",-0.474272974820863,90,40,100,43,33
"Qwen2.5-14B-1M-YOYO-V3",-0.433068722834615,86,38,100,40,30
"Josiefied-Qwen2.5-14B-Ins",-0.321477200007002,69,34,100,35,25
"NQLSG-Qwen2.5-14B-MegaFus.4",-0.797855943724526,100,62,100,69,45
"Q2.5-Veltha-14B",-0.433043086457712,85,38,100,40,30
"ECE-ILAB-Q1",-0.761440506645668,97,59,100,62,44
"Virtuoso-Small-v2",-0.425387514978602,83,38,100,38,29
"Qwen2.5-14B-YOYO-V4-p1",-0.425247888981775,82,38,100,38,29
"Chocolatine-14B-Instruct-",-0.627821809841296,94,45,100,49,38
