"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.982579840657443,8,1,24,1,1
"calme-3.1-instruct-78b",0.88575604012403,12,2,27,2,1
"CalmeRys-78B-Orpo-v0.1",1.01622033524881,6,1,22,1,1
"calme-2.4-rys-78b",0.929918301633166,10,1,25,2,1
"Qwen2.5-72B-Instruct-abli",1.40663341340383,1,1,10,1,1
"Qwen2.5-72B-Instruct",1.34005137231527,2,1,14,1,1
"calme-2.1-qwen2.5-72b",1.07701840562735,3,1,18,1,1
"Homer-v1.0-Qwen2.5-72B",0.997962770884891,7,1,24,1,1
"qwen2.5-test-32b-it",0.538333315725068,22,6,41,9,3
"Linkbricks-Horizon-AI-Ave",0.548942474182109,20,5,41,8,3
"calme-2.2-qwen2.5-72b",0.871707500618729,13,2,27,3,1
"FluentlyLM-Prinum",0.885809216534194,11,2,25,2,1
"T3Q-qwen2.5-14b-v1.0-e3",0.490822076861039,25,8,44,10,3
"T3Q-Qwen2.5-14B-Instruct-",0.539375302278029,21,4,42,8,3
"Qwen2.5-32B-Instruct-abli",0.522969243736001,24,7,42,10,3
"Gilgamesh-72B",1.02563240043552,5,1,20,1,1
"ultiima-72B",0.807849443944995,15,3,27,3,1
"zetasepic-abliteratedV2-Q",0.612287972276685,18,3,36,4,3
"Awqward2.5-32B-Instruct",0.568269462501009,19,4,41,6,3
"test-2.5-72B",0.970101416423139,9,1,24,1,1
"shuttle-3",1.03110005950392,4,1,19,1,1
"Qwen2.5-32B-Instruct",0.410690675732841,26,11,47,15,4
"Mistral-Large-Instruct-24",0.534798666880564,23,6,42,8,3
"Rombos-LLM-V2.5-Qwen-72b",0.856294836213347,14,2,27,3,1
"Linkbricks-Horizon-AI-Ave.1",0.315383336151753,28,16,52,16,10
"Qwen2.5-72B-Instruct-abli.1",0.634530905084581,17,3,36,3,3
"Linkbricks-Horizon-AI-Ave.2",0.276538063527406,30,16,56,16,11
"lambda-qwen2.5-32b-dpo-te",0.197738492254037,35,17,60,18,15
"Qwentile2.5-32B-Instruct",0.229068212594732,33,17,60,17,15
"Rombos-LLM-V2.5-Qwen-32b",0.410414452102696,27,11,47,14,4
"openbuddy-llama3.3-70b-v2",0.0349482557900322,44,25,71,26,17
"Linkbricks-Horizon-AI-Ave.3",-0.048135687110507,47,26,76,28,19
"huihui-ai-abliterated-Qwe",0.239864545898218,32,16,59,17,14
"Linkbricks-Horizon-AI-Ave.4",-0.0770209912494657,49,28,77,28,21
