"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.906722937384564,3,1,20,1,1
"calme-3.1-instruct-78b",0.808949589741877,6,1,26,1,1
"CalmeRys-78B-Orpo-v0.1",0.94420090980834,1,1,17,1,1
"calme-2.4-rys-78b",0.856353053144052,5,1,23,1,1
"Qwen2.5-72B-Instruct-abli",0.914963863201,2,1,20,1,1
"Qwen2.5-72B-Instruct",0.730608744586534,8,1,29,1,1
"calme-2.1-qwen2.5-72b",0.663662579054161,9,1,34,1,1
"Homer-v1.0-Qwen2.5-72B",0.608585087450476,12,1,36,1,1
"qwen2.5-test-32b-it",0.47108455393101,20,2,46,5,1
"Linkbricks-Horizon-AI-Ave",0.382690377745853,25,6,53,7,1
"calme-2.2-qwen2.5-72b",0.426514806181332,22,5,50,6,1
"FluentlyLM-Prinum",0.626059813040717,11,1,36,1,1
"T3Q-qwen2.5-14b-v1.0-e3",0.546785257361468,14,1,41,1,1
"T3Q-Qwen2.5-14B-Instruct-",0.598610325226055,13,1,38,1,1
"Qwen2.5-32B-Instruct-abli",0.283576974870611,28,8,61,9,5
"Gilgamesh-72B",0.776422897844343,7,1,27,1,1
"ultiima-72B",0.531982202143095,15,1,42,1,1
"zetasepic-abliteratedV2-Q",0.262369702235477,30,9,64,10,5
"Awqward2.5-32B-Instruct",0.147824608392211,37,13,68,14,8
"test-2.5-72B",0.893293817537093,4,1,21,1,1
"shuttle-3",0.656480657009742,10,1,34,1,1
"Qwen2.5-32B-Instruct",0.0315293719843299,46,20,77,22,12
"Mistral-Large-Instruct-24",0.484669517091393,17,1,46,2,1
"Rombos-LLM-V2.5-Qwen-72b",0.476562846565663,19,1,46,3,1
"Linkbricks-Horizon-AI-Ave.1",-0.0187990313077924,52,22,81,24,14
"Qwen2.5-72B-Instruct-abli.1",0.477146474655898,18,2,46,4,1
"Linkbricks-Horizon-AI-Ave.2",-0.0782660216869253,55,26,85,28,16
"lambda-qwen2.5-32b-dpo-te",-0.159965312429982,61,28,91,32,22
"Qwentile2.5-32B-Instruct",0.126693011190541,39,14,70,15,9
"Rombos-LLM-V2.5-Qwen-32b",0.39367213535755,24,5,53,6,1
